"site","grts_cell","Quadrant","region","lat","long","water_nearby","elevation_m","dist_road_km","dist_harvest_km"
"14222_NW",14222,"NW","Alaska",55.79907,-133.11502,0,48,0,NA
"165326_SW",165326,"SW","Alaska",58.001551,-134.998695,1,178,8.06255908203125,NA
"18318_SW",18318,"SW","Alaska",56.2522,-132.06853,0,67,0,NA
"206_NE",206,"NE","Alaska",56.05691,-133.21312,1,160,0.500018676757813,NA
"206_NW",206,"NW","Alaska",56.0204,-133.24865,1,31,1.00003735351563,NA
"206_SW",206,"SW","Alaska",56.01637,-133.24383,1,27,0.500018676757813,NA
"230862_NE",230862,"NE","Alaska",58.01877,-135.11627,1,133,3.60568579101562,NA
"231310_SE",231310,"SE","Alaska",56.22812,-132.07308,0,132,2.1213994140625,NA
"24782_NE",24782,"NE","Alaska",56.92286,-133.73519,1,94,1.00003735351563,NA
"24782_NW",24782,"NW","Alaska",56.8968,-133.8058,1,5,0,NA
"24782_SE",24782,"SE","Alaska",56.87244,-133.67403,1,34,0,NA
"28110_NW",28110,"NW","Alaska",57.89266,-135.00079,0,27,14.560763671875,NA
"28110_SW",28110,"SW","Alaska",57.82621,-134.99721,1,-4,9.5528427734375,NA
"29582_NW",29582,"NW","Alaska",56.45484,-132.27859,0,86,1.58119787597656,NA
"30606_NE",30606,"NE","Alaska",55.35198,-132.87739,1,17,2.00007470703125,NA
"30606_SE",30606,"SE","Alaska",55.28049,-132.82971,1,13,0,NA
"31438_NE",31438,"NE","Alaska",58.25593,-134.358115,1,79,1.58119787597656,NA
"31438_NW",31438,"NW","Alaska",58.26963,-134.43333,1,207,1.58119787597656,NA
"31438_SE",31438,"SE","Alaska",58.24628,-134.33602,1,22,1.41426635742188,NA
"315563_SE",315563,"SE","Alaska",58.36437,-134.50136,1,41,0.500018676757813,NA
"315563_SW",315563,"SW","Alaska",58.3602,-134.60811,1,6,0,NA
"32654_SE",32654,"SE","Alaska",56.23237,-133.07987,0,42,0,NA
"33486_NW",33486,"NW","Alaska",57.1426,-135.37154,1,22,1.11807580566406,NA
"34254_SW",34254,"SW","Alaska",57.9563,-134.94197,0,46,14.1515,NA
"34338_NE",34338,"NE","Alaska",59.56445,-139.61554,0,48,0,NA
"34338_NW",34338,"NW","Alaska",59.51789,-139.66391,1,26,0,NA
"34338_SE",34338,"SE","Alaska",59.51027,-139.53528,1,37,5.408529296875,NA
"34338_SW",34338,"SW","Alaska",59.49062,-139.64204,1,17,0.500018676757813,NA
"47310_NW",47310,"NW","Alaska",55.49629,-131.70515,0,81,1.80284289550781,NA
"47310_SE",47310,"SE","Alaska",55.45411,-131.61887,0,127,0,NA
"47310_SW",47310,"SW","Alaska",55.44204,-131.62489,1,159,1.11807580566406,NA
"5006_NW",5006,"NW","Alaska",56.67385,-132.77744,0,237,1.50005603027344,NA
"5006_SE",5006,"SE","Alaska",56.65803,-132.67407,1,56,0.500018676757813,NA
"5006_SW",5006,"SW","Alaska",56.6492,-132.78866,1,77,0.707133178710938,NA
"50638_SW",50638,"SW","Alaska",58.06625,-135.20091,0,131,0.500018676757813,NA
"7054_NE",7054,"NE","Alaska",55.87109,-132.88345,1,87,1.00003735351563,NA
"99790_SE",99790,"SE","Alaska",57.92361,-134.93918,1,21,17.0300234375,NA
