"site","lat","long","grts_cell","region","water_nearby","site_type","dist_road_km","dist_harvest_km","region_idx","elevation_m","Quadrant"
"110378_NE",49.04717,-119.5574,110378,"Okanagan Region",1,"Rotating",0.05983249097,0.9384167017,4,855,NA
"110378_NW",49.035355,-119.575462,110378,"Okanagan Region",1,"Rotating",0.07550459824,1.260797796,4,868,NA
"110378_SE",49.01485,-119.53228,110378,"Okanagan Region",0,"Rotating",0.1456191997,1.055805588,4,979,NA
"110378_SW",49.004116,-119.595522,110378,"Okanagan Region",0,"Rotating",0.1284218289,1.884735428,4,696,NA
"111466_NE",49.001285,-115.0618438,111466,"Kootenay Region",0.544789500107581,"Unknown",0.1265788814,1.601998155,2,827,NA
"111466_NW",49.01860875,-115.0956838,111466,"Kootenay Region",0.544789500107581,"Unknown",0.1263126223,2.54403817,2,819,NA
"114602_NE",49.70588,-125.06708,114602,"South Coastal Region",0,"Rotating",0.05178907306,0.2118158779,5,85,NA
"114602_NW",49.67623,-125.13792,114602,"South Coastal Region",0,"Rotating",0.02255201024,0.6399905355,5,367,NA
"114602_SE",49.65756,-125.0438,114602,"South Coastal Region",0,"Rotating",0.2233894339,1.25076844,5,87,NA
"114602_SW",49.64146,-125.08654,114602,"South Coastal Region",1,"Rotating",0.04365812049,1.186680084,5,138,NA
"115322_NE",52.37764,-125.98565,115322,"Northern Region",0,"Rotating",0.1125022593,6.628371071,3,331,NA
"115322_NW",52.37481,-126.08159,115322,"Northern Region",1,"Rotating",0.2224003113,1.024622202,3,155,NA
"115322_SE",52.35752,-126.01253,115322,"Northern Region",1,"Rotating",0.1962012273,4.038097902,3,192,NA
"115322_SW",52.34498,-126.07967,115322,"Northern Region",1,"Rotating",0,0.08753053813,3,276,NA
"1194_NW",50.117491,-117.522995,1194,"Kootenay Region",1,"Always On",0.02490249454,0.9215126914,2,668,NA
"12522_NE",49.721545,-124.515633,12522,"South Coastal Region",1,"Always On",0.01145565177,0.546645295,5,105,NA
"12522_NW",49.757569,-124.563075,12522,"South Coastal Region",0,"Always On",0.01700888894,0.068510461,5,41,NA
"12522_SE",49.70213,-124.47636,12522,"South Coastal Region",1,"Always On",0.5024073311,0.429677203,5,199,NA
"12522_SW",49.7022,-124.52268,12522,"South Coastal Region",0,"Always On",0.04416296067,0.8545436541,5,107,NA
"127850_NE",49.313072,-115.01912,127850,"Kootenay Region",0,"Always On",0,2.518593496,2,1244,NA
"127850_NW",49.309601,-115.052005,127850,"Kootenay Region",0,"Always On",0.01720417684,2.59206363,2,928,NA
