"site","GRTS.Cell.ID","Quadrant","Region","lat","long","elevation_m"
"14222_NW",14222,"NW","Alaska",55.79907,-133.11502,48
"165326_SW",165326,"SW","Alaska",58.001551,-134.998695,183
"230862_NE",230862,"NE","Alaska",58.01877,-135.11627,128
"231310_SE",231310,"SE","Alaska",56.22812,-132.07308,128
"24782_NE",24782,"NE","Alaska",56.92286,-133.73519,91
"24782_NW",24782,"NW","Alaska",56.8968,-133.8058,4
"24782_SE",24782,"SE","Alaska",56.87244,-133.67403,35
"28110_NW",28110,"NW","Alaska",57.89266,-135.00079,26
"28110_SW",28110,"SW","Alaska",57.82621,-134.99721,7
"30606_NE",30606,"NE","Alaska",55.35198,-132.87739,19
"30606_SE",30606,"SE","Alaska",55.28049,-132.82971,13
"32654_SE",32654,"SE","Alaska",56.23237,-133.07987,43
"50638_SW",50638,"SW","Alaska",58.06625,-135.20091,126
"7054_NE",7054,"NE","Alaska",55.87109,-132.88345,92
"99790_SE",99790,"SE","Alaska",57.92361,-134.93918,22
