"site","grts_cell","region","region_idx","site_type","lat","long","elevation","water","dist_road_km","dist_harvest_km"
"110378_NE",110378,"Okanagan Region",3,"Rotating",49.04717,-119.5574,1000,1,0.05983249097,0.9384167017
"110378_NW",110378,"Okanagan Region",3,"Rotating",49.035355,-119.575462,1000,1,0.07550459824,1.260797796
"110378_SE",110378,"Okanagan Region",3,"Rotating",49.01485,-119.53228,1000,0,0.1456191997,1.055805588
"110378_SW",110378,"Okanagan Region",3,"Rotating",49.004116,-119.595522,1000,0,0.1284218289,1.884735428
"114602_NE",114602,"South Coastal Region",4,"Rotating",49.70588,-125.06708,1000,0,0.05178907306,0.2118158779
"114602_NW",114602,"South Coastal Region",4,"Rotating",49.67623,-125.13792,1000,0,0.02255201024,0.6399905355
"114602_SE",114602,"South Coastal Region",4,"Rotating",49.65756,-125.0438,1000,0,0.2233894339,1.25076844
"114602_SW",114602,"South Coastal Region",4,"Rotating",49.64146,-125.08654,1000,1,0.04365812049,1.186680084
"115322_NE",115322,"Northern Region",2,"Rotating",52.37764,-125.98565,1000,0,0.1125022593,6.628371071
"115322_NW",115322,"Northern Region",2,"Rotating",52.37481,-126.08159,1000,1,0.2224003113,1.024622202
"115322_SE",115322,"Northern Region",2,"Rotating",52.35752,-126.01253,1000,1,0.1962012273,4.038097902
"115322_SW",115322,"Northern Region",2,"Rotating",52.34498,-126.07967,1000,1,0,0.08753053813
"1194_NW",1194,"Kootenay Region",1,"Always On",50.117491,-117.522995,1000,1,0.02490249454,0.9215126914
"12522_NE",12522,"South Coastal Region",4,"Always On",49.721545,-124.515633,1000,1,0.01145565177,0.546645295
"12522_NW",12522,"South Coastal Region",4,"Always On",49.757569,-124.563075,1000,0,0.01700888894,0.068510461
"12522_SE",12522,"South Coastal Region",4,"Always On",49.70213,-124.47636,1000,1,0.5024073311,0.429677203
"12522_SW",12522,"South Coastal Region",4,"Always On",49.7022,-124.52268,1000,0,0.04416296067,0.8545436541
"127850_NE",127850,"Kootenay Region",1,"Always On",49.313072,-115.01912,1000,0,0,2.518593496
"127850_NW",127850,"Kootenay Region",1,"Always On",49.309601,-115.052005,1000,0,0.01720417684,2.59206363
"127850_SE",127850,"Kootenay Region",1,"Always On",49.284975,-114.953949,1000,1,0.02149092684,1.183838314
"127850_SW",127850,"Kootenay Region",1,"Always On",49.267101,-115.02532,1000,0,0.09175681645,2.173582513
