"site","grts_cell","quadrant","region","lat","long","elevation","water","clutter","dist_road","dist_gravel","dist_paved","dist_harvest","n_years","n_observations","years_sampled","region_idx","elevation_std","clutter_std","dist_road_std","dist_harvest_std"
"110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,NA,1,50,0.05983249097,0.05983249097,1.780763278,0.9384167017,7,26,"2018,2019,2020,2021,2022,2023,2024",3,NA,0.822428414362214,-0.289918528551512,-0.275507870008768
"110378_NW",110378,"NW","Okanagan Region",49.035355,-119.575462,NA,1,50,0.07550459824,0.07550459824,3.283788324,1.260797796,9,36,"2016,2017,2018,2019,2020,2021,2022,2023,2024",3,NA,0.822428414362214,-0.240523100473567,-0.239592590373583
"110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,NA,0,0,0.1456191997,0.1456191997,2.534073515,1.055805588,7,26,"2018,2019,2020,2021,2022,2023,2024",3,NA,-1.42195566969168,-0.0195355399646606,-0.262430010444199
"110378_SW",110378,"SW","Okanagan Region",49.004116,-119.595522,NA,0,0,0.1284218289,0.1284218289,4.907191509,1.884735428,9,36,"2016,2017,2018,2019,2020,2021,2022,2023,2024",3,NA,-1.42195566969168,-0.0737383014597424,-0.170082017562692
"114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,NA,0,75,0.05178907306,0.1959744881,0.05178907306,0.2118158779,5,16,"2018,2019,2020,2022,2024",4,NA,1.94462045638916,-0.315269814376029,-0.356455767485808
"114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,NA,0,50,0.02255201024,0.02255201024,1.069995241,0.6399905355,6,22,"2018,2019,2020,2021,2022,2024",4,NA,0.822428414362214,-0.407419338932956,-0.308754420129213
"114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,NA,0,25,0.2233894339,0.2233894339,0.226896138,1.25076844,6,23,"2018,2019,2020,2021,2022,2024",4,NA,-0.299763627664732,0.225581083080954,-0.240709923652952
"114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,NA,1,0,0.04365812049,0.07176417732,0.04365812049,1.186680084,6,22,"2018,2019,2020,2021,2022,2024",4,NA,-1.42195566969168,-0.340896992390911,-0.24784976922019
"115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,NA,0,25,0.1125022593,4.111075154,0.1125022593,6.628371071,5,17,"2018,2020,2021,2022,2023",2,NA,-0.299763627664732,-0.123913682578649,0.35838880041658
"115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,NA,1,25,0.2224003113,0.2241239187,0.2224003113,1.024622202,7,23,"2018,2019,2020,2021,2022,2023,2024",2,NA,-0.299763627664732,0.22246356139693,-0.265904035590102
"115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,NA,1,75,0.1962012273,1.995704878,0.1962012273,4.038097902,6,18,"2018,2019,2021,2022,2023,2024",2,NA,1.94462045638916,0.139889154067083,0.069816093018363
"115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,NA,1,0,0,0,2.364295926,0.08753053813,7,20,"2018,2019,2020,2021,2022,2023,2024",2,NA,-1.42195566969168,-0.4784988804797,-0.370301935301839
"1194_NW",1194,"NW","Kootenay Region",50.117491,-117.522995,NA,1,0,0.02490249454,0.02490249454,0.7799600988,0.9215126914,9,34,"2016,2017,2018,2019,2020,2021,2022,2023,2024",1,NA,-1.42195566969168,-0.400011070460264,-0.277391082975083
"12522_NE",12522,"NE","South Coastal Region",49.721545,-124.515633,NA,1,25,0.01145565177,0.01145565177,0.3709523363,0.546645295,6,17,"2016,2017,2019,2020,2021,2022",4,NA,-0.299763627664732,-0.442392898473426,-0.319153666469792
"12522_NW",12522,"NW","South Coastal Region",49.757569,-124.563075,NA,0,25,0.01700888894,0.01700888894,0.1397764258,0.068510461,6,19,"2016,2017,2018,2019,2020,2024",4,NA,-0.299763627664732,-0.424890177077715,-0.372420891409641
"12522_SE",12522,"SE","South Coastal Region",49.70213,-124.47636,NA,1,50,0.5024073311,0.5024073311,0.8121374289,0.429677203,7,22,"2016,2017,2018,2020,2021,2023,2024",4,NA,0.822428414362214,1.10499112259646,-0.332184646905216
"12522_SW",12522,"SW","South Coastal Region",49.7022,-124.52268,NA,0,50,0.04416296067,0.0676506634,0.04416296067,0.8545436541,7,22,"2016,2017,2018,2019,2020,2021,2022",4,NA,0.822428414362214,-0.339305834522193,-0.284851854540336
"127850_NE",127850,"NE","Kootenay Region",49.313072,-115.01912,NA,0,25,0,0,1.273716032,2.518593496,5,17,"2017,2018,2019,2020,2021",1,NA,-0.299763627664732,-0.4784988804797,-0.099466245844847
"127850_NW",127850,"NW","Kootenay Region",49.309601,-115.052005,NA,0,75,0.01720417684,0.01720417684,0.3023718728,2.59206363,8,26,"2016,2017,2018,2019,2020,2021,2022,2024",1,NA,1.94462045638916,-0.424274667672837,-0.0912812112565936
"127850_SE",127850,"SE","Kootenay Region",49.284975,-114.953949,NA,1,75,0.02149092684,0.02149092684,0.06374014085,1.183838314,6,24,"2016,2019,2020,2021,2022,2023",1,NA,1.94462045638916,-0.410763667035516,-0.24816636025488
"127850_SW",127850,"SW","Kootenay Region",49.267101,-115.02532,NA,0,50,0.09175681645,0.09175681645,0.903750551,2.173582513,8,28,"2017,2018,2019,2020,2021,2022,2023,2024",1,NA,0.822428414362214,-0.189299275759463,-0.137902637279526
"128058_NE",128058,"NE","South Coastal Region",48.841169,-123.427265,NA,1,50,0.2640836948,0.8980256359,0.2640836948,2.736497264,5,18,"2018,2019,2020,2021,2022",4,NA,0.822428414362214,0.353841463311945,-0.0751903968584991
"128058_NW",128058,"NW","South Coastal Region",48.82144,-123.486428,NA,1,25,0.009085159735,0.009085159735,0.3043731103,1.7946263,5,20,"2018,2019,2020,2021,2022",4,NA,-0.299763627664732,-0.449864227427914,-0.18012074063617
