"species","process","covariate","param","mean","lo95","hi95","lo50","hi50","f","excludes_zero"
"LACI","Initial occupancy","Elevation","b.psi.elev",-0.5982,-1.5015,0.2252,-0.8687,-0.3026,0.9169,FALSE
"LACI","Initial occupancy","Distance to water","b.psi.water",0.0168,-0.8319,0.8947,-0.2712,0.3003,0.5133,FALSE
"LACI","Colonization","Elevation","b.gam.elev",-0.2998,-0.652,0.0471,-0.4157,-0.1786,0.958,FALSE
"LACI","Colonization","Distance to water","b.gam.water",0.0601,-0.2957,0.4327,-0.0622,0.1792,0.626,FALSE
"LACI","Colonization","Distance to road","b.gam.road",-0.464,-0.8177,-0.127,-0.5802,-0.3416,0.9971,TRUE
"LACI","Colonization","Distance to harvest","b.gam.harv",0.1847,-0.0761,0.4541,0.0923,0.2764,0.9138,FALSE
"LACI","Persistence","Elevation","b.phi.elev",-0.2045,-0.6205,0.2686,-0.359,-0.0623,0.8191,FALSE
"LACI","Persistence","Distance to water","b.phi.water",-0.3099,-0.6788,0.0528,-0.4337,-0.1811,0.9487,FALSE
"LACI","Persistence","Distance to road","b.phi.road",0.2169,-0.1513,0.5671,0.099,0.3413,0.8811,FALSE
"LACI","Persistence","Distance to harvest","b.phi.harv",0.1504,-0.1485,0.445,0.0492,0.2489,0.8462,FALSE
"LACI","Detection","Clutter","b.p.clutter",-0.0014,-0.0884,0.0841,-0.031,0.0285,0.5171,FALSE
"LACI","Detection","Temperature","b.p.temp",0.5529,0.452,0.6523,0.5189,0.5869,1,TRUE
"LACI","Detection","Julian date","b.p.julian",0.2142,0.119,0.3119,0.1814,0.2482,1,TRUE
