"species","scope","process","year","mean","lo95","hi95"
"ANPA","BC (all sites)","Colonization",2018,0.116,0,1
"ANPA","BC (all sites)","Colonization",2019,0.0806,0,0.7565
"ANPA","BC (all sites)","Colonization",2020,0.0473,0,0.5978
"ANPA","BC (all sites)","Colonization",2021,0.0039,0,0.0351
"ANPA","BC (all sites)","Colonization",2022,0.1149,0.0473,0.1862
"ANPA","BC (all sites)","Colonization",2023,0.0063,0,0.0608
"ANPA","BC (all sites)","Colonization",2024,0.0109,0,0.0853
"ANPA","BC (all sites)","Colonization",2025,0.0225,0,0.1264
"ANPA","BC (all sites)","Persistence",2018,0.3124,0,0.8848
"ANPA","BC (all sites)","Persistence",2019,0.6892,0.1137,1
"ANPA","BC (all sites)","Persistence",2020,0.6231,0.0606,1
"ANPA","BC (all sites)","Persistence",2021,0.7335,0.0822,1
"ANPA","BC (all sites)","Persistence",2022,0.9274,0.625,1
"ANPA","BC (all sites)","Persistence",2023,0.8586,0.3548,1
"ANPA","BC (all sites)","Persistence",2024,0.9335,0.6222,1
"ANPA","BC (all sites)","Persistence",2025,0.9559,0.7586,1
"ANPA","Kootenay Region","Colonization",2018,0.2156,0,1
"ANPA","Kootenay Region","Colonization",2019,0.1792,0,1
"ANPA","Kootenay Region","Colonization",2020,0.1136,0,1
"ANPA","Kootenay Region","Colonization",2021,0.0171,0,0.1845
"ANPA","Kootenay Region","Colonization",2022,0.449,0.2083,0.7105
"ANPA","Kootenay Region","Colonization",2023,0.0343,0,0.3182
"ANPA","Kootenay Region","Colonization",2024,0.0522,0,0.3802
"ANPA","Kootenay Region","Colonization",2025,0.1056,0,0.5492
"ANPA","Kootenay Region","Persistence",2018,0.4333,0,1
"ANPA","Kootenay Region","Persistence",2019,0.6258,0,1
"ANPA","Kootenay Region","Persistence",2020,0.4857,0,1
"ANPA","Kootenay Region","Persistence",2021,0.5516,0,1
"ANPA","Kootenay Region","Persistence",2022,0.8489,0,1
"ANPA","Kootenay Region","Persistence",2023,0.828,0.0952,1
"ANPA","Kootenay Region","Persistence",2024,0.9039,0.3333,1
"ANPA","Kootenay Region","Persistence",2025,0.9396,0.5337,1
"ANPA","Northern Region","Colonization",2018,0.0744,0,1
"ANPA","Northern Region","Colonization",2019,0.0512,0,0.7118
"ANPA","Northern Region","Colonization",2020,0.0316,0,0.5085
"ANPA","Northern Region","Colonization",2021,0.0014,0,0
"ANPA","Northern Region","Colonization",2022,0.0122,0,0.0667
"ANPA","Northern Region","Colonization",2023,0.0015,0,0.0169
"ANPA","Northern Region","Colonization",2024,0.0017,0,0.0169
"ANPA","Northern Region","Colonization",2025,0.0018,0,0.0172
"ANPA","Northern Region","Persistence",2018,0.1823,0,0.9085
"ANPA","Northern Region","Persistence",2019,0.415,0,1
"ANPA","Northern Region","Persistence",2020,0.3134,0,1
"ANPA","Northern Region","Persistence",2021,NA,NA,NA
"ANPA","Northern Region","Persistence",2022,NA,NA,NA
"ANPA","Northern Region","Persistence",2023,NA,NA,NA
"ANPA","Northern Region","Persistence",2024,NA,NA,NA
"ANPA","Northern Region","Persistence",2025,NA,NA,NA
"ANPA","Okanagan Region","Colonization",2018,0.136,0,1
"ANPA","Okanagan Region","Colonization",2019,0.1013,0,0.9542
"ANPA","Okanagan Region","Colonization",2020,0.0632,0,0.7785
"ANPA","Okanagan Region","Colonization",2021,0.0053,0,0.0625
"ANPA","Okanagan Region","Colonization",2022,0.0833,0,0.24
"ANPA","Okanagan Region","Colonization",2023,0.0051,0,0.0526
"ANPA","Okanagan Region","Colonization",2024,0.0082,0,0.087
"ANPA","Okanagan Region","Colonization",2025,0.0176,0,0.12
"ANPA","Okanagan Region","Persistence",2018,0.695,0,1
"ANPA","Okanagan Region","Persistence",2019,0.858,0.309,1
"ANPA","Okanagan Region","Persistence",2020,0.7545,0.2033,1
"ANPA","Okanagan Region","Persistence",2021,0.8286,0.2834,1
"ANPA","Okanagan Region","Persistence",2022,0.951,0.7143,1
"ANPA","Okanagan Region","Persistence",2023,0.9692,0.7778,1
"ANPA","Okanagan Region","Persistence",2024,0.9824,0.8394,1
"ANPA","Okanagan Region","Persistence",2025,0.9885,0.8889,1
"ANPA","South Coastal Region","Colonization",2018,0.0696,0,1
"ANPA","South Coastal Region","Colonization",2019,0.0514,0,0.7293
"ANPA","South Coastal Region","Colonization",2020,0.0279,0,0.4431
"ANPA","South Coastal Region","Colonization",2021,5e-04,0,0
"ANPA","South Coastal Region","Colonization",2022,0.009,0,0.0566
"ANPA","South Coastal Region","Colonization",2023,0.0012,0,0.0192
"ANPA","South Coastal Region","Colonization",2024,0.0016,0,0.0192
"ANPA","South Coastal Region","Colonization",2025,0.0022,0,0.0192
"ANPA","South Coastal Region","Persistence",2018,0.1733,0,0.92
"ANPA","South Coastal Region","Persistence",2019,0.3976,0,1
"ANPA","South Coastal Region","Persistence",2020,0.2885,0,1
"ANPA","South Coastal Region","Persistence",2021,NA,NA,NA
"ANPA","South Coastal Region","Persistence",2022,NA,NA,NA
"ANPA","South Coastal Region","Persistence",2023,NA,NA,NA
"ANPA","South Coastal Region","Persistence",2024,NA,NA,NA
"ANPA","South Coastal Region","Persistence",2025,NA,NA,NA
