"species","scope","process","year","mean","lo95","hi95"
"LANO","BC (all sites)","Colonization",2018,0.4781,0.2903,0.6545
"LANO","BC (all sites)","Colonization",2019,0.4485,0.2727,0.6176
"LANO","BC (all sites)","Colonization",2020,0.3252,0.1905,0.463
"LANO","BC (all sites)","Colonization",2021,0.578,0.4375,0.7368
"LANO","BC (all sites)","Colonization",2022,0.5494,0.4138,0.6957
"LANO","BC (all sites)","Colonization",2023,0.4497,0.2609,0.6486
"LANO","BC (all sites)","Colonization",2024,0.4338,0.2273,0.6364
"LANO","BC (all sites)","Colonization",2025,0.4077,0.2308,0.6
"LANO","BC (all sites)","Persistence",2018,0.9508,0.9026,0.9865
"LANO","BC (all sites)","Persistence",2019,0.9188,0.882,0.9497
"LANO","BC (all sites)","Persistence",2020,0.9148,0.8704,0.9554
"LANO","BC (all sites)","Persistence",2021,0.8851,0.8377,0.9247
"LANO","BC (all sites)","Persistence",2022,0.937,0.9045,0.9667
"LANO","BC (all sites)","Persistence",2023,0.9492,0.9141,0.9811
"LANO","BC (all sites)","Persistence",2024,0.9846,0.9518,1
"LANO","BC (all sites)","Persistence",2025,0.913,0.8786,0.9412
"LANO","Kootenay Region","Colonization",2018,0.5749,0.25,0.8333
"LANO","Kootenay Region","Colonization",2019,0.6237,0.25,0.9
"LANO","Kootenay Region","Colonization",2020,0.4413,0.1667,0.6667
"LANO","Kootenay Region","Colonization",2021,0.7029,0.5,0.8571
"LANO","Kootenay Region","Colonization",2022,0.7381,0.5,1
"LANO","Kootenay Region","Colonization",2023,0.6094,0.3333,1
"LANO","Kootenay Region","Colonization",2024,0.6287,0.25,1
"LANO","Kootenay Region","Colonization",2025,0.6071,0,1
"LANO","Kootenay Region","Persistence",2018,0.9404,0.8148,1
"LANO","Kootenay Region","Persistence",2019,0.8415,0.75,0.9143
"LANO","Kootenay Region","Persistence",2020,0.8749,0.7879,0.9667
"LANO","Kootenay Region","Persistence",2021,0.84,0.75,0.9062
"LANO","Kootenay Region","Persistence",2022,0.8897,0.8387,0.9355
"LANO","Kootenay Region","Persistence",2023,0.8662,0.7941,0.9412
"LANO","Kootenay Region","Persistence",2024,0.9855,0.9333,1
"LANO","Kootenay Region","Persistence",2025,0.9064,0.8333,0.9714
"LANO","Northern Region","Colonization",2018,0.356,0.1111,0.6316
"LANO","Northern Region","Colonization",2019,0.2415,0,0.5
"LANO","Northern Region","Colonization",2020,0.2682,0.1176,0.4375
"LANO","Northern Region","Colonization",2021,0.4853,0.2667,0.75
"LANO","Northern Region","Colonization",2022,0.3834,0.1667,0.6154
"LANO","Northern Region","Colonization",2023,0.3323,0.0769,0.6154
"LANO","Northern Region","Colonization",2024,0.3026,0.0769,0.5478
"LANO","Northern Region","Colonization",2025,0.3951,0.2222,0.6
"LANO","Northern Region","Persistence",2018,0.9279,0.8431,0.98
"LANO","Northern Region","Persistence",2019,0.8699,0.7907,0.9348
"LANO","Northern Region","Persistence",2020,0.9035,0.8,0.9783
"LANO","Northern Region","Persistence",2021,0.8337,0.7209,0.9302
"LANO","Northern Region","Persistence",2022,0.9122,0.8333,0.9773
"LANO","Northern Region","Persistence",2023,0.9365,0.8511,1
"LANO","Northern Region","Persistence",2024,0.9722,0.9052,1
"LANO","Northern Region","Persistence",2025,0.8341,0.76,0.8846
"LANO","Okanagan Region","Colonization",2018,0.9281,0.5,1
"LANO","Okanagan Region","Colonization",2019,0.9456,0.5,1
"LANO","Okanagan Region","Colonization",2020,0.9405,0.5,1
"LANO","Okanagan Region","Colonization",2021,0.6142,0.3333,1
"LANO","Okanagan Region","Colonization",2022,0.7574,0.5,1
"LANO","Okanagan Region","Colonization",2023,0.7245,0.5,1
"LANO","Okanagan Region","Colonization",2024,0.7057,0,1
"LANO","Okanagan Region","Colonization",2025,NA,NA,NA
"LANO","Okanagan Region","Persistence",2018,0.9545,0.8966,1
"LANO","Okanagan Region","Persistence",2019,0.9621,0.9032,1
"LANO","Okanagan Region","Persistence",2020,0.8679,0.8065,0.9375
"LANO","Okanagan Region","Persistence",2021,0.8801,0.8214,0.931
"LANO","Okanagan Region","Persistence",2022,0.9411,0.8621,1
"LANO","Okanagan Region","Persistence",2023,0.9869,0.9333,1
"LANO","Okanagan Region","Persistence",2024,0.9932,0.9667,1
"LANO","Okanagan Region","Persistence",2025,0.9529,0.9062,1
"LANO","South Coastal Region","Colonization",2018,0.3165,0,0.6667
"LANO","South Coastal Region","Colonization",2019,0.5153,0.2,0.8
"LANO","South Coastal Region","Colonization",2020,0.0764,0,0.5
"LANO","South Coastal Region","Colonization",2021,0.6527,0.3333,1
"LANO","South Coastal Region","Colonization",2022,0.5563,0,1
"LANO","South Coastal Region","Colonization",2023,0.4346,0,1
"LANO","South Coastal Region","Colonization",2024,0.2964,0,1
"LANO","South Coastal Region","Colonization",2025,0.1181,0,0.6667
"LANO","South Coastal Region","Persistence",2018,0.9802,0.9167,1
"LANO","South Coastal Region","Persistence",2019,0.9962,0.9773,1
"LANO","South Coastal Region","Persistence",2020,0.9807,0.9388,1
"LANO","South Coastal Region","Persistence",2021,0.9637,0.92,1
"LANO","South Coastal Region","Persistence",2022,0.9875,0.9592,1
"LANO","South Coastal Region","Persistence",2023,0.9937,0.9608,1
"LANO","South Coastal Region","Persistence",2024,0.9906,0.9592,1
"LANO","South Coastal Region","Persistence",2025,0.9701,0.9231,1
