"species","scope","process","year","mean","lo95","hi95"
"MYYU","BC (all sites)","Colonization",2018,0.1841,0.1099,0.2632
"MYYU","BC (all sites)","Colonization",2019,0.1349,0.0825,0.1892
"MYYU","BC (all sites)","Colonization",2020,0.1239,0.0773,0.1713
"MYYU","BC (all sites)","Colonization",2021,0.1618,0.1217,0.2034
"MYYU","BC (all sites)","Colonization",2022,0.1787,0.1386,0.2222
"MYYU","BC (all sites)","Colonization",2023,0.1671,0.1277,0.2121
"MYYU","BC (all sites)","Colonization",2024,0.1704,0.125,0.2206
"MYYU","BC (all sites)","Colonization",2025,0.1778,0.1329,0.2292
"MYYU","BC (all sites)","Persistence",2018,0.7834,0.6712,0.8852
"MYYU","BC (all sites)","Persistence",2019,0.8058,0.7262,0.882
"MYYU","BC (all sites)","Persistence",2020,0.7439,0.6708,0.8133
"MYYU","BC (all sites)","Persistence",2021,0.8631,0.8056,0.9118
"MYYU","BC (all sites)","Persistence",2022,0.8684,0.8205,0.9125
"MYYU","BC (all sites)","Persistence",2023,0.8666,0.8161,0.9111
"MYYU","BC (all sites)","Persistence",2024,0.8328,0.7766,0.8847
"MYYU","BC (all sites)","Persistence",2025,0.8483,0.7917,0.9011
"MYYU","Kootenay Region","Colonization",2018,0.2152,0.0526,0.4118
"MYYU","Kootenay Region","Colonization",2019,0.1386,0.04,0.2727
"MYYU","Kootenay Region","Colonization",2020,0.2128,0.1111,0.3226
"MYYU","Kootenay Region","Colonization",2021,0.22,0.1538,0.32
"MYYU","Kootenay Region","Colonization",2022,0.2257,0.15,0.32
"MYYU","Kootenay Region","Colonization",2023,0.3806,0.3158,0.4783
"MYYU","Kootenay Region","Colonization",2024,0.2187,0.125,0.3333
"MYYU","Kootenay Region","Colonization",2025,0.2787,0.1905,0.3889
"MYYU","Kootenay Region","Persistence",2018,0.6342,0.4,0.8482
"MYYU","Kootenay Region","Persistence",2019,0.5351,0.2857,0.7778
"MYYU","Kootenay Region","Persistence",2020,0.7397,0.5,0.9167
"MYYU","Kootenay Region","Persistence",2021,0.6744,0.5556,0.7692
"MYYU","Kootenay Region","Persistence",2022,0.7709,0.6667,0.875
