"species","scope","year","mean","lo95","hi95","naive","n_surveyed"
"ANPA","BC (all sites)",2017,0.4456,0.1946,0.6811,0,61
"ANPA","BC (all sites)",2018,0.1867,0.0216,0.5946,0.0094,106
"ANPA","BC (all sites)",2019,0.1739,0.0432,0.7866,0.0078,129
"ANPA","BC (all sites)",2020,0.1194,0.0324,0.6541,0.0073,137
"ANPA","BC (all sites)",2021,0.0587,0.027,0.1189,0.04,125
"ANPA","BC (all sites)",2022,0.1621,0.1135,0.227,0.0872,149
"ANPA","BC (all sites)",2023,0.1434,0.0649,0.2,0.0088,113
"ANPA","BC (all sites)",2024,0.1437,0.0649,0.1946,0.0156,128
"ANPA","BC (all sites)",2025,0.1576,0.1297,0.2,0.1628,129
"ANPA","BC (surveyed sites)",2017,0.4286,0.1803,0.7049,0,61
"ANPA","BC (surveyed sites)",2018,0.1958,0.0189,0.566,0.0094,106
"ANPA","BC (surveyed sites)",2019,0.1782,0.0465,0.7907,0.0078,129
"ANPA","BC (surveyed sites)",2020,0.1332,0.0365,0.6715,0.0073,137
"ANPA","BC (surveyed sites)",2021,0.0744,0.04,0.136,0.04,125
"ANPA","BC (surveyed sites)",2022,0.1621,0.1141,0.2215,0.0872,149
"ANPA","BC (surveyed sites)",2023,0.1926,0.0885,0.2655,0.0088,113
"ANPA","BC (surveyed sites)",2024,0.1588,0.074,0.2109,0.0156,128
"ANPA","BC (surveyed sites)",2025,0.1914,0.1628,0.2326,0.1628,129
"ANPA","BC (region-weighted)",2017,0.4439,0.2104,0.6803,NA,61
"ANPA","BC (region-weighted)",2018,0.2151,0.0297,0.6406,NA,106
"ANPA","BC (region-weighted)",2019,0.2051,0.0541,0.8088,NA,129
"ANPA","BC (region-weighted)",2020,0.1448,0.0443,0.6935,NA,137
"ANPA","BC (region-weighted)",2021,0.0787,0.0379,0.1533,NA,125
"ANPA","BC (region-weighted)",2022,0.2013,0.1432,0.2721,NA,149
"ANPA","BC (region-weighted)",2023,0.18,0.0842,0.2448,NA,113
"ANPA","BC (region-weighted)",2024,0.1806,0.0854,0.2408,NA,128
"ANPA","BC (region-weighted)",2025,0.1975,0.1621,0.2484,NA,129
"ANPA","Kootenay Region",2017,0.3356,0,0.9231,0,18
"ANPA","Kootenay Region",2018,0.2273,0,0.9231,0,10
"ANPA","Kootenay Region",2019,0.239,0,0.9744,0,26
"ANPA","Kootenay Region",2020,0.15,0,0.9487,0,31
"ANPA","Kootenay Region",2021,0.0524,0,0.2564,0,30
"ANPA","Kootenay Region",2022,0.4745,0.3077,0.6923,0.2727,33
"ANPA","Kootenay Region",2023,0.4064,0.0769,0.6154,0,30
"ANPA","Kootenay Region",2024,0.411,0.0635,0.5897,0.037,27
"ANPA","Kootenay Region",2025,0.4692,0.359,0.6154,0.4333,30
"ANPA","Northern Region",2017,0.4565,0.05,0.9,0,15
"ANPA","Northern Region",2018,0.1065,0,0.5667,0,29
"ANPA","Northern Region",2019,0.0797,0,0.7167,0,33
"ANPA","Northern Region",2020,0.0467,0,0.5833,0,31
"ANPA","Northern Region",2021,0.004,0,0.0333,0,23
"ANPA","Northern Region",2022,0.0139,0,0.0667,0,45
"ANPA","Northern Region",2023,0.0077,0,0.05,0,21
"ANPA","Northern Region",2024,0.0061,0,0.0333,0,47
"ANPA","Northern Region",2025,0.0058,0,0.0333,0,44
"ANPA","Okanagan Region",2017,0.5079,0.0909,0.9394,0,12
"ANPA","Okanagan Region",2018,0.4317,0.0606,0.9091,0.04,25
"ANPA","Okanagan Region",2019,0.4255,0.1515,0.9394,0.0385,26
"ANPA","Okanagan Region",2020,0.3413,0.1515,0.8788,0.0333,30
"ANPA","Okanagan Region",2021,0.2565,0.1515,0.3636,0.1667,30
"ANPA","Okanagan Region",2022,0.3067,0.2121,0.4242,0.1667,24
"ANPA","Okanagan Region",2023,0.3,0.2121,0.3939,0.0345,29
"ANPA","Okanagan Region",2024,0.3003,0.2121,0.3939,0.04,25
"ANPA","Okanagan Region",2025,0.3095,0.2424,0.4242,0.2857,28
"ANPA","South Coastal Region",2017,0.4755,0.0377,0.9245,0,16
"ANPA","South Coastal Region",2018,0.095,0,0.5094,0,42
"ANPA","South Coastal Region",2019,0.0761,0,0.717,0,44
"ANPA","South Coastal Region",2020,0.041,0,0.5283,0,45
"ANPA","South Coastal Region",2021,0.0022,0,0.0189,0,42
"ANPA","South Coastal Region",2022,0.01,0,0.0566,0,47
"ANPA","South Coastal Region",2023,0.0059,0,0.0377,0,33
"ANPA","South Coastal Region",2024,0.0051,0,0.0377,0,29
"ANPA","South Coastal Region",2025,0.0054,0,0.0377,0,27
