"species","scope","year","mean","lo95","hi95","naive","n_surveyed"
"EUMA","BC (all sites)",2017,0.1173,0.0541,0.2245,0.0492,61
"EUMA","BC (all sites)",2018,0.0696,0.0486,0.0973,0.0755,106
"EUMA","BC (all sites)",2019,0.0627,0.0486,0.0811,0.062,129
"EUMA","BC (all sites)",2020,0.0889,0.0703,0.1135,0.0949,137
"EUMA","BC (all sites)",2021,0.0622,0.0432,0.0919,0.064,125
"EUMA","BC (all sites)",2022,0.1018,0.0757,0.1351,0.0805,149
"EUMA","BC (all sites)",2023,0.0872,0.0595,0.1243,0.0708,113
"EUMA","BC (all sites)",2024,0.0872,0.0703,0.1135,0.0938,128
"EUMA","BC (all sites)",2025,0.082,0.0595,0.1135,0.0775,129
"EUMA","BC (surveyed sites)",2017,0.0888,0.0492,0.1803,0.0492,61
"EUMA","BC (surveyed sites)",2018,0.0942,0.0755,0.1226,0.0755,106
"EUMA","BC (surveyed sites)",2019,0.0656,0.062,0.0775,0.062,129
"EUMA","BC (surveyed sites)",2020,0.1102,0.0949,0.1387,0.0949,137
"EUMA","BC (surveyed sites)",2021,0.0882,0.064,0.128,0.064,125
"EUMA","BC (surveyed sites)",2022,0.104,0.0805,0.1342,0.0805,149
"EUMA","BC (surveyed sites)",2023,0.1269,0.0796,0.177,0.0708,113
"EUMA","BC (surveyed sites)",2024,0.1051,0.0938,0.1328,0.0938,128
"EUMA","BC (surveyed sites)",2025,0.1019,0.0775,0.1318,0.0775,129
"EUMA","BC (region-weighted)",2017,0.1414,0.0683,0.2507,NA,61
"EUMA","BC (region-weighted)",2018,0.0946,0.0682,0.1288,NA,106
"EUMA","BC (region-weighted)",2019,0.0868,0.0682,0.1102,NA,129
"EUMA","BC (region-weighted)",2020,0.1233,0.0985,0.1579,NA,137
"EUMA","BC (region-weighted)",2021,0.0867,0.0606,0.1257,NA,125
"EUMA","BC (region-weighted)",2022,0.1417,0.1061,0.1894,NA,149
"EUMA","BC (region-weighted)",2023,0.1211,0.0805,0.1667,NA,113
"EUMA","BC (region-weighted)",2024,0.1215,0.0985,0.1591,NA,128
"EUMA","BC (region-weighted)",2025,0.1141,0.0833,0.1522,NA,129
"EUMA","Kootenay Region",2017,0.0524,0,0.2051,0,18
"EUMA","Kootenay Region",2018,0.009,0,0.0513,0,10
"EUMA","Kootenay Region",2019,0.0034,0,0.0256,0,26
"EUMA","Kootenay Region",2020,0.0029,0,0.0256,0,31
"EUMA","Kootenay Region",2021,0.001,0,0.0256,0,30
"EUMA","Kootenay Region",2022,0.0026,0,0.0256,0,33
"EUMA","Kootenay Region",2023,0.0023,0,0.0256,0,30
"EUMA","Kootenay Region",2024,0.0015,0,0.0256,0,27
"EUMA","Kootenay Region",2025,0.0016,0,0.0256,0,30
"EUMA","Northern Region",2017,0.0721,0,0.2667,0,15
"EUMA","Northern Region",2018,0.0097,0,0.05,0,29
"EUMA","Northern Region",2019,0.0041,0,0.0333,0,33
"EUMA","Northern Region",2020,0.0048,0,0.0333,0,31
"EUMA","Northern Region",2021,0.0016,0,0.0167,0,23
"EUMA","Northern Region",2022,0.003,0,0.0167,0,45
"EUMA","Northern Region",2023,0.003,0,0.0333,0,21
"EUMA","Northern Region",2024,0.0014,0,0.0167,0,47
"EUMA","Northern Region",2025,0.0015,0,0.0167,0,44
"EUMA","Okanagan Region",2017,0.4023,0.1818,0.6667,0.25,12
"EUMA","Okanagan Region",2018,0.3564,0.2727,0.4848,0.32,25
"EUMA","Okanagan Region",2019,0.3384,0.2727,0.4242,0.3077,26
"EUMA","Okanagan Region",2020,0.4835,0.3939,0.6061,0.4333,30
"EUMA","Okanagan Region",2021,0.3435,0.2424,0.4848,0.2667,30
"EUMA","Okanagan Region",2022,0.5595,0.4242,0.7273,0.5,24
"EUMA","Okanagan Region",2023,0.477,0.303,0.6364,0.2759,29
"EUMA","Okanagan Region",2024,0.4806,0.3939,0.622,0.48,25
"EUMA","Okanagan Region",2025,0.4508,0.3333,0.6061,0.3571,28
"EUMA","South Coastal Region",2017,0.0387,0,0.1887,0,16
"EUMA","South Coastal Region",2018,0.0034,0,0.0189,0,42
"EUMA","South Coastal Region",2019,0.0011,0,0.0189,0,44
"EUMA","South Coastal Region",2020,0.0018,0,0.0189,0,45
"EUMA","South Coastal Region",2021,6e-04,0,0.0189,0,42
"EUMA","South Coastal Region",2022,0.0018,0,0.0189,0,47
"EUMA","South Coastal Region",2023,0.0022,0,0.0189,0,33
"EUMA","South Coastal Region",2024,0.0025,0,0.0189,0,29
"EUMA","South Coastal Region",2025,0.0027,0,0.0189,0,27
