"species","scope","year","mean","lo95","hi95","naive","n_surveyed"
"MYVO","BC (all sites)",2017,0.6131,0.5027,0.7189,0.5082,61
"MYVO","BC (all sites)",2018,0.6525,0.5892,0.7135,0.6132,106
"MYVO","BC (all sites)",2019,0.6261,0.573,0.6811,0.5814,129
"MYVO","BC (all sites)",2020,0.6286,0.5676,0.6919,0.5401,137
"MYVO","BC (all sites)",2021,0.7389,0.6973,0.7838,0.728,125
"MYVO","BC (all sites)",2022,0.7534,0.7135,0.7892,0.7181,149
"MYVO","BC (all sites)",2023,0.8311,0.7946,0.8649,0.7965,113
"MYVO","BC (all sites)",2024,0.7784,0.7351,0.8216,0.7188,128
"MYVO","BC (all sites)",2025,0.7887,0.7459,0.827,0.7752,129
"MYVO","BC (surveyed sites)",2017,0.5798,0.5082,0.6721,0.5082,61
"MYVO","BC (surveyed sites)",2018,0.6534,0.6226,0.6981,0.6132,106
"MYVO","BC (surveyed sites)",2019,0.6297,0.5891,0.6822,0.5814,129
"MYVO","BC (surveyed sites)",2020,0.6475,0.5912,0.708,0.5401,137
"MYVO","BC (surveyed sites)",2021,0.7723,0.744,0.808,0.728,125
"MYVO","BC (surveyed sites)",2022,0.7581,0.7315,0.7852,0.7181,149
"MYVO","BC (surveyed sites)",2023,0.8104,0.7965,0.8319,0.7965,113
"MYVO","BC (surveyed sites)",2024,0.7677,0.7344,0.8047,0.7188,128
"MYVO","BC (surveyed sites)",2025,0.7883,0.7752,0.814,0.7752,129
"MYVO","BC (region-weighted)",2017,0.5978,0.49,0.7048,NA,61
"MYVO","BC (region-weighted)",2018,0.6465,0.5827,0.7099,NA,106
"MYVO","BC (region-weighted)",2019,0.6183,0.5643,0.6762,NA,129
"MYVO","BC (region-weighted)",2020,0.6196,0.559,0.6845,NA,137
"MYVO","BC (region-weighted)",2021,0.7307,0.6884,0.774,NA,125
"MYVO","BC (region-weighted)",2022,0.7489,0.7074,0.7898,NA,149
"MYVO","BC (region-weighted)",2023,0.8344,0.7999,0.8697,NA,113
"MYVO","BC (region-weighted)",2024,0.7741,0.7265,0.8209,NA,128
"MYVO","BC (region-weighted)",2025,0.7817,0.74,0.8197,NA,129
"MYVO","Kootenay Region",2017,0.4853,0.3077,0.6923,0.4444,18
"MYVO","Kootenay Region",2018,0.6031,0.4481,0.7436,0.4,10
"MYVO","Kootenay Region",2019,0.6047,0.4872,0.7179,0.5,26
"MYVO","Kootenay Region",2020,0.6484,0.5641,0.7436,0.5806,31
"MYVO","Kootenay Region",2021,0.7687,0.6923,0.8462,0.7667,30
"MYVO","Kootenay Region",2022,0.8166,0.7436,0.8718,0.7879,33
"MYVO","Kootenay Region",2023,0.9309,0.8718,0.9744,0.9667,30
"MYVO","Kootenay Region",2024,0.793,0.7179,0.8718,0.7037,27
"MYVO","Kootenay Region",2025,0.9099,0.8462,0.9487,0.9333,30
"MYVO","Northern Region",2017,0.7109,0.5,0.9,0.5333,15
"MYVO","Northern Region",2018,0.7784,0.6833,0.8833,0.8621,29
"MYVO","Northern Region",2019,0.7376,0.65,0.8167,0.8182,33
"MYVO","Northern Region",2020,0.7144,0.6167,0.8,0.6452,31
"MYVO","Northern Region",2021,0.7561,0.6833,0.8333,0.8696,23
"MYVO","Northern Region",2022,0.7576,0.7,0.8167,0.7333,45
"MYVO","Northern Region",2023,0.7729,0.7167,0.8167,0.5238,21
"MYVO","Northern Region",2024,0.7824,0.7333,0.8333,0.7234,47
"MYVO","Northern Region",2025,0.7774,0.7333,0.8167,0.75,44
"MYVO","Okanagan Region",2017,0.5739,0.3333,0.7879,0.5,12
"MYVO","Okanagan Region",2018,0.6678,0.5758,0.7879,0.68,25
"MYVO","Okanagan Region",2019,0.5977,0.5152,0.697,0.5769,26
"MYVO","Okanagan Region",2020,0.5497,0.4545,0.6667,0.4667,30
"MYVO","Okanagan Region",2021,0.6369,0.5758,0.7273,0.6,30
"MYVO","Okanagan Region",2022,0.6627,0.5455,0.7576,0.5833,24
"MYVO","Okanagan Region",2023,0.776,0.697,0.8485,0.7241,29
"MYVO","Okanagan Region",2024,0.7237,0.6061,0.8182,0.72,25
"MYVO","Okanagan Region",2025,0.6252,0.5455,0.697,0.5714,28
"MYVO","South Coastal Region",2017,0.621,0.434,0.8113,0.5625,16
"MYVO","South Coastal Region",2018,0.5368,0.4528,0.6415,0.4524,42
"MYVO","South Coastal Region",2019,0.5332,0.4528,0.6226,0.4545,44
"MYVO","South Coastal Region",2020,0.566,0.4906,0.6604,0.4889,45
"MYVO","South Coastal Region",2021,0.761,0.6981,0.8302,0.7143,42
"MYVO","South Coastal Region",2022,0.7588,0.6981,0.8113,0.7234,47
"MYVO","South Coastal Region",2023,0.8579,0.7925,0.9057,0.8788,33
"MYVO","South Coastal Region",2024,0.7971,0.717,0.8679,0.7241,29
"MYVO","South Coastal Region",2025,0.8142,0.717,0.9057,0.8519,27
