"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"ANPA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,4,TRUE,0.8265,0.2825,0.0986,0.5052
"ANPA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,4,TRUE,0.9783,0.4028,0.1586,0.6991
"ANPA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,1,TRUE,0.3242,0.3621,0.1354,0.6184
"ANPA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,2,TRUE,0.8424,0.4108,0.2001,0.6393
"ANPA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,0,FALSE,0.108,0.3271,0.1536,0.551
"ANPA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,1,TRUE,0.89,0.3045,0.1241,0.5514
"ANPA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,0,FALSE,0.0308,0.0788,0.0049,0.2052
"ANPA","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,0,FALSE,0.0238,0.0607,0.0024,0.1847
"ANPA","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,0,FALSE,0.0395,0.1059,0.0094,0.2689
"ANPA","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,0,FALSE,0.0278,0.0837,0.0065,0.2161
"ANPA","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,0,FALSE,0.0274,0.0767,0.0059,0.2271
"ANPA","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,0,FALSE,0.0467,0.1345,0.0066,0.3723
"ANPA","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,0,FALSE,0.0389,0.106,0.0117,0.2866
"ANPA","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,0,FALSE,0.0179,0.0816,0.0056,0.2342
"ANPA","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,0,FALSE,0.1264,0.2404,0.081,0.4607
"ANPA","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,4,0,FALSE,0.2726,0.3754,0.137,0.658
"ANPA","12522_NE",12522,"NE","South Coastal Region",49.72155,-124.51563,4,0,FALSE,0.0213,0.0744,0.0043,0.1938
"ANPA","12522_NW",12522,"NW","South Coastal Region",49.75757,-124.56308,5,0,FALSE,0.116,0.0692,0.0018,0.2032
"ANPA","12522_SE",12522,"SE","South Coastal Region",49.70213,-124.47636,6,0,FALSE,0.1284,0.1073,0.0123,0.2643
"ANPA","12522_SW",12522,"SW","South Coastal Region",49.7022,-124.52268,6,0,FALSE,0.0999,0.0719,0.0034,0.1928
"ANPA","127850_NE",127850,"NE","Kootenay Region",49.31307,-115.01912,4,0,FALSE,0.1328,0.1374,0.0064,0.4157
"ANPA","127850_NW",127850,"NW","Kootenay Region",49.3096,-115.05201,5,0,FALSE,0.1679,0.2208,0.0653,0.4493
"ANPA","127850_SE",127850,"SE","Kootenay Region",49.28498,-114.95395,5,0,FALSE,0.1496,0.2343,0.062,0.4734
"ANPA","127850_SW",127850,"SW","Kootenay Region",49.2671,-115.02532,7,0,FALSE,0.2301,0.3051,0.133,0.5374
"ANPA","128058_NE",128058,"NE","South Coastal Region",48.84117,-123.42727,5,0,FALSE,0.0495,0.0801,0.0023,0.2403
"ANPA","128058_NW",128058,"NW","South Coastal Region",48.82144,-123.48643,5,0,FALSE,0.0328,0.0811,0.0047,0.2187
"ANPA","128058_SW",128058,"SW","South Coastal Region",48.79828,-123.47632,5,0,FALSE,0.0316,0.0746,0.0039,0.197
"ANPA","132650_SE",132650,"SE","Okanagan Region",51.81828,-122.42144,6,0,FALSE,0.0373,0.2365,0.0543,0.5549
"ANPA","132650_SW",132650,"SW","Okanagan Region",51.80225,-122.46284,5,0,FALSE,0.0418,0.3346,0.0982,0.6528
"ANPA","137274_NE",137274,"NE","South Coastal Region",48.79,-123.6988,5,0,FALSE,0.0624,0.1109,0.0087,0.2816
"ANPA","137274_NW",137274,"NW","South Coastal Region",48.7891,-123.719,6,0,FALSE,0.0283,0.0836,0.0047,0.2186
"ANPA","137274_SE",137274,"SE","South Coastal Region",48.7539,-123.6447,6,0,FALSE,0.0453,0.1072,0.0071,0.2799
"ANPA","143274_NE",143274,"NE","South Coastal Region",50.3377,-122.8012,7,0,FALSE,0.0158,0.0742,0.0065,0.1936
"ANPA","143274_NW",143274,"NW","South Coastal Region",50.3446,-122.8479,7,0,FALSE,0.0237,0.0893,0.0082,0.2323
"ANPA","143274_SE",143274,"SE","South Coastal Region",50.3004,-122.758,7,0,FALSE,0.0217,0.0902,0.009,0.2255
"ANPA","143274_SW",143274,"SW","South Coastal Region",50.2961,-122.8048,7,0,FALSE,0.0171,0.0733,0.0064,0.1993
"ANPA","145578_NE",145578,"NE","Kootenay Region",49.93178,-115.65558,7,2,TRUE,0.4889,0.3266,0.1184,0.5818
"ANPA","145578_NW",145578,"NW","Kootenay Region",49.93544,-115.67497,6,1,TRUE,0.5506,0.1904,0.0372,0.4414
"ANPA","145578_SE",145578,"SE","Kootenay Region",49.89983,-115.64222,7,2,TRUE,0.5033,0.3911,0.1994,0.6323
"ANPA","145578_SW",145578,"SW","Kootenay Region",49.89589,-115.695,7,2,TRUE,0.6023,0.3629,0.1592,0.6196
"ANPA","16426_NE",16426,"NE","Northern Region",54.82137,-123.35579,6,0,FALSE,0.0267,0.0594,0.0022,0.1903
"ANPA","16426_SE",16426,"SE","Northern Region",54.81895,-123.33997,5,0,FALSE,0.042,0.0768,0.0045,0.2192
"ANPA","172090_NE",172090,"NE","South Coastal Region",49.37012,-122.94857,6,0,FALSE,0.0344,0.0814,0.002,0.2501
"ANPA","172090_NW",172090,"NW","South Coastal Region",49.34683,-123.00985,5,0,FALSE,0.0359,0.0747,0.004,0.206
"ANPA","172090_SE",172090,"SE","South Coastal Region",49.32364,-122.97036,5,0,FALSE,0.0156,0.0643,0.0017,0.1849
"ANPA","172090_SW",172090,"SW","South Coastal Region",49.31421,-123.01406,6,0,FALSE,0.0338,0.0938,0.0056,0.2489
"ANPA","175354_SE",175354,"SE","Northern Region",59.42418,-125.94917,3,0,FALSE,0.0403,0.0617,0.0018,0.2203
"ANPA","175354_SW",175354,"SW","Northern Region",59.40931,-126.09868,5,0,FALSE,0.0426,0.0692,0.0026,0.2383
"ANPA","17706_NW",17706,"NW","Northern Region",51.97601,-120.10368,2,0,FALSE,0.0766,0.0948,0.0075,0.2618
"ANPA","17706_SE",17706,"SE","Northern Region",51.9408,-120.01683,5,0,FALSE,0.038,0.0974,0.0106,0.2682
"ANPA","17706_SW",17706,"SW","Northern Region",51.94316,-120.06784,4,0,FALSE,0.0241,0.0598,0.0025,0.2012
"ANPA","186330_NE",186330,"NE","Northern Region",55.95727,-122.58949,2,0,FALSE,0.0013,0.1028,0.005,0.2835
"ANPA","186330_NW",186330,"NW","Northern Region",55.94606,-122.65922,2,0,FALSE,8e-04,0.0877,0.0068,0.2294
"ANPA","186490_NW",186490,"NW","Northern Region",54.754,-127.12678,8,0,FALSE,0.0635,0.0584,0.0027,0.1809
"ANPA","186490_SE",186490,"SE","Northern Region",54.72257,-126.99742,6,0,FALSE,0.1016,0.0707,0.0044,0.2029
"ANPA","186490_SW",186490,"SW","Northern Region",54.72278,-127.05397,9,0,FALSE,0.0708,0.0741,0.0062,0.2123
"ANPA","194666_NE",194666,"NE","Okanagan Region",50.23014,-119.32344,6,0,FALSE,0.1868,0.2511,0.0694,0.5253
"ANPA","194666_SW",194666,"SW","Okanagan Region",50.16915,-119.41081,6,0,FALSE,0.1142,0.2328,0.0379,0.5444
"ANPA","20330_NE",20330,"NE","Kootenay Region",49.42454,-117.72865,7,2,TRUE,0.6532,0.2961,0.1353,0.5122
"ANPA","20330_SE",20330,"SE","Kootenay Region",49.3813,-117.67793,8,2,TRUE,0.5923,0.3322,0.1456,0.5757
"ANPA","206394_NE",206394,"NE","Northern Region",53.63655,-132.05056,4,0,FALSE,0.0048,0.1274,0.0121,0.3392
"ANPA","206394_NW",206394,"NW","Northern Region",53.6372,-132.16251,4,0,FALSE,0.012,0.0958,0.0044,0.2856
"ANPA","206394_SE",206394,"SE","Northern Region",53.60877,-131.99988,4,0,FALSE,0.0018,0.1106,0.0058,0.3196
"ANPA","206394_SW",206394,"SW","Northern Region",53.57324,-132.11579,4,0,FALSE,0.0036,0.0889,0.0059,0.2427
"ANPA","20730_NE",20730,"NE","Northern Region",56.79525,-124.90059,3,0,FALSE,0.0019,0.1102,0.0033,0.3086
"ANPA","20730_NW",20730,"NW","Northern Region",56.79948,-124.97614,3,0,FALSE,0.0059,0.1108,0.0081,0.2931
"ANPA","20730_SE",20730,"SE","Northern Region",56.78457,-124.88544,3,0,FALSE,0.001,0.0716,0.0058,0.1977
"ANPA","20730_SW",20730,"SW","Northern Region",56.76456,-124.98588,2,0,FALSE,0.0012,0.0728,0.006,0.2025
"ANPA","212266_NE",212266,"NE","Okanagan Region",50.751409,-120.480005,9,0,FALSE,0.1319,0.3084,0.0722,0.7208
"ANPA","212266_NW",212266,"NW","Okanagan Region",50.777508,-120.5598176,8,0,FALSE,0.1186,0.2218,0.0382,0.4972
