"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"COTO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,1,TRUE,0.1686,0.2975,0.2118,0.3977
"COTO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,3,TRUE,0.3648,0.245,0.1658,0.3309
"COTO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,3,TRUE,0.4333,0.2452,0.1649,0.3384
"COTO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,3,TRUE,0.4603,0.3023,0.2131,0.4087
"COTO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,1,TRUE,0.8284,0.5535,0.409,0.7149
"COTO","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,0,FALSE,0.418,0.5824,0.4083,0.7537
"COTO","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,5,TRUE,1,0.6014,0.4686,0.7305
"COTO","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,4,TRUE,0.6445,0.4479,0.3111,0.5976
"COTO","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,7,TRUE,1,0.5278,0.3657,0.7064
"COTO","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,1,TRUE,0.3865,0.467,0.3554,0.5922
"COTO","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,0,FALSE,0.0017,0.0226,0.0038,0.0701
"COTO","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,0,FALSE,0.0024,0.0584,0.0074,0.1608
"COTO","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,0,FALSE,0.0014,0.0404,0.0069,0.1172
"COTO","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,0,FALSE,0.0079,0.0385,0.0098,0.0953
"COTO","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,0,FALSE,0.1015,0.5934,0.4504,0.7426
"COTO","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,4,1,TRUE,0.3517,0.665,0.475,0.8458
"COTO","12522_NE",12522,"NE","South Coastal Region",49.72155,-124.51563,4,0,FALSE,0.1031,0.4717,0.3517,0.6011
"COTO","12522_NW",12522,"NW","South Coastal Region",49.75757,-124.56308,5,2,TRUE,0.7151,0.6725,0.5139,0.8096
