"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"EPFU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,8,TRUE,1,0.8458,0.7582,0.9147
"EPFU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,9,TRUE,1,0.8468,0.7532,0.9217
"EPFU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,5,TRUE,0.6551,0.8189,0.7199,0.9015
"EPFU","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,7,TRUE,0.8892,0.8481,0.7663,0.9177
"EPFU","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,2,TRUE,1,0.8292,0.7314,0.9111
"EPFU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,2,TRUE,1,0.8191,0.7075,0.9061
"EPFU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,4,TRUE,0.8273,0.6543,0.5606,0.7429
"EPFU","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,5,TRUE,0.7372,0.6816,0.579,0.7738
"EPFU","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,6,TRUE,0.8962,0.6409,0.5447,0.7357
"EPFU","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,5,TRUE,0.818,0.7021,0.6224,0.7786
"EPFU","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,6,TRUE,1,0.5029,0.378,0.6295
"EPFU","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,8,TRUE,1,0.4582,0.3202,0.6139
"EPFU","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,4,TRUE,0.6364,0.4852,0.3716,0.6041
"EPFU","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,1,TRUE,0.2017,0.6356,0.4807,0.784
"EPFU","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,2,TRUE,0.2861,0.8725,0.7858,0.9374
"EPFU","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,4,3,TRUE,0.88,0.846,0.7402,0.9291
"EPFU","12522_NE",12522,"NE","South Coastal Region",49.72155,-124.51563,4,3,TRUE,0.8434,0.7361,0.6508,0.815
"EPFU","12522_NW",12522,"NW","South Coastal Region",49.75757,-124.56308,5,2,TRUE,0.5489,0.6703,0.5479,0.7846
