"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"EUMA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,6,TRUE,0.9394,0.3637,0.2198,0.5432
"EUMA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,3,TRUE,0.4191,0.2818,0.1554,0.4968
"EUMA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,0,FALSE,0.0267,0.2717,0.157,0.4638
"EUMA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,2,TRUE,0.3178,0.3523,0.223,0.5267
"EUMA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,0,FALSE,9e-04,0.0171,0.0024,0.0537
"EUMA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,0,FALSE,0.0026,0.0224,0.0023,0.0832
"EUMA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,0,FALSE,0.0021,0.0167,0.0024,0.0537
"EUMA","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,0,FALSE,4e-04,0.0166,0.0018,0.0606
"EUMA","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,0,FALSE,7e-04,0.0196,0.0029,0.0628
"EUMA","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,0,FALSE,5e-04,0.0188,0.0031,0.0573
"EUMA","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,0,FALSE,0.0016,0.0294,0.003,0.1073
"EUMA","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,0,FALSE,0.0026,0.0432,0.0031,0.1182
"EUMA","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,0,FALSE,0.0045,0.0294,0.0034,0.0982
"EUMA","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,0,FALSE,0.001,0.0277,0.0029,0.0941
"EUMA","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,0,FALSE,0.001,0.0243,0.0031,0.0825
"EUMA","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,4,0,FALSE,0.0183,0.0289,0.0031,0.0944
"EUMA","12522_NE",12522,"NE","South Coastal Region",49.72155,-124.51563,4,0,FALSE,9e-04,0.0203,0.0029,0.0646
"EUMA","12522_NW",12522,"NW","South Coastal Region",49.75757,-124.56308,5,0,FALSE,0.0016,0.0209,0.0019,0.0777
"EUMA","12522_SE",12522,"SE","South Coastal Region",49.70213,-124.47636,6,0,FALSE,0.0054,0.0141,0.0024,0.0422
"EUMA","12522_SW",12522,"SW","South Coastal Region",49.7022,-124.52268,6,0,FALSE,0.0027,0.0204,0.0026,0.0679
"EUMA","127850_NE",127850,"NE","Kootenay Region",49.31307,-115.01912,4,0,FALSE,0.0017,0.0241,0.0015,0.095
"EUMA","127850_NW",127850,"NW","Kootenay Region",49.3096,-115.05201,5,0,FALSE,0.0045,0.018,0.0021,0.0622
"EUMA","127850_SE",127850,"SE","Kootenay Region",49.28498,-114.95395,5,0,FALSE,0.0011,0.0178,0.0021,0.0634
"EUMA","127850_SW",127850,"SW","Kootenay Region",49.2671,-115.02532,7,0,FALSE,0.0014,0.0161,0.0017,0.0598
"EUMA","128058_NE",128058,"NE","South Coastal Region",48.84117,-123.42727,5,0,FALSE,0.001,0.028,0.002,0.1179
