"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"LABO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,4,TRUE,0.8213,0.3785,0.2531,0.5198
"LABO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,3,TRUE,0.5141,0.449,0.2957,0.6432
"LABO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,2,TRUE,0.5142,0.454,0.3108,0.6216
"LABO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,1,TRUE,0.2662,0.4258,0.2985,0.5706
"LABO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,1,TRUE,0.6847,0.432,0.3135,0.5651
"LABO","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,1,TRUE,0.6662,0.3946,0.2636,0.5365
"LABO","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,0,FALSE,0.0296,0.0825,0.043,0.1374
"LABO","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,0,FALSE,0.0227,0.0801,0.0383,0.1389
"LABO","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,0,FALSE,0.0419,0.1333,0.0703,0.2172
"LABO","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,0,FALSE,0.0345,0.0969,0.054,0.1535
"LABO","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,0,FALSE,0.171,0.4676,0.2977,0.6788
"LABO","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,0,FALSE,0.1687,0.5,0.2813,0.7653
"LABO","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,0,FALSE,0.182,0.4628,0.3019,0.6618
"LABO","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,0,FALSE,0.0639,0.2408,0.1239,0.473
"LABO","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,0,FALSE,0.0782,0.3168,0.2067,0.4459
"LABO","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,4,0,FALSE,0.0781,0.4164,0.2728,0.5808
