"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"LACI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,6,TRUE,0.9199,0.7974,0.6955,0.8809
"LACI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,9,TRUE,1,0.8259,0.706,0.9099
"LACI","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,7,TRUE,0.9603,0.791,0.6681,0.8853
"LACI","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,8,TRUE,0.903,0.8366,0.7399,0.909
"LACI","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,2,TRUE,1,0.7118,0.614,0.8023
"LACI","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,1,TRUE,0.5001,0.6815,0.5696,0.7825
"LACI","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,4,TRUE,0.8212,0.7909,0.7154,0.8628
"LACI","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,5,TRUE,0.7836,0.7479,0.6658,0.8292
"LACI","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,6,TRUE,0.9002,0.8505,0.7728,0.9171
"LACI","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,6,TRUE,0.9262,0.8296,0.7642,0.8885
"LACI","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,2,TRUE,0.4087,0.2777,0.1907,0.3717
"LACI","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,4,TRUE,0.6035,0.3325,0.1828,0.5082
"LACI","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,2,TRUE,0.3558,0.3047,0.2097,0.411
"LACI","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,0,FALSE,0.1135,0.3718,0.2605,0.4802
"LACI","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,5,TRUE,0.664,0.7408,0.6574,0.8177
"LACI","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,4,2,TRUE,0.5873,0.7814,0.6625,0.8774
"LACI","12522_NE",12522,"NE","South Coastal Region",49.72155,-124.51563,4,3,TRUE,0.859,0.81,0.7368,0.8784
"LACI","12522_NW",12522,"NW","South Coastal Region",49.75757,-124.56308,5,5,TRUE,1,0.7523,0.6522,0.8465
"LACI","12522_SE",12522,"SE","South Coastal Region",49.70213,-124.47636,6,3,TRUE,0.6511,0.8058,0.7092,0.8859
"LACI","12522_SW",12522,"SW","South Coastal Region",49.7022,-124.52268,6,2,TRUE,0.6119,0.7948,0.723,0.8626
"LACI","127850_NE",127850,"NE","Kootenay Region",49.31307,-115.01912,4,2,TRUE,0.5202,0.6659,0.5501,0.7805
"LACI","127850_NW",127850,"NW","Kootenay Region",49.3096,-115.05201,5,5,TRUE,1,0.6805,0.5921,0.7636
"LACI","127850_SE",127850,"SE","Kootenay Region",49.28498,-114.95395,5,5,TRUE,1,0.7082,0.6138,0.7985
"LACI","127850_SW",127850,"SW","Kootenay Region",49.2671,-115.02532,7,6,TRUE,0.8829,0.6384,0.5287,0.7402
"LACI","128058_NE",128058,"NE","South Coastal Region",48.84117,-123.42727,5,3,TRUE,0.7641,0.7729,0.6511,0.8798
"LACI","128058_NW",128058,"NW","South Coastal Region",48.82144,-123.48643,5,5,TRUE,1,0.8408,0.7711,0.9055
"LACI","128058_SW",128058,"SW","South Coastal Region",48.79828,-123.47632,5,4,TRUE,0.8618,0.8233,0.7558,0.8845
"LACI","132650_SE",132650,"SE","Okanagan Region",51.81828,-122.42144,6,3,TRUE,0.6685,0.8484,0.7459,0.9251
"LACI","132650_SW",132650,"SW","Okanagan Region",51.80225,-122.46284,5,2,TRUE,0.4366,0.8032,0.6913,0.892
"LACI","137274_NE",137274,"NE","South Coastal Region",48.79,-123.6988,5,3,TRUE,0.678,0.8652,0.788,0.9289
"LACI","137274_NW",137274,"NW","South Coastal Region",48.7891,-123.719,6,6,TRUE,1,0.8412,0.7753,0.9012
"LACI","137274_SE",137274,"SE","South Coastal Region",48.7539,-123.6447,6,6,TRUE,1,0.8711,0.7947,0.9324
"LACI","143274_NE",143274,"NE","South Coastal Region",50.3377,-122.8012,7,6,TRUE,0.9541,0.7954,0.7266,0.8588
