"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"LANO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,8,TRUE,1,0.9042,0.845,0.9489
"LANO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,9,TRUE,1,0.9232,0.8675,0.963
"LANO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,8,TRUE,1,0.9015,0.8389,0.9489
"LANO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,9,TRUE,1,0.9252,0.8773,0.9608
"LANO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,2,TRUE,1,0.858,0.7949,0.9119
"LANO","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,0,FALSE,0,0.786,0.6934,0.8622
"LANO","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,5,TRUE,1,0.936,0.8791,0.9734
"LANO","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,7,TRUE,1,0.8791,0.7769,0.949
"LANO","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,7,TRUE,1,0.9552,0.9065,0.9836
"LANO","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,7,TRUE,1,0.9418,0.8915,0.9759
"LANO","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,6,TRUE,1,0.7646,0.644,0.858
"LANO","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,8,TRUE,1,0.9236,0.84,0.9716
"LANO","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,6,TRUE,0.9162,0.8662,0.78,0.928
"LANO","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,1,TRUE,0.1299,0.8828,0.7835,0.95
"LANO","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,8,TRUE,0.9134,0.8711,0.8073,0.9213
"LANO","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,4,4,TRUE,1,0.9126,0.8521,0.9566
"LANO","12522_NE",12522,"NE","South Coastal Region",49.72155,-124.51563,4,4,TRUE,1,0.9361,0.8789,0.9743
"LANO","12522_NW",12522,"NW","South Coastal Region",49.75757,-124.56308,5,4,TRUE,0.9768,0.9177,0.8163,0.9727
"LANO","12522_SE",12522,"SE","South Coastal Region",49.70213,-124.47636,6,6,TRUE,1,0.9427,0.8923,0.9763
"LANO","12522_SW",12522,"SW","South Coastal Region",49.7022,-124.52268,6,3,TRUE,0.6039,0.9218,0.8533,0.967
"LANO","127850_NE",127850,"NE","Kootenay Region",49.31307,-115.01912,4,3,TRUE,0.7657,0.714,0.5472,0.847
