"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"MYCA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,7,TRUE,0.9043,0.7408,0.6326,0.8328
"MYCA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,9,TRUE,1,0.8006,0.6902,0.8893
"MYCA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,3,TRUE,0.5052,0.7431,0.621,0.8458
"MYCA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,9,TRUE,1,0.8169,0.7244,0.8915
"MYCA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,2,TRUE,1,0.809,0.7279,0.876
"MYCA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,1,TRUE,0.5203,0.7186,0.6101,0.8143
"MYCA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,5,TRUE,1,0.9037,0.8515,0.9493
"MYCA","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,7,TRUE,1,0.8127,0.7276,0.8905
"MYCA","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,6,TRUE,0.9304,0.9351,0.8863,0.9715
"MYCA","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,7,TRUE,1,0.9098,0.8576,0.955
"MYCA","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,5,TRUE,0.9044,0.3028,0.1945,0.4247
"MYCA","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,8,TRUE,1,0.6793,0.4883,0.8319
"MYCA","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,6,TRUE,0.907,0.4875,0.3456,0.6308
"MYCA","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,7,TRUE,0.9387,0.4867,0.3315,0.6393
"MYCA","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,8,TRUE,0.9168,0.8173,0.7425,0.8798
