"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"MYCI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,7,TRUE,0.9309,0.6977,0.5942,0.7999
"MYCI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,9,TRUE,1,0.8515,0.7294,0.9436
"MYCI","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,6,TRUE,0.7758,0.7682,0.6455,0.8793
"MYCI","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,9,TRUE,1,0.8397,0.7454,0.9188
"MYCI","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,2,TRUE,1,0.1751,0.102,0.2746
"MYCI","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,1,TRUE,0.5058,0.1189,0.0639,0.1937
"MYCI","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,0,FALSE,0.0049,0.0565,0.0259,0.1069
"MYCI","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,1,TRUE,0.1452,0.0469,0.0222,0.0823
"MYCI","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,0,FALSE,4e-04,0.09,0.0371,0.1762
"MYCI","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,0,FALSE,3e-04,0.0735,0.0356,0.1347
"MYCI","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,0,FALSE,1e-04,0.0149,0.0032,0.0417
"MYCI","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,0,FALSE,2e-04,0.0752,0.0078,0.2682
"MYCI","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,0,FALSE,0.0011,0.0295,0.0053,0.0881
"MYCI","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,0,FALSE,0,0.0239,0.0045,0.0695
"MYCI","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,0,FALSE,9e-04,0.179,0.102,0.2778
"MYCI","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,4,0,FALSE,0.0017,0.267,0.1334,0.4496
"MYCI","12522_NE",12522,"NE","South Coastal Region",49.72155,-124.51563,4,0,FALSE,0.0013,0.0685,0.0312,0.1271
"MYCI","12522_NW",12522,"NW","South Coastal Region",49.75757,-124.56308,5,0,FALSE,0.0018,0.0508,0.0197,0.1036
"MYCI","12522_SE",12522,"SE","South Coastal Region",49.70213,-124.47636,6,0,FALSE,0.0013,0.0623,0.0247,0.1276
"MYCI","12522_SW",12522,"SW","South Coastal Region",49.7022,-124.52268,6,0,FALSE,0.0023,0.0561,0.0267,0.1008
