"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"MYEV","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,7,TRUE,0.9484,0.8407,0.7704,0.9028
"MYEV","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,9,TRUE,1,0.8504,0.7784,0.9132
"MYEV","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,8,TRUE,1,0.8517,0.783,0.9119
"MYEV","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,9,TRUE,1,0.8396,0.7689,0.9023
"MYEV","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,2,TRUE,1,0.8754,0.8155,0.9263
"MYEV","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,1,TRUE,0.5198,0.8498,0.7677,0.916
"MYEV","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,5,TRUE,1,0.7117,0.6138,0.8009
"MYEV","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,7,TRUE,1,0.713,0.6022,0.8097
"MYEV","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,6,TRUE,0.9093,0.7399,0.6405,0.8309
"MYEV","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,7,TRUE,1,0.722,0.6405,0.7991
"MYEV","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,6,TRUE,1,0.6919,0.5656,0.8005
"MYEV","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,8,TRUE,1,0.7839,0.6321,0.8914
"MYEV","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,6,TRUE,0.9385,0.7233,0.5976,0.8277
"MYEV","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,6,TRUE,0.9197,0.7718,0.6363,0.878
"MYEV","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,5,TRUE,0.6985,0.8619,0.7887,0.9196
"MYEV","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,4,3,TRUE,0.806,0.8766,0.7942,0.9359
"MYEV","12522_NE",12522,"NE","South Coastal Region",49.72155,-124.51563,4,3,TRUE,0.9131,0.71,0.617,0.7959
"MYEV","12522_NW",12522,"NW","South Coastal Region",49.75757,-124.56308,5,0,FALSE,0.03,0.6625,0.514,0.7909
"MYEV","12522_SE",12522,"SE","South Coastal Region",49.70213,-124.47636,6,3,TRUE,0.5773,0.7538,0.6497,0.842
"MYEV","12522_SW",12522,"SW","South Coastal Region",49.7022,-124.52268,6,4,TRUE,0.705,0.674,0.5725,0.7661
"MYEV","127850_NE",127850,"NE","Kootenay Region",49.31307,-115.01912,4,3,TRUE,0.7802,0.8296,0.7373,0.9063
"MYEV","127850_NW",127850,"NW","Kootenay Region",49.3096,-115.05201,5,5,TRUE,1,0.8623,0.7999,0.9157
"MYEV","127850_SE",127850,"SE","Kootenay Region",49.28498,-114.95395,5,5,TRUE,1,0.8637,0.8004,0.9192
"MYEV","127850_SW",127850,"SW","Kootenay Region",49.2671,-115.02532,7,6,TRUE,0.9088,0.8632,0.7977,0.9194
"MYEV","128058_NE",128058,"NE","South Coastal Region",48.84117,-123.42727,5,5,TRUE,1,0.5462,0.3482,0.7255
"MYEV","128058_NW",128058,"NW","South Coastal Region",48.82144,-123.48643,5,3,TRUE,0.6281,0.6951,0.5996,0.7845
"MYEV","128058_SW",128058,"SW","South Coastal Region",48.79828,-123.47632,5,4,TRUE,0.909,0.6535,0.5554,0.7484
"MYEV","132650_SE",132650,"SE","Okanagan Region",51.81828,-122.42144,6,5,TRUE,0.9684,0.7923,0.6875,0.8831
"MYEV","132650_SW",132650,"SW","Okanagan Region",51.80225,-122.46284,5,1,TRUE,0.2648,0.8195,0.7371,0.8916
"MYEV","137274_NE",137274,"NE","South Coastal Region",48.79,-123.6988,5,1,TRUE,0.2347,0.7169,0.605,0.8196
"MYEV","137274_NW",137274,"NW","South Coastal Region",48.7891,-123.719,6,5,TRUE,0.8733,0.6842,0.5892,0.7735
"MYEV","137274_SE",137274,"SE","South Coastal Region",48.7539,-123.6447,6,4,TRUE,0.8324,0.7184,0.6052,0.8196
"MYEV","143274_NE",143274,"NE","South Coastal Region",50.3377,-122.8012,7,7,TRUE,1,0.7464,0.6683,0.8196
"MYEV","143274_NW",143274,"NW","South Coastal Region",50.3446,-122.8479,7,7,TRUE,1,0.7554,0.6484,0.8433
"MYEV","143274_SE",143274,"SE","South Coastal Region",50.3004,-122.758,7,6,TRUE,0.9406,0.7411,0.6456,0.8241
"MYEV","143274_SW",143274,"SW","South Coastal Region",50.2961,-122.8048,7,6,TRUE,0.9521,0.7568,0.6714,0.8339
"MYEV","145578_NE",145578,"NE","Kootenay Region",49.93178,-115.65558,7,7,TRUE,1,0.9043,0.8353,0.9562
"MYEV","145578_NW",145578,"NW","Kootenay Region",49.93544,-115.67497,6,6,TRUE,1,0.8563,0.7848,0.9163
"MYEV","145578_SE",145578,"SE","Kootenay Region",49.89983,-115.64222,7,7,TRUE,1,0.8897,0.8307,0.9379
"MYEV","145578_SW",145578,"SW","Kootenay Region",49.89589,-115.695,7,7,TRUE,1,0.8894,0.8268,0.941
"MYEV","16426_NE",16426,"NE","Northern Region",54.82137,-123.35579,6,2,TRUE,0.5737,0.7656,0.6836,0.8385
"MYEV","16426_SE",16426,"SE","Northern Region",54.81895,-123.33997,5,5,TRUE,1,0.783,0.7106,0.8498
