"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"MYLU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,8,TRUE,1,0.8803,0.8233,0.9276
"MYLU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,9,TRUE,1,0.9251,0.8691,0.9649
"MYLU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,6,TRUE,0.7576,0.9133,0.8576,0.9548
"MYLU","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,6,TRUE,0.6796,0.9164,0.8644,0.9542
"MYLU","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,2,TRUE,1,0.938,0.8868,0.9728
"MYLU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,2,TRUE,1,0.9004,0.8328,0.949
"MYLU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,5,TRUE,1,0.8502,0.7857,0.9054
"MYLU","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,5,TRUE,0.7158,0.8207,0.7429,0.8845
"MYLU","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,6,TRUE,0.8694,0.9211,0.8561,0.9645
"MYLU","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,7,TRUE,1,0.8952,0.8404,0.9379
"MYLU","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,6,TRUE,1,0.9645,0.9225,0.9879
"MYLU","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,8,TRUE,1,0.9856,0.9517,0.9981
"MYLU","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,6,TRUE,0.97,0.9787,0.9454,0.9943
"MYLU","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,3,TRUE,0.4257,0.9482,0.8802,0.985
"MYLU","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,9,TRUE,1,0.9159,0.8559,0.9586
"MYLU","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,4,4,TRUE,1,0.9479,0.8709,0.9859
"MYLU","12522_NE",12522,"NE","South Coastal Region",49.72155,-124.51563,4,4,TRUE,1,0.8608,0.7948,0.9137
"MYLU","12522_NW",12522,"NW","South Coastal Region",49.75757,-124.56308,5,1,TRUE,0.2406,0.7725,0.6603,0.8619
"MYLU","12522_SE",12522,"SE","South Coastal Region",49.70213,-124.47636,6,2,TRUE,0.3376,0.9013,0.8326,0.9497
"MYLU","12522_SW",12522,"SW","South Coastal Region",49.7022,-124.52268,6,4,TRUE,0.6706,0.85,0.7866,0.9042
"MYLU","127850_NE",127850,"NE","Kootenay Region",49.31307,-115.01912,4,4,TRUE,1,0.892,0.8024,0.9503
"MYLU","127850_NW",127850,"NW","Kootenay Region",49.3096,-115.05201,5,5,TRUE,1,0.9043,0.8471,0.947
"MYLU","127850_SE",127850,"SE","Kootenay Region",49.28498,-114.95395,5,5,TRUE,1,0.9395,0.8884,0.973
"MYLU","127850_SW",127850,"SW","Kootenay Region",49.2671,-115.02532,7,6,TRUE,0.8725,0.8978,0.8338,0.9451
"MYLU","128058_NE",128058,"NE","South Coastal Region",48.84117,-123.42727,5,2,TRUE,0.4608,0.8156,0.6902,0.9045
"MYLU","128058_NW",128058,"NW","South Coastal Region",48.82144,-123.48643,5,5,TRUE,1,0.897,0.83,0.9438
"MYLU","128058_SW",128058,"SW","South Coastal Region",48.79828,-123.47632,5,5,TRUE,1,0.8785,0.8173,0.926
"MYLU","132650_SE",132650,"SE","Okanagan Region",51.81828,-122.42144,6,6,TRUE,1,0.8676,0.7805,0.9323
"MYLU","132650_SW",132650,"SW","Okanagan Region",51.80225,-122.46284,5,3,TRUE,0.6127,0.8962,0.835,0.9424
"MYLU","137274_NE",137274,"NE","South Coastal Region",48.79,-123.6988,5,5,TRUE,1,0.9262,0.8569,0.9696
"MYLU","137274_NW",137274,"NW","South Coastal Region",48.7891,-123.719,6,6,TRUE,1,0.8927,0.8327,0.9384
"MYLU","137274_SE",137274,"SE","South Coastal Region",48.7539,-123.6447,6,6,TRUE,1,0.9286,0.8578,0.9712
"MYLU","143274_NE",143274,"NE","South Coastal Region",50.3377,-122.8012,7,6,TRUE,0.8822,0.8819,0.8309,0.925
"MYLU","143274_NW",143274,"NW","South Coastal Region",50.3446,-122.8479,7,6,TRUE,0.9028,0.8528,0.7756,0.9139
"MYLU","143274_SE",143274,"SE","South Coastal Region",50.3004,-122.758,7,7,TRUE,1,0.8813,0.819,0.9304
"MYLU","143274_SW",143274,"SW","South Coastal Region",50.2961,-122.8048,7,5,TRUE,0.7951,0.8658,0.8079,0.9144
"MYLU","145578_NE",145578,"NE","Kootenay Region",49.93178,-115.65558,7,7,TRUE,1,0.8476,0.7277,0.927
"MYLU","145578_NW",145578,"NW","Kootenay Region",49.93544,-115.67497,6,5,TRUE,0.8478,0.8698,0.7883,0.9299
"MYLU","145578_SE",145578,"SE","Kootenay Region",49.89983,-115.64222,7,7,TRUE,1,0.9318,0.8737,0.9706
"MYLU","145578_SW",145578,"SW","Kootenay Region",49.89589,-115.695,7,7,TRUE,1,0.9465,0.8841,0.9821
"MYLU","16426_NE",16426,"NE","Northern Region",54.82137,-123.35579,6,6,TRUE,1,0.9546,0.9114,0.9827
"MYLU","16426_SE",16426,"SE","Northern Region",54.81895,-123.33997,5,5,TRUE,1,0.9736,0.9436,0.9909
"MYLU","172090_NE",172090,"NE","South Coastal Region",49.37012,-122.94857,6,4,TRUE,0.8178,0.9161,0.8266,0.9728
"MYLU","172090_NW",172090,"NW","South Coastal Region",49.34683,-123.00985,5,5,TRUE,1,0.8662,0.7995,0.9195
"MYLU","172090_SE",172090,"SE","South Coastal Region",49.32364,-122.97036,5,5,TRUE,1,0.8349,0.713,0.9178
"MYLU","172090_SW",172090,"SW","South Coastal Region",49.31421,-123.01406,6,6,TRUE,1,0.9185,0.8553,0.9612
"MYLU","175354_SE",175354,"SE","Northern Region",59.42418,-125.94917,3,3,TRUE,1,0.9474,0.8763,0.9847
"MYLU","175354_SW",175354,"SW","Northern Region",59.40931,-126.09868,5,5,TRUE,1,0.9601,0.9053,0.9879
"MYLU","17706_NW",17706,"NW","Northern Region",51.97601,-120.10368,2,1,TRUE,0.9348,0.9779,0.949,0.9934
"MYLU","17706_SE",17706,"SE","Northern Region",51.9408,-120.01683,5,5,TRUE,1,0.9668,0.9264,0.9891
"MYLU","17706_SW",17706,"SW","Northern Region",51.94316,-120.06784,4,4,TRUE,1,0.9519,0.9076,0.9814
