"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"MYSE","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,0,FALSE,0.0014,0.0422,0.0119,0.1039
"MYSE","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,0,FALSE,0.0034,0.047,0.0141,0.1077
"MYSE","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,1,TRUE,0.1657,0.0455,0.0119,0.1145
"MYSE","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,0,FALSE,0.0084,0.043,0.0127,0.0992
"MYSE","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,1,TRUE,0.5383,0.1929,0.1248,0.2846
"MYSE","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,0,FALSE,0.0562,0.1991,0.0988,0.3454
"MYSE","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,0,FALSE,2e-04,0.0119,0.0025,0.0312
"MYSE","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,0,FALSE,4e-04,0.017,0.0029,0.0503
"MYSE","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,0,FALSE,0.0015,0.0126,0.0023,0.0355
"MYSE","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,0,FALSE,0.0033,0.0126,0.0027,0.032
"MYSE","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,1,TRUE,0.1876,0.4721,0.278,0.6886
"MYSE","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,2,TRUE,0.3096,0.3289,0.1951,0.5016
"MYSE","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,2,TRUE,0.2958,0.3725,0.2188,0.5618
"MYSE","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,0,FALSE,0.1891,0.258,0.1599,0.3665
"MYSE","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,0,FALSE,0.1096,0.1844,0.1228,0.2615
"MYSE","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,4,0,FALSE,0.0333,0.2185,0.1328,0.3236
"MYSE","12522_NE",12522,"NE","South Coastal Region",49.72155,-124.51563,4,0,FALSE,9e-04,0.0134,0.0029,0.0333
"MYSE","12522_NW",12522,"NW","South Coastal Region",49.75757,-124.56308,5,0,FALSE,0.0056,0.0136,0.0024,0.039
"MYSE","12522_SE",12522,"SE","South Coastal Region",49.70213,-124.47636,6,0,FALSE,0.0016,0.0133,0.0023,0.0405
"MYSE","12522_SW",12522,"SW","South Coastal Region",49.7022,-124.52268,6,0,FALSE,0.002,0.0138,0.0026,0.0384
"MYSE","127850_NE",127850,"NE","Kootenay Region",49.31307,-115.01912,4,0,FALSE,0.0505,0.2047,0.0981,0.3474
"MYSE","127850_NW",127850,"NW","Kootenay Region",49.3096,-115.05201,5,0,FALSE,0.0111,0.1733,0.1115,0.2537
"MYSE","127850_SE",127850,"SE","Kootenay Region",49.28498,-114.95395,5,0,FALSE,0.0188,0.2026,0.1308,0.3001
"MYSE","127850_SW",127850,"SW","Kootenay Region",49.2671,-115.02532,7,0,FALSE,0.0152,0.1831,0.0953,0.3138
"MYSE","128058_NE",128058,"NE","South Coastal Region",48.84117,-123.42727,5,0,FALSE,4e-04,0.0445,0.003,0.1792
"MYSE","128058_NW",128058,"NW","South Coastal Region",48.82144,-123.48643,5,0,FALSE,0.001,0.0151,0.0031,0.0384
"MYSE","128058_SW",128058,"SW","South Coastal Region",48.79828,-123.47632,5,0,FALSE,0.0013,0.0149,0.0029,0.0413
"MYSE","132650_SE",132650,"SE","Okanagan Region",51.81828,-122.42144,6,0,FALSE,0.0218,0.0499,0.0141,0.1108
"MYSE","132650_SW",132650,"SW","Okanagan Region",51.80225,-122.46284,5,0,FALSE,0.0065,0.0598,0.0126,0.1622
"MYSE","137274_NE",137274,"NE","South Coastal Region",48.79,-123.6988,5,0,FALSE,0.0014,0.0133,0.0024,0.0377
"MYSE","137274_NW",137274,"NW","South Coastal Region",48.7891,-123.719,6,0,FALSE,3e-04,0.0132,0.0028,0.0336
"MYSE","137274_SE",137274,"SE","South Coastal Region",48.7539,-123.6447,6,0,FALSE,0.001,0.0141,0.0026,0.0397
"MYSE","143274_NE",143274,"NE","South Coastal Region",50.3377,-122.8012,7,0,FALSE,8e-04,0.0131,0.0028,0.0346
"MYSE","143274_NW",143274,"NW","South Coastal Region",50.3446,-122.8479,7,0,FALSE,0.0014,0.0123,0.0023,0.0333
"MYSE","143274_SE",143274,"SE","South Coastal Region",50.3004,-122.758,7,0,FALSE,7e-04,0.0132,0.0025,0.0375
"MYSE","143274_SW",143274,"SW","South Coastal Region",50.2961,-122.8048,7,0,FALSE,0.0014,0.0143,0.0027,0.0401
"MYSE","145578_NE",145578,"NE","Kootenay Region",49.93178,-115.65558,7,1,TRUE,0.1607,0.1531,0.0783,0.2467
"MYSE","145578_NW",145578,"NW","Kootenay Region",49.93544,-115.67497,6,1,TRUE,0.19,0.1633,0.0974,0.2493
"MYSE","145578_SE",145578,"SE","Kootenay Region",49.89983,-115.64222,7,1,TRUE,0.1653,0.1713,0.0989,0.2711
"MYSE","145578_SW",145578,"SW","Kootenay Region",49.89589,-115.695,7,0,FALSE,0.1329,0.195,0.121,0.2921
"MYSE","16426_NE",16426,"NE","Northern Region",54.82137,-123.35579,6,1,TRUE,0.6863,0.4436,0.2763,0.6415
"MYSE","16426_SE",16426,"SE","Northern Region",54.81895,-123.33997,5,4,TRUE,0.9328,0.4372,0.2836,0.6117
"MYSE","172090_NE",172090,"NE","South Coastal Region",49.37012,-122.94857,6,0,FALSE,0.002,0.0235,0.0029,0.0815
"MYSE","172090_NW",172090,"NW","South Coastal Region",49.34683,-123.00985,5,0,FALSE,0.0023,0.024,0.0031,0.0795
"MYSE","172090_SE",172090,"SE","South Coastal Region",49.32364,-122.97036,5,0,FALSE,0.0011,0.0184,0.0036,0.049
"MYSE","172090_SW",172090,"SW","South Coastal Region",49.31421,-123.01406,6,0,FALSE,7e-04,0.0145,0.0029,0.0387
"MYSE","175354_SE",175354,"SE","Northern Region",59.42418,-125.94917,3,3,TRUE,1,0.437,0.2115,0.6946
"MYSE","175354_SW",175354,"SW","Northern Region",59.40931,-126.09868,5,4,TRUE,0.9996,0.539,0.3068,0.7743
"MYSE","17706_NW",17706,"NW","Northern Region",51.97601,-120.10368,2,0,FALSE,0.2842,0.4995,0.3009,0.7178
"MYSE","17706_SE",17706,"SE","Northern Region",51.9408,-120.01683,5,0,FALSE,0.0378,0.4639,0.2746,0.6681
"MYSE","17706_SW",17706,"SW","Northern Region",51.94316,-120.06784,4,2,TRUE,0.874,0.4961,0.3095,0.699
"MYSE","186330_NE",186330,"NE","Northern Region",55.95727,-122.58949,2,1,TRUE,0.783,0.3952,0.2114,0.6129
"MYSE","186330_NW",186330,"NW","Northern Region",55.94606,-122.65922,2,0,FALSE,0.14,0.3147,0.2005,0.4559
"MYSE","186490_NW",186490,"NW","Northern Region",54.754,-127.12678,8,5,TRUE,0.7278,0.3067,0.1749,0.4854
