"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"MYTH","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,2,TRUE,0.3945,0.4413,0.2977,0.599
"MYTH","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,5,TRUE,0.7917,0.4722,0.3072,0.6694
"MYTH","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,1,TRUE,0.2576,0.4199,0.2692,0.5995
"MYTH","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,2,TRUE,0.2498,0.4915,0.3479,0.6444
"MYTH","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,2,TRUE,1,0.2703,0.1358,0.4448
"MYTH","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,2,TRUE,1,0.1957,0.0828,0.3741
"MYTH","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,0,FALSE,0.0337,0.0613,0.0268,0.1184
"MYTH","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,0,FALSE,0.0208,0.0672,0.028,0.131
"MYTH","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,0,FALSE,0.0089,0.0585,0.0194,0.1227
"MYTH","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,0,FALSE,0.0061,0.0598,0.0252,0.1159
"MYTH","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,0,FALSE,0.0023,0.0177,0.0035,0.0514
"MYTH","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,0,FALSE,0.0054,0.059,0.0041,0.1662
"MYTH","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,0,FALSE,0.0059,0.028,0.004,0.0907
"MYTH","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,0,FALSE,0.0018,0.0365,0.0053,0.1147
"MYTH","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,0,FALSE,0.0045,0.2528,0.1266,0.4253
"MYTH","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,4,0,FALSE,0.0668,0.3181,0.1178,0.5857
"MYTH","12522_NE",12522,"NE","South Coastal Region",49.72155,-124.51563,4,0,FALSE,0.0079,0.0675,0.0283,0.1309
"MYTH","12522_NW",12522,"NW","South Coastal Region",49.75757,-124.56308,5,0,FALSE,0.0173,0.0755,0.0255,0.1629
"MYTH","12522_SE",12522,"SE","South Coastal Region",49.70213,-124.47636,6,0,FALSE,0.0197,0.0535,0.0189,0.1115
"MYTH","12522_SW",12522,"SW","South Coastal Region",49.7022,-124.52268,6,0,FALSE,0.0132,0.0602,0.0262,0.1148
"MYTH","127850_NE",127850,"NE","Kootenay Region",49.31307,-115.01912,4,1,TRUE,0.6558,0.2863,0.1037,0.5536
"MYTH","127850_NW",127850,"NW","Kootenay Region",49.3096,-115.05201,5,0,FALSE,0.076,0.2365,0.1178,0.4054
"MYTH","127850_SE",127850,"SE","Kootenay Region",49.28498,-114.95395,5,3,TRUE,0.9625,0.2994,0.1452,0.5062
"MYTH","127850_SW",127850,"SW","Kootenay Region",49.2671,-115.02532,7,3,TRUE,0.9149,0.1965,0.0894,0.3585
"MYTH","128058_NE",128058,"NE","South Coastal Region",48.84117,-123.42727,5,0,FALSE,0.0102,0.0596,0.0152,0.1429
"MYTH","128058_NW",128058,"NW","South Coastal Region",48.82144,-123.48643,5,0,FALSE,0.0068,0.0678,0.0256,0.1357
"MYTH","128058_SW",128058,"SW","South Coastal Region",48.79828,-123.47632,5,0,FALSE,0.0029,0.0589,0.0256,0.1132
"MYTH","132650_SE",132650,"SE","Okanagan Region",51.81828,-122.42144,6,1,TRUE,0.1838,0.5757,0.3639,0.7918
"MYTH","132650_SW",132650,"SW","Okanagan Region",51.80225,-122.46284,5,0,FALSE,0.0083,0.426,0.2542,0.6169
"MYTH","137274_NE",137274,"NE","South Coastal Region",48.79,-123.6988,5,0,FALSE,0.0065,0.0594,0.0178,0.1323
"MYTH","137274_NW",137274,"NW","South Coastal Region",48.7891,-123.719,6,0,FALSE,0.0138,0.0615,0.0252,0.1215
"MYTH","137274_SE",137274,"SE","South Coastal Region",48.7539,-123.6447,6,0,FALSE,0.0064,0.0637,0.0187,0.1426
"MYTH","143274_NE",143274,"NE","South Coastal Region",50.3377,-122.8012,7,2,TRUE,0.3247,0.0601,0.0287,0.112
"MYTH","143274_NW",143274,"NW","South Coastal Region",50.3446,-122.8479,7,0,FALSE,0.0072,0.0592,0.0227,0.119
"MYTH","143274_SE",143274,"SE","South Coastal Region",50.3004,-122.758,7,0,FALSE,0.0068,0.0547,0.0224,0.1076
"MYTH","143274_SW",143274,"SW","South Coastal Region",50.2961,-122.8048,7,3,TRUE,0.4699,0.0592,0.0274,0.111
"MYTH","145578_NE",145578,"NE","Kootenay Region",49.93178,-115.65558,7,1,TRUE,0.2043,0.214,0.0777,0.4146
"MYTH","145578_NW",145578,"NW","Kootenay Region",49.93544,-115.67497,6,1,TRUE,0.4569,0.2208,0.0943,0.4017
"MYTH","145578_SE",145578,"SE","Kootenay Region",49.89983,-115.64222,7,4,TRUE,0.9269,0.2399,0.1166,0.4121
"MYTH","145578_SW",145578,"SW","Kootenay Region",49.89589,-115.695,7,4,TRUE,0.7757,0.294,0.1334,0.5004
"MYTH","16426_NE",16426,"NE","Northern Region",54.82137,-123.35579,6,0,FALSE,0.0021,0.0232,0.005,0.0636
"MYTH","16426_SE",16426,"SE","Northern Region",54.81895,-123.33997,5,0,FALSE,0.0038,0.0287,0.0056,0.0816
"MYTH","172090_NE",172090,"NE","South Coastal Region",49.37012,-122.94857,6,0,FALSE,0.0116,0.0943,0.0226,0.2119
"MYTH","172090_NW",172090,"NW","South Coastal Region",49.34683,-123.00985,5,0,FALSE,0.0025,0.0543,0.0211,0.1083
"MYTH","172090_SE",172090,"SE","South Coastal Region",49.32364,-122.97036,5,0,FALSE,0.0117,0.0854,0.0225,0.196
"MYTH","172090_SW",172090,"SW","South Coastal Region",49.31421,-123.01406,6,0,FALSE,0.0123,0.064,0.0225,0.1309
"MYTH","175354_SE",175354,"SE","Northern Region",59.42418,-125.94917,3,0,FALSE,0.0058,0.0258,0.0034,0.0877
