"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"MYVO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,6,TRUE,0.7683,0.6337,0.5567,0.7071
"MYVO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,7,TRUE,0.7993,0.7122,0.6243,0.7922
"MYVO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,5,TRUE,0.6887,0.6724,0.5888,0.7485
"MYVO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,7,TRUE,0.8243,0.683,0.6029,0.7583
"MYVO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,2,TRUE,1,0.7585,0.6759,0.8337
"MYVO","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,2,TRUE,1,0.6849,0.5825,0.7788
"MYVO","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,5,TRUE,1,0.6533,0.5619,0.7418
"MYVO","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,7,TRUE,1,0.6217,0.5246,0.7141
"MYVO","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,6,TRUE,0.8854,0.7451,0.6478,0.831
"MYVO","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,4,TRUE,0.6617,0.7227,0.6449,0.7971
"MYVO","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,6,TRUE,1,0.7314,0.6084,0.8377
"MYVO","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,8,TRUE,1,0.7915,0.5772,0.9315
"MYVO","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,6,TRUE,0.9877,0.7555,0.6129,0.8742
"MYVO","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,6,TRUE,0.9764,0.7843,0.6622,0.8812
"MYVO","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,5,TRUE,0.6614,0.7362,0.6521,0.8132
"MYVO","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,4,3,TRUE,0.843,0.7798,0.6653,0.8696
"MYVO","12522_NE",12522,"NE","South Coastal Region",49.72155,-124.51563,4,2,TRUE,0.5742,0.6999,0.6144,0.7786
"MYVO","12522_NW",12522,"NW","South Coastal Region",49.75757,-124.56308,5,0,FALSE,0.0608,0.5842,0.4628,0.6952
"MYVO","12522_SE",12522,"SE","South Coastal Region",49.70213,-124.47636,6,1,TRUE,0.2439,0.691,0.5837,0.7857
"MYVO","12522_SW",12522,"SW","South Coastal Region",49.7022,-124.52268,6,2,TRUE,0.3746,0.6489,0.5585,0.734
"MYVO","127850_NE",127850,"NE","Kootenay Region",49.31307,-115.01912,4,1,TRUE,0.3021,0.732,0.6131,0.8341
"MYVO","127850_NW",127850,"NW","Kootenay Region",49.3096,-115.05201,5,3,TRUE,0.6063,0.7169,0.6341,0.7934
"MYVO","127850_SE",127850,"SE","Kootenay Region",49.28498,-114.95395,5,4,TRUE,0.8058,0.7792,0.7014,0.8527
"MYVO","127850_SW",127850,"SW","Kootenay Region",49.2671,-115.02532,7,4,TRUE,0.6,0.6808,0.5861,0.7692
"MYVO","128058_NE",128058,"NE","South Coastal Region",48.84117,-123.42727,5,1,TRUE,0.2176,0.554,0.4051,0.6924
"MYVO","128058_NW",128058,"NW","South Coastal Region",48.82144,-123.48643,5,4,TRUE,0.858,0.7477,0.6621,0.8234
"MYVO","128058_SW",128058,"SW","South Coastal Region",48.79828,-123.47632,5,3,TRUE,0.7089,0.6907,0.6041,0.771
"MYVO","132650_SE",132650,"SE","Okanagan Region",51.81828,-122.42144,6,3,TRUE,0.6268,0.6677,0.5671,0.7646
"MYVO","132650_SW",132650,"SW","Okanagan Region",51.80225,-122.46284,5,0,FALSE,0.0661,0.6252,0.5392,0.7088
"MYVO","137274_NE",137274,"NE","South Coastal Region",48.79,-123.6988,5,5,TRUE,1,0.7495,0.6474,0.8392
"MYVO","137274_NW",137274,"NW","South Coastal Region",48.7891,-123.719,6,6,TRUE,1,0.7225,0.6406,0.7996
"MYVO","137274_SE",137274,"SE","South Coastal Region",48.7539,-123.6447,6,6,TRUE,1,0.7638,0.664,0.8502
"MYVO","143274_NE",143274,"NE","South Coastal Region",50.3377,-122.8012,7,5,TRUE,0.7454,0.7005,0.6233,0.7747
"MYVO","143274_NW",143274,"NW","South Coastal Region",50.3446,-122.8479,7,5,TRUE,0.8437,0.634,0.5258,0.7335
"MYVO","143274_SE",143274,"SE","South Coastal Region",50.3004,-122.758,7,3,TRUE,0.489,0.6683,0.5716,0.7575
"MYVO","143274_SW",143274,"SW","South Coastal Region",50.2961,-122.8048,7,6,TRUE,0.9427,0.6622,0.5765,0.7456
"MYVO","145578_NE",145578,"NE","Kootenay Region",49.93178,-115.65558,7,3,TRUE,0.4606,0.6499,0.5287,0.7621
"MYVO","145578_NW",145578,"NW","Kootenay Region",49.93544,-115.67497,6,5,TRUE,0.8656,0.6801,0.58,0.7695
"MYVO","145578_SE",145578,"SE","Kootenay Region",49.89983,-115.64222,7,7,TRUE,1,0.7361,0.6397,0.8237
