"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"MYYU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,8,6,TRUE,0.7667,0.3651,0.2823,0.4533
"MYYU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,9,7,TRUE,0.7887,0.4446,0.3404,0.5544
"MYYU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,8,1,TRUE,0.1515,0.3508,0.2645,0.4463
"MYYU","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,9,3,TRUE,0.3742,0.5397,0.4344,0.6442
"MYYU","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2,2,TRUE,1,0.4987,0.3883,0.6107
"MYYU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2,1,TRUE,0.5033,0.4146,0.2959,0.5458
"MYYU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,5,3,TRUE,0.6057,0.7833,0.6918,0.8611
"MYYU","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,7,1,TRUE,0.1526,0.5597,0.4333,0.6834
"MYYU","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,7,5,TRUE,0.833,0.8736,0.7924,0.9356
"MYYU","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,7,7,TRUE,1,0.821,0.7424,0.8877
"MYYU","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,6,5,TRUE,0.9746,0.22,0.1177,0.3665
"MYYU","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,8,8,TRUE,1,0.5812,0.318,0.8313
"MYYU","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,7,6,TRUE,0.9948,0.4064,0.2402,0.59
"MYYU","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,8,5,TRUE,0.7199,0.2691,0.1468,0.4185
"MYYU","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,9,6,TRUE,0.7437,0.5772,0.4636,0.6872
"MYYU","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,4,2,TRUE,0.5221,0.8071,0.6844,0.9031
"MYYU","12522_NE",12522,"NE","South Coastal Region",49.72155,-124.51563,4,3,TRUE,0.8822,0.791,0.7021,0.8645
"MYYU","12522_NW",12522,"NW","South Coastal Region",49.75757,-124.56308,5,2,TRUE,0.4544,0.7371,0.6082,0.8424
"MYYU","12522_SE",12522,"SE","South Coastal Region",49.70213,-124.47636,6,0,FALSE,0.0081,0.7938,0.6959,0.8781
"MYYU","12522_SW",12522,"SW","South Coastal Region",49.7022,-124.52268,6,4,TRUE,0.7928,0.7801,0.6884,0.8586
"MYYU","127850_NE",127850,"NE","Kootenay Region",49.31307,-115.01912,4,2,TRUE,0.5042,0.1844,0.1055,0.2799
"MYYU","127850_NW",127850,"NW","Kootenay Region",49.3096,-115.05201,5,3,TRUE,0.6038,0.3105,0.2278,0.4004
"MYYU","127850_SE",127850,"SE","Kootenay Region",49.28498,-114.95395,5,5,TRUE,1,0.3469,0.2549,0.45
"MYYU","127850_SW",127850,"SW","Kootenay Region",49.2671,-115.02532,7,5,TRUE,0.723,0.2737,0.192,0.3646
"MYYU","128058_NE",128058,"NE","South Coastal Region",48.84117,-123.42727,5,5,TRUE,1,0.7866,0.6371,0.901
"MYYU","128058_NW",128058,"NW","South Coastal Region",48.82144,-123.48643,5,5,TRUE,1,0.8373,0.7533,0.9039
"MYYU","128058_SW",128058,"SW","South Coastal Region",48.79828,-123.47632,5,5,TRUE,1,0.8194,0.7345,0.8906
"MYYU","132650_SE",132650,"SE","Okanagan Region",51.81828,-122.42144,6,0,FALSE,0.0209,0.5122,0.3815,0.6571
"MYYU","132650_SW",132650,"SW","Okanagan Region",51.80225,-122.46284,5,0,FALSE,0.0103,0.4436,0.331,0.5636
"MYYU","137274_NE",137274,"NE","South Coastal Region",48.79,-123.6988,5,5,TRUE,1,0.9058,0.8322,0.9576
"MYYU","137274_NW",137274,"NW","South Coastal Region",48.7891,-123.719,6,6,TRUE,1,0.87,0.8008,0.9236
"MYYU","137274_SE",137274,"SE","South Coastal Region",48.7539,-123.6447,6,6,TRUE,1,0.9123,0.8391,0.9622
"MYYU","143274_NE",143274,"NE","South Coastal Region",50.3377,-122.8012,7,6,TRUE,0.9071,0.6735,0.5723,0.7684
"MYYU","143274_NW",143274,"NW","South Coastal Region",50.3446,-122.8479,7,7,TRUE,1,0.694,0.5737,0.8032
