"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"ANPA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2017,FALSE,0,NA,NA,0.4596,0.0276,0.969
"ANPA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2018,TRUE,2,0,0.6336,0.3844,0.0251,0.971
"ANPA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2019,TRUE,4,0,0.6762,0.3708,0.0537,0.9666
"ANPA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2020,TRUE,4,0,0.6669,0.2804,0.0314,0.9163
"ANPA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2021,TRUE,4,0,0.6351,0.1878,0.024,0.4354
"ANPA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2022,TRUE,4,1,1,0.2201,0.0635,0.4425
"ANPA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2023,TRUE,4,1,1,0.2136,0.0575,0.4289
"ANPA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2024,TRUE,4,1,1,0.2113,0.0537,0.4282
"ANPA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2025,TRUE,4,1,1,0.2143,0.0609,0.4282
"ANPA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2017,TRUE,4,0,0.8536,0.605,0.0197,0.9915
"ANPA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2018,TRUE,4,1,1,0.5353,0.0572,0.9789
"ANPA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2019,TRUE,4,0,0.9647,0.5044,0.1043,0.9816
"ANPA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2020,TRUE,4,0,0.9918,0.4006,0.0721,0.931
"ANPA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2021,TRUE,4,1,1,0.3095,0.0531,0.6636
"ANPA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2022,TRUE,4,1,1,0.3259,0.0911,0.6512
"ANPA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2023,TRUE,4,0,0.9978,0.3173,0.0886,0.6325
"ANPA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2024,TRUE,4,0,0.9973,0.3132,0.0862,0.6264
"ANPA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2025,TRUE,4,1,1,0.3138,0.0852,0.6268
"ANPA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2017,FALSE,0,NA,NA,0.5248,0.0183,0.9877
"ANPA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2018,TRUE,2,0,0.8991,0.4698,0.0454,0.9807
"ANPA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2019,TRUE,4,1,1,0.4526,0.0874,0.9821
"ANPA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2020,TRUE,4,0,0.4644,0.3559,0.0572,0.9485
"ANPA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2021,TRUE,4,0,0.1144,0.263,0.0444,0.5679
"ANPA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2022,TRUE,4,0,0.046,0.3029,0.0944,0.5765
"ANPA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2023,TRUE,4,0,0.032,0.2963,0.0896,0.5668
"ANPA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2024,TRUE,4,0,0.0227,0.2945,0.0872,0.5616
"ANPA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2025,TRUE,4,0,0.0153,0.2992,0.093,0.5684
"ANPA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2017,TRUE,4,0,0.6938,0.5771,0.0506,0.9638
"ANPA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2018,TRUE,4,0,0.7,0.5213,0.0547,0.9644
"ANPA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2019,TRUE,4,0,0.7382,0.5093,0.1323,0.9772
"ANPA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2020,TRUE,4,0,0.7411,0.4148,0.1061,0.9376
"ANPA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2021,TRUE,4,0,0.7129,0.3226,0.0889,0.6019
"ANPA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2022,TRUE,4,1,1,0.3453,0.1424,0.5957
"ANPA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2023,TRUE,4,0,0.9982,0.3376,0.1387,0.5812
"ANPA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2024,TRUE,4,0,0.9978,0.3341,0.1383,0.5725
"ANPA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2025,TRUE,4,1,1,0.3356,0.1418,0.573
"ANPA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2017,FALSE,0,NA,NA,0.3774,0.0123,0.9747
"ANPA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2018,FALSE,0,NA,NA,0.2685,0.0034,0.9493
"ANPA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2019,FALSE,0,NA,NA,0.2701,0.0031,0.9903
"ANPA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2020,FALSE,0,NA,NA,0.1734,6e-04,0.9835
"ANPA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2021,FALSE,0,NA,NA,0.0709,3e-04,0.3391
"ANPA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2022,FALSE,0,NA,NA,0.4645,0.2044,0.7628
"ANPA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2023,TRUE,4,0,0.1307,0.4171,0.0795,0.7126
"ANPA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2024,FALSE,0,NA,NA,0.422,0.0575,0.7099
"ANPA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2025,TRUE,4,0,0.0853,0.4804,0.2442,0.736
"ANPA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2017,FALSE,0,NA,NA,0.2718,0.0024,0.9719
"ANPA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2018,FALSE,0,NA,NA,0.2051,8e-04,0.9608
"ANPA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2019,FALSE,0,NA,NA,0.2408,7e-04,0.9915
"ANPA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2020,FALSE,0,NA,NA,0.1538,2e-04,0.9834
"ANPA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2021,FALSE,0,NA,NA,0.0603,1e-04,0.3583
"ANPA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2022,FALSE,0,NA,NA,0.4825,0.1863,0.823
"ANPA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2023,TRUE,4,0,0.78,0.4225,0.0492,0.7627
"ANPA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2024,FALSE,0,NA,NA,0.4236,0.025,0.7592
"ANPA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2025,TRUE,4,1,1,0.4803,0.2067,0.7738
"ANPA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2017,FALSE,0,NA,NA,0.4606,0.0048,0.989
"ANPA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2018,TRUE,3,0,0.0742,0.0813,1e-04,0.5427
"ANPA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2019,TRUE,4,0,0.0687,0.0737,0,0.8449
"ANPA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2020,FALSE,0,NA,NA,0.0429,0,0.6514
"ANPA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2021,FALSE,0,NA,NA,0.0034,0,0.0298
"ANPA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2022,TRUE,4,0,0.0069,0.0173,4e-04,0.0805
"ANPA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2023,FALSE,0,NA,NA,0.0106,0,0.0585
"ANPA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2024,TRUE,4,0,0.0024,0.0093,0,0.054
"ANPA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2025,TRUE,4,0,0.002,0.0103,0,0.0607
"ANPA","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2017,FALSE,0,NA,NA,0.3543,0.0035,0.9819
"ANPA","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2018,TRUE,3,0,0.0609,0.0628,0,0.5269
