"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"COTO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2017,FALSE,0,NA,NA,0.0886,0.0072,0.2943
"COTO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2018,TRUE,2,0,0.0884,0.2816,0.1632,0.4481
"COTO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2019,TRUE,4,0,0.0236,0.2635,0.1434,0.3996
"COTO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2020,TRUE,4,0,0.1182,0.3213,0.1783,0.4923
"COTO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2021,TRUE,4,1,1,0.3999,0.245,0.5943
"COTO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2022,TRUE,4,0,0.0538,0.3201,0.192,0.4855
"COTO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2023,TRUE,4,0,0.0196,0.3473,0.2164,0.5062
"COTO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2024,TRUE,4,0,0.0247,0.3271,0.1954,0.4916
"COTO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2025,TRUE,4,0,0.0209,0.328,0.1958,0.4779
"COTO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2017,TRUE,4,0,0.0524,0.1539,0.0108,0.5095
"COTO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2018,TRUE,4,0,0.0424,0.2476,0.1246,0.4126
"COTO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2019,TRUE,4,0,0.0173,0.2102,0.1023,0.3329
"COTO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2020,TRUE,4,0,0.0831,0.2563,0.1311,0.4224
"COTO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2021,TRUE,4,1,1,0.3243,0.1847,0.5179
"COTO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2022,TRUE,4,0,0.0609,0.2425,0.1354,0.3803
"COTO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2023,TRUE,4,1,1,0.2693,0.1539,0.4137
"COTO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2024,TRUE,4,1,1,0.2507,0.1394,0.3954
"COTO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2025,TRUE,4,0,0.0269,0.2498,0.1371,0.3844
"COTO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2017,FALSE,0,NA,NA,0.1087,0.0072,0.3796
"COTO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2018,TRUE,2,0,0.1656,0.2341,0.1244,0.3887
"COTO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2019,TRUE,4,1,1,0.2126,0.1078,0.338
"COTO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2020,TRUE,4,1,1,0.2592,0.1325,0.4208
"COTO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2021,TRUE,4,0,0.1496,0.3306,0.188,0.5182
"COTO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2022,TRUE,4,0,0.0436,0.2576,0.1467,0.4098
"COTO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2023,TRUE,4,0,0.0287,0.2798,0.1617,0.4279
"COTO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2024,TRUE,4,0,0.0793,0.2626,0.1462,0.414
"COTO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2025,TRUE,4,1,1,0.262,0.1457,0.4038
"COTO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2017,TRUE,4,0,0.0458,0.1365,0.0135,0.4155
"COTO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2018,TRUE,4,0,0.1302,0.2553,0.1462,0.3994
"COTO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2019,TRUE,4,1,1,0.258,0.1429,0.387
"COTO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2020,TRUE,4,0,0.2853,0.3145,0.1779,0.474
"COTO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2021,TRUE,4,0,0.2331,0.3949,0.2462,0.5792
"COTO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2022,TRUE,4,1,1,0.3322,0.1998,0.4974
"COTO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2023,TRUE,4,0,0.312,0.3544,0.218,0.5222
"COTO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2024,TRUE,4,1,1,0.3371,0.2008,0.5123
"COTO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2025,TRUE,4,0,0.136,0.3381,0.2015,0.5059
"COTO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2017,FALSE,0,NA,NA,0.6493,0.3126,0.9215
"COTO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2018,FALSE,0,NA,NA,0.5013,0.2214,0.7512
"COTO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2019,FALSE,0,NA,NA,0.4787,0.2662,0.6969
"COTO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2020,FALSE,0,NA,NA,0.5148,0.3371,0.6992
"COTO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2021,FALSE,0,NA,NA,0.5744,0.4026,0.7502
"COTO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2022,FALSE,0,NA,NA,0.5535,0.3766,0.7357
"COTO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2023,TRUE,4,1,1,0.573,0.3946,0.7494
"COTO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2024,FALSE,0,NA,NA,0.5659,0.3745,0.753
"COTO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2025,TRUE,4,0,0.6569,0.5709,0.3744,0.7653
"COTO","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2017,FALSE,0,NA,NA,0.4937,0.2196,0.797
"COTO","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2018,FALSE,0,NA,NA,0.4909,0.2686,0.7343
"COTO","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2019,FALSE,0,NA,NA,0.5084,0.3127,0.7178
"COTO","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2020,FALSE,0,NA,NA,0.5509,0.3612,0.743
"COTO","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2021,FALSE,0,NA,NA,0.6102,0.4261,0.7842
"COTO","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2022,FALSE,0,NA,NA,0.6202,0.429,0.7986
"COTO","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2023,TRUE,4,0,0.4044,0.6461,0.4529,0.8182
"COTO","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2024,FALSE,0,NA,NA,0.6546,0.4501,0.8333
"COTO","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2025,TRUE,4,0,0.4316,0.6664,0.451,0.8451
"COTO","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2017,FALSE,0,NA,NA,0.318,0.1103,0.587
"COTO","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2018,TRUE,3,1,1,0.4397,0.2728,0.6162
"COTO","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2019,TRUE,4,1,1,0.5088,0.3518,0.6703
"COTO","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2020,FALSE,0,NA,NA,0.5915,0.4324,0.7561
"COTO","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2021,FALSE,0,NA,NA,0.6834,0.5294,0.8325
"COTO","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2022,TRUE,4,1,1,0.6894,0.5226,0.843
"COTO","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2023,FALSE,0,NA,NA,0.7211,0.5547,0.866
"COTO","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2024,TRUE,4,1,1,0.7251,0.5428,0.8798
"COTO","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2025,TRUE,4,1,1,0.7357,0.5497,0.8914
"COTO","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2017,FALSE,0,NA,NA,0.1932,0.0431,0.4532
"COTO","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2018,TRUE,3,0,0.1047,0.3154,0.183,0.4854
"COTO","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2019,TRUE,4,0,0.1167,0.3652,0.2228,0.5316
"COTO","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2020,TRUE,4,0,0.2904,0.4425,0.2798,0.6247
"COTO","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2021,TRUE,4,1,1,0.5372,0.361,0.7275
"COTO","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2022,TRUE,4,1,1,0.5219,0.3334,0.7241
"COTO","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2023,FALSE,0,NA,NA,0.552,0.3615,0.7467
"COTO","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2024,TRUE,4,1,1,0.5481,0.3431,0.7614
"COTO","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2025,TRUE,4,1,1,0.5553,0.3451,0.774
"COTO","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2017,FALSE,0,NA,NA,0.4603,0.1408,0.8379
"COTO","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2018,TRUE,3,1,1,0.4365,0.2177,0.7001
"COTO","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2019,TRUE,4,1,1,0.4507,0.2714,0.6653
"COTO","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2020,TRUE,4,1,1,0.4964,0.3207,0.6894
"COTO","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2021,TRUE,4,1,1,0.5633,0.3924,0.7385
"COTO","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2022,TRUE,4,1,1,0.5639,0.3837,0.7414
"COTO","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2023,FALSE,0,NA,NA,0.5889,0.4033,0.7686
"COTO","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2024,TRUE,4,1,1,0.5907,0.3884,0.7828
"COTO","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2025,TRUE,4,1,1,0.5997,0.3927,0.7971
"COTO","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2017,FALSE,0,NA,NA,0.376,0.1318,0.6974
"COTO","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2018,TRUE,4,0,0.1444,0.3687,0.2002,0.5517
"COTO","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2019,TRUE,4,0,0.1622,0.386,0.2404,0.5406
"COTO","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2020,TRUE,4,0,0.3702,0.4454,0.305,0.5978
"COTO","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2021,TRUE,4,1,1,0.5277,0.3869,0.6807
"COTO","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2022,TRUE,2,0,0.5536,0.508,0.3594,0.6665
"COTO","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2023,FALSE,0,NA,NA,0.5331,0.3829,0.6928
"COTO","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2024,TRUE,4,0,0.2513,0.5261,0.36,0.7074
"COTO","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2025,TRUE,4,0,0.2238,0.5317,0.3578,0.7158
"COTO","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,2017,FALSE,0,NA,NA,0.0764,0.0055,0.3066
"COTO","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,2018,TRUE,3,0,0.0082,0.0263,0.0027,0.1011
"COTO","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,2019,FALSE,0,NA,NA,0.0167,0.0014,0.0688
"COTO","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,2020,TRUE,3,0,0.0011,0.0151,0.0012,0.0599
