"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"EPFU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2017,FALSE,0,NA,NA,0.8245,0.5712,0.9799
"EPFU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2018,TRUE,2,1,1,0.8076,0.6456,0.9183
"EPFU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2019,TRUE,4,1,1,0.784,0.6514,0.8908
"EPFU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2020,TRUE,4,1,1,0.7719,0.6327,0.889
"EPFU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2021,TRUE,4,1,1,0.856,0.751,0.934
"EPFU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2022,TRUE,4,1,1,0.8537,0.7476,0.9344
"EPFU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2023,TRUE,4,1,1,0.8849,0.792,0.9527
"EPFU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2024,TRUE,4,1,1,0.9074,0.8215,0.9667
"EPFU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2025,TRUE,4,1,1,0.922,0.8441,0.9736
"EPFU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2017,TRUE,4,1,1,0.8474,0.5487,0.9882
"EPFU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2018,TRUE,4,1,1,0.8134,0.6475,0.9257
"EPFU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2019,TRUE,4,1,1,0.7817,0.6334,0.8994
"EPFU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2020,TRUE,4,1,1,0.7662,0.6107,0.8975
"EPFU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2021,TRUE,4,1,1,0.8567,0.742,0.94
"EPFU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2022,TRUE,4,1,1,0.8496,0.7293,0.9397
"EPFU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2023,TRUE,4,1,1,0.8829,0.7759,0.9559
"EPFU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2024,TRUE,4,1,1,0.9054,0.815,0.9688
"EPFU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2025,TRUE,4,1,1,0.9176,0.8329,0.974
"EPFU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2017,FALSE,0,NA,NA,0.8112,0.5082,0.9834
"EPFU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2018,TRUE,2,0,0.1311,0.7778,0.5888,0.9048
"EPFU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2019,TRUE,4,0,0.0416,0.7456,0.5898,0.8736
