"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"LABO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2017,FALSE,0,NA,NA,0.1853,0.041,0.438
"LABO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2018,TRUE,2,0,0.296,0.1559,0.0409,0.3409
"LABO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2019,TRUE,4,0,0.3862,0.1662,0.0367,0.3489
"LABO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2020,TRUE,4,1,1,0.2634,0.1222,0.443
"LABO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2021,TRUE,4,0,0.9416,0.2826,0.1373,0.4636
"LABO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2022,TRUE,4,1,1,0.4572,0.2699,0.6661
"LABO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2023,TRUE,4,1,1,0.5338,0.2996,0.7616
"LABO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2024,TRUE,4,0,0.9469,0.6541,0.4186,0.8498
"LABO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2025,TRUE,4,1,1,0.7076,0.5013,0.8746
"LABO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2017,TRUE,4,0,0.0356,0.2181,0.0329,0.5826
"LABO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2018,TRUE,4,0,0.0293,0.2043,0.0479,0.5013
"LABO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2019,TRUE,4,0,0.0562,0.2247,0.0596,0.5067
"LABO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2020,TRUE,4,0,0.2251,0.3337,0.1511,0.5736
"LABO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2021,TRUE,4,0,0.3042,0.3621,0.1803,0.5973
"LABO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2022,TRUE,4,1,1,0.5406,0.327,0.7725
"LABO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2023,TRUE,4,1,1,0.6285,0.3994,0.85
"LABO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2024,TRUE,4,0,0.9762,0.7375,0.5127,0.9185
"LABO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2025,TRUE,4,1,1,0.7912,0.5904,0.9383
"LABO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2017,FALSE,0,NA,NA,0.199,0.034,0.4997
"LABO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2018,TRUE,2,0,0.0751,0.1962,0.0515,0.4447
"LABO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2019,TRUE,4,0,0.0893,0.2197,0.0641,0.4613
"LABO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2020,TRUE,4,0,0.174,0.3368,0.1618,0.5592
"LABO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2021,TRUE,4,0,0.2096,0.3686,0.1891,0.5904
"LABO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2022,TRUE,4,0,0.5893,0.5541,0.345,0.7748
"LABO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2023,TRUE,4,1,1,0.6457,0.4166,0.8517
"LABO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2024,TRUE,4,0,0.9767,0.7551,0.5399,0.927
"LABO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2025,TRUE,4,1,1,0.8108,0.6194,0.9478
"LABO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2017,TRUE,4,0,0.0209,0.2028,0.0455,0.4803
"LABO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2018,TRUE,4,0,0.0078,0.1734,0.0483,0.3768
"LABO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2019,TRUE,4,0,0.014,0.1897,0.0484,0.3863
"LABO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2020,TRUE,4,0,0.0576,0.3062,0.1484,0.4997
"LABO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2021,TRUE,4,0,0.068,0.3313,0.1726,0.5234
"LABO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2022,TRUE,4,0,0.2233,0.5252,0.3297,0.7339
"LABO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2023,TRUE,4,0,0.3713,0.6076,0.3797,0.8211
"LABO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2024,TRUE,4,0,0.6329,0.7255,0.5019,0.9015
"LABO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2025,TRUE,4,1,1,0.7709,0.5809,0.9146
"LABO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2017,FALSE,0,NA,NA,0.1014,0.0086,0.3152
"LABO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2018,FALSE,0,NA,NA,0.1124,0.018,0.2869
"LABO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2019,FALSE,0,NA,NA,0.1528,0.0282,0.3492
"LABO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2020,FALSE,0,NA,NA,0.3256,0.1644,0.5422
"LABO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2021,FALSE,0,NA,NA,0.3551,0.1863,0.558
"LABO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2022,FALSE,0,NA,NA,0.5883,0.3742,0.8206
"LABO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2023,TRUE,4,0,0.3693,0.6579,0.3922,0.8863
