"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"LACI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2017,FALSE,0,NA,NA,0.7974,0.5364,0.9648
"LACI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2018,TRUE,2,0,0.7116,0.8057,0.6635,0.9135
"LACI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2019,TRUE,4,1,1,0.8037,0.6922,0.8938
"LACI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2020,TRUE,4,1,1,0.774,0.6446,0.8757
"LACI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2021,TRUE,4,0,0.6473,0.7807,0.6527,0.8837
"LACI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2022,TRUE,4,1,1,0.7706,0.6345,0.8822
"LACI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2023,TRUE,4,1,1,0.8046,0.6765,0.9056
"LACI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2024,TRUE,4,1,1,0.7975,0.6651,0.901
"LACI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2025,TRUE,4,1,1,0.8423,0.7235,0.9321
"LACI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2017,TRUE,4,1,1,0.7849,0.4604,0.9675
"LACI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2018,TRUE,4,1,1,0.8156,0.6274,0.9335
"LACI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2019,TRUE,4,1,1,0.828,0.6896,0.92
"LACI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2020,TRUE,4,1,1,0.8129,0.6824,0.9087
"LACI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2021,TRUE,4,1,1,0.8215,0.6952,0.9153
"LACI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2022,TRUE,4,1,1,0.8157,0.6836,0.9149
"LACI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2023,TRUE,4,1,1,0.8422,0.7176,0.9312
"LACI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2024,TRUE,4,1,1,0.8388,0.712,0.9317
"LACI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2025,TRUE,4,1,1,0.873,0.7527,0.9528
"LACI","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2017,FALSE,0,NA,NA,0.768,0.4545,0.9591
"LACI","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2018,TRUE,2,1,1,0.7881,0.5986,0.9185
"LACI","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2019,TRUE,4,1,1,0.7948,0.6549,0.8994
