"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"LANO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2017,FALSE,0,NA,NA,0.8413,0.5955,0.9729
"LANO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2018,TRUE,2,1,1,0.9155,0.827,0.9728
"LANO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2019,TRUE,4,1,1,0.907,0.8292,0.9621
"LANO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2020,TRUE,4,1,1,0.8937,0.8023,0.9573
"LANO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2021,TRUE,4,1,1,0.8766,0.777,0.9458
"LANO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2022,TRUE,4,1,1,0.9123,0.8277,0.9658
"LANO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2023,TRUE,4,1,1,0.926,0.8525,0.9739
"LANO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2024,TRUE,4,1,1,0.9532,0.8841,0.9916
"LANO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2025,TRUE,4,1,1,0.9123,0.8341,0.9632
"LANO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2017,TRUE,4,1,1,0.8819,0.6346,0.9872
"LANO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2018,TRUE,4,1,1,0.9364,0.8596,0.9817
"LANO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2019,TRUE,4,1,1,0.924,0.8486,0.9724
"LANO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2020,TRUE,4,1,1,0.9119,0.8245,0.9697
"LANO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2021,TRUE,4,1,1,0.8957,0.7995,0.9588
"LANO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2022,TRUE,4,1,1,0.9289,0.8524,0.9752
"LANO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2023,TRUE,4,1,1,0.9402,0.8698,0.9818
"LANO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2024,TRUE,4,1,1,0.9634,0.9001,0.9946
"LANO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2025,TRUE,4,1,1,0.9263,0.8529,0.9727
"LANO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2017,FALSE,0,NA,NA,0.8504,0.5753,0.9796
"LANO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2018,TRUE,2,1,1,0.9186,0.832,0.9744
"LANO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2019,TRUE,4,1,1,0.9019,0.816,0.9614
"LANO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2020,TRUE,4,1,1,0.8869,0.7843,0.9562
"LANO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2021,TRUE,4,1,1,0.8674,0.7598,0.9434
"LANO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2022,TRUE,4,1,1,0.9089,0.8216,0.9654
"LANO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2023,TRUE,4,1,1,0.9227,0.8452,0.9738
"LANO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2024,TRUE,4,1,1,0.9525,0.8786,0.9922
"LANO","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2025,TRUE,4,1,1,0.9041,0.8175,0.9612
"LANO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2017,TRUE,4,1,1,0.8866,0.6844,0.9836
"LANO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2018,TRUE,4,1,1,0.9374,0.8696,0.9804
"LANO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2019,TRUE,4,1,1,0.9259,0.86,0.9715
"LANO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2020,TRUE,4,1,1,0.9142,0.8349,0.9665
"LANO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2021,TRUE,4,1,1,0.8982,0.8117,0.9562
"LANO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2022,TRUE,4,1,1,0.9303,0.8613,0.9737
"LANO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2023,TRUE,4,1,1,0.9417,0.8795,0.9805
"LANO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2024,TRUE,4,1,1,0.9643,0.9083,0.9939
"LANO","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2025,TRUE,4,1,1,0.9284,0.8633,0.9715
"LANO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2017,FALSE,0,NA,NA,0.791,0.5623,0.9429
"LANO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2018,FALSE,0,NA,NA,0.8712,0.7643,0.95
"LANO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2019,FALSE,0,NA,NA,0.8586,0.7651,0.9304
"LANO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2020,FALSE,0,NA,NA,0.8388,0.732,0.919
"LANO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2021,FALSE,0,NA,NA,0.818,0.7014,0.9065
"LANO","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2022,FALSE,0,NA,NA,0.8676,0.7804,0.9355
