"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"MYCA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2017,FALSE,0,NA,NA,0.5934,0.3019,0.8452
"MYCA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2018,TRUE,2,0,0.2347,0.6695,0.4854,0.8305
"MYCA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2019,TRUE,4,1,1,0.7549,0.6173,0.8684
"MYCA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2020,TRUE,4,1,1,0.6898,0.5169,0.8379
"MYCA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2021,TRUE,4,1,1,0.7786,0.6455,0.8816
"MYCA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2022,TRUE,4,1,1,0.7989,0.6715,0.8982
"MYCA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2023,TRUE,4,1,1,0.7941,0.665,0.8916
"MYCA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2024,TRUE,4,1,1,0.7997,0.6699,0.8995
"MYCA","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2025,TRUE,4,1,1,0.7887,0.6554,0.8935
"MYCA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2017,TRUE,4,1,1,0.7746,0.4742,0.9548
"MYCA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2018,TRUE,4,1,1,0.7842,0.5885,0.9151
"MYCA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2019,TRUE,4,1,1,0.8124,0.68,0.9082
"MYCA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2020,TRUE,4,1,1,0.7448,0.5778,0.8797
"MYCA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2021,TRUE,4,1,1,0.8083,0.6818,0.906
"MYCA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2022,TRUE,4,1,1,0.8237,0.6958,0.9175
"MYCA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2023,TRUE,4,1,1,0.8194,0.6885,0.9151
"MYCA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2024,TRUE,4,1,1,0.8234,0.6926,0.9201
"MYCA","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2025,TRUE,4,1,1,0.8143,0.6788,0.9167
"MYCA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2017,FALSE,0,NA,NA,0.6738,0.3533,0.904
"MYCA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2018,TRUE,2,0,0.4682,0.7023,0.4918,0.8646
"MYCA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2019,TRUE,4,1,1,0.7546,0.6053,0.8708
"MYCA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2020,TRUE,4,0,0.5513,0.6894,0.5208,0.8375
"MYCA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2021,TRUE,4,1,1,0.7598,0.6202,0.873
"MYCA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2022,TRUE,4,0,0.0158,0.7803,0.6394,0.8909
"MYCA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2023,TRUE,4,0,4e-04,0.7759,0.6366,0.8862
"MYCA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2024,TRUE,4,0,0.0056,0.7805,0.6391,0.8925
"MYCA","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2025,TRUE,4,1,1,0.7709,0.6256,0.8875
"MYCA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2017,TRUE,4,1,1,0.742,0.4772,0.925
"MYCA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2018,TRUE,4,1,1,0.7771,0.6077,0.9023
"MYCA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2019,TRUE,4,1,1,0.8253,0.7108,0.9101
"MYCA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2020,TRUE,4,1,1,0.7702,0.6226,0.8887
"MYCA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2021,TRUE,4,1,1,0.8354,0.7286,0.9154
"MYCA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2022,TRUE,4,1,1,0.8521,0.7495,0.927
"MYCA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2023,TRUE,4,1,1,0.8495,0.7462,0.9265
"MYCA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2024,TRUE,4,1,1,0.8542,0.75,0.931
"MYCA","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2025,TRUE,4,1,1,0.8464,0.7379,0.9267
"MYCA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2017,FALSE,0,NA,NA,0.8608,0.6717,0.9694
"MYCA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2018,FALSE,0,NA,NA,0.8222,0.6864,0.9247
"MYCA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2019,FALSE,0,NA,NA,0.8149,0.6983,0.9021
"MYCA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2020,FALSE,0,NA,NA,0.7201,0.5468,0.8529
"MYCA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2021,FALSE,0,NA,NA,0.8087,0.6995,0.895
"MYCA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2022,FALSE,0,NA,NA,0.8202,0.7114,0.9038
"MYCA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2023,TRUE,4,1,1,0.8123,0.6998,0.8984
"MYCA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2024,FALSE,0,NA,NA,0.8178,0.7039,0.905
"MYCA","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2025,TRUE,4,1,1,0.8044,0.6879,0.8969
"MYCA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2017,FALSE,0,NA,NA,0.6797,0.4179,0.885
"MYCA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2018,FALSE,0,NA,NA,0.6984,0.5153,0.8533
"MYCA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2019,FALSE,0,NA,NA,0.7339,0.5836,0.8577
"MYCA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2020,FALSE,0,NA,NA,0.6277,0.4313,0.8062
"MYCA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2021,FALSE,0,NA,NA,0.7476,0.6066,0.8614
"MYCA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2022,FALSE,0,NA,NA,0.7563,0.6201,0.8695
"MYCA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2023,TRUE,4,0,0.0407,0.7431,0.5945,0.8612
"MYCA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2024,FALSE,0,NA,NA,0.7495,0.604,0.866
"MYCA","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2025,TRUE,4,1,1,0.7312,0.584,0.8514
"MYCA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2017,FALSE,0,NA,NA,0.7021,0.4701,0.8899
"MYCA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2018,TRUE,3,1,1,0.8494,0.7286,0.9356
"MYCA","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2019,TRUE,4,1,1,0.9233,0.8557,0.9692
