"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"MYCI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2017,FALSE,0,NA,NA,0.7951,0.5105,0.9706
"MYCI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2018,TRUE,2,1,1,0.6833,0.4841,0.8428
"MYCI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2019,TRUE,4,0,0.4471,0.6865,0.498,0.8409
"MYCI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2020,TRUE,4,1,1,0.6024,0.3998,0.769
"MYCI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2021,TRUE,4,1,1,0.5897,0.4107,0.7523
"MYCI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2022,TRUE,4,1,1,0.6567,0.4735,0.8153
"MYCI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2023,TRUE,4,1,1,0.801,0.6478,0.9209
"MYCI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2024,TRUE,4,1,1,0.702,0.5231,0.8532
"MYCI","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2025,TRUE,4,1,1,0.763,0.6125,0.8864
"MYCI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2017,TRUE,4,1,1,0.8297,0.5056,0.983
"MYCI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2018,TRUE,4,1,1,0.8255,0.632,0.948
"MYCI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2019,TRUE,4,1,1,0.8482,0.6925,0.9507
"MYCI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2020,TRUE,4,1,1,0.8147,0.6252,0.9377
"MYCI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2021,TRUE,4,1,1,0.8127,0.6321,0.9346
"MYCI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2022,TRUE,4,1,1,0.8433,0.6763,0.9523
"MYCI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2023,TRUE,4,1,1,0.911,0.7896,0.9801
"MYCI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2024,TRUE,4,1,1,0.8774,0.722,0.9699
"MYCI","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2025,TRUE,4,1,1,0.9008,0.7694,0.9771
"MYCI","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2017,FALSE,0,NA,NA,0.8182,0.5077,0.9809
"MYCI","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2018,TRUE,2,0,0.1538,0.7572,0.5539,0.9053
"MYCI","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2019,TRUE,4,1,1,0.7625,0.5787,0.897
"MYCI","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2020,TRUE,4,1,1,0.6992,0.4895,0.8576
"MYCI","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2021,TRUE,4,1,1,0.6883,0.4994,0.8504
"MYCI","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2022,TRUE,4,0,0.0527,0.7347,0.5489,0.8836
"MYCI","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2023,TRUE,4,1,1,0.8451,0.6966,0.9497
"MYCI","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2024,TRUE,4,1,1,0.7833,0.5967,0.9185
"MYCI","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2025,TRUE,4,1,1,0.8253,0.6752,0.9387
"MYCI","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2017,TRUE,4,1,1,0.8162,0.5588,0.9736
"MYCI","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2018,TRUE,4,1,1,0.8113,0.6485,0.9248
"MYCI","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2019,TRUE,4,1,1,0.8359,0.7017,0.9308
"MYCI","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2020,TRUE,4,1,1,0.8001,0.6398,0.9099
"MYCI","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2021,TRUE,4,1,1,0.7971,0.6542,0.9062
"MYCI","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2022,TRUE,4,1,1,0.8309,0.6994,0.9311
"MYCI","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2023,TRUE,4,1,1,0.9045,0.8016,0.9716
"MYCI","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2024,TRUE,4,1,1,0.8681,0.7416,0.9527
"MYCI","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2025,TRUE,4,1,1,0.8934,0.787,0.9636
"MYCI","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2017,FALSE,0,NA,NA,0.082,0.0078,0.2555
"MYCI","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2018,FALSE,0,NA,NA,0.1031,0.0251,0.2327
"MYCI","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2019,FALSE,0,NA,NA,0.1488,0.0648,0.2668
"MYCI","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2020,FALSE,0,NA,NA,0.1393,0.0598,0.2486
"MYCI","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2021,FALSE,0,NA,NA,0.1337,0.0539,0.2441
"MYCI","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2022,FALSE,0,NA,NA,0.1582,0.0714,0.2793
"MYCI","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2023,TRUE,4,1,1,0.2584,0.1424,0.4072
"MYCI","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2024,FALSE,0,NA,NA,0.2379,0.1178,0.3916
"MYCI","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2025,TRUE,4,1,1,0.3147,0.171,0.4863
"MYCI","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2017,FALSE,0,NA,NA,0.0616,0.0047,0.2112
"MYCI","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2018,FALSE,0,NA,NA,0.0736,0.0139,0.1726
"MYCI","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2019,FALSE,0,NA,NA,0.1149,0.0424,0.2298
"MYCI","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2020,FALSE,0,NA,NA,0.0847,0.0268,0.1774
"MYCI","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2021,FALSE,0,NA,NA,0.068,0.0165,0.1546
"MYCI","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2022,FALSE,0,NA,NA,0.0961,0.0317,0.1987
"MYCI","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2023,TRUE,4,0,0.0116,0.204,0.0898,0.362
"MYCI","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2024,FALSE,0,NA,NA,0.1388,0.0506,0.2741
"MYCI","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2025,TRUE,4,1,1,0.2284,0.104,0.3948
"MYCI","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2017,FALSE,0,NA,NA,0.0373,0.0032,0.13
"MYCI","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2018,TRUE,3,0,0.0024,0.0337,0.0064,0.0847
"MYCI","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2019,TRUE,4,0,0.0071,0.0499,0.0163,0.1065
"MYCI","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2020,FALSE,0,NA,NA,0.0385,0.0093,0.0899
"MYCI","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2021,FALSE,0,NA,NA,0.0321,0.005,0.0869
"MYCI","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2022,TRUE,4,0,7e-04,0.0435,0.011,0.1028
