"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"MYEV","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2017,FALSE,0,NA,NA,0.806,0.5365,0.9729
"MYEV","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2018,TRUE,2,0,0.5873,0.8254,0.6996,0.9278
"MYEV","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2019,TRUE,4,1,1,0.8256,0.7178,0.9111
"MYEV","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2020,TRUE,4,1,1,0.7328,0.6013,0.856
"MYEV","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2021,TRUE,4,1,1,0.8331,0.7247,0.9191
"MYEV","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2022,TRUE,4,1,1,0.9005,0.815,0.9635
"MYEV","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2023,TRUE,4,1,1,0.8641,0.7601,0.9422
"MYEV","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2024,TRUE,4,1,1,0.8906,0.8067,0.9528
"MYEV","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2025,TRUE,4,1,1,0.8881,0.8011,0.951
"MYEV","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2017,TRUE,4,1,1,0.8297,0.5309,0.9827
"MYEV","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2018,TRUE,4,1,1,0.8344,0.692,0.9383
"MYEV","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2019,TRUE,4,1,1,0.8315,0.7167,0.9219
"MYEV","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2020,TRUE,4,1,1,0.7362,0.5936,0.864
"MYEV","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2021,TRUE,4,1,1,0.8515,0.7406,0.9323
"MYEV","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2022,TRUE,4,1,1,0.912,0.8268,0.9712
"MYEV","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2023,TRUE,4,1,1,0.8667,0.7543,0.9473
"MYEV","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2024,TRUE,4,1,1,0.8976,0.8122,0.9602
"MYEV","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2025,TRUE,4,1,1,0.8941,0.8026,0.9579
"MYEV","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2017,FALSE,0,NA,NA,0.8226,0.5294,0.9795
"MYEV","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2018,TRUE,2,1,1,0.8368,0.7021,0.9386
"MYEV","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2019,TRUE,4,1,1,0.8337,0.7218,0.9206
"MYEV","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2020,TRUE,4,1,1,0.7387,0.6018,0.8638
"MYEV","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2021,TRUE,4,1,1,0.8549,0.7492,0.9335
"MYEV","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2022,TRUE,4,1,1,0.9139,0.8331,0.9716
"MYEV","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2023,TRUE,4,1,1,0.8686,0.7597,0.9467
