"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"MYLU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2017,FALSE,0,NA,NA,0.8239,0.5818,0.9632
"MYLU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2018,TRUE,2,1,1,0.7865,0.6517,0.8941
"MYLU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2019,TRUE,4,1,1,0.8544,0.7377,0.9371
"MYLU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2020,TRUE,4,1,1,0.7771,0.6478,0.8852
"MYLU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2021,TRUE,4,1,1,0.9142,0.8315,0.9697
"MYLU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2022,TRUE,4,1,1,0.9193,0.839,0.9713
"MYLU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2023,TRUE,4,1,1,0.9563,0.894,0.9914
"MYLU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2024,TRUE,4,1,1,0.9346,0.8586,0.9814
"MYLU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2025,TRUE,4,1,1,0.9565,0.8929,0.9911
"MYLU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2017,TRUE,4,1,1,0.9029,0.6927,0.9902
"MYLU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2018,TRUE,4,1,1,0.8671,0.751,0.9463
"MYLU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2019,TRUE,4,1,1,0.9049,0.8101,0.9666
"MYLU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2020,TRUE,4,1,1,0.858,0.7417,0.9429
"MYLU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2021,TRUE,4,1,1,0.9401,0.8627,0.9832
"MYLU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2022,TRUE,4,1,1,0.948,0.8819,0.9857
"MYLU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2023,TRUE,4,1,1,0.9707,0.9191,0.9952
"MYLU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2024,TRUE,4,1,1,0.9611,0.905,0.9911
"MYLU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2025,TRUE,4,1,1,0.9729,0.9242,0.9955
"MYLU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2017,FALSE,0,NA,NA,0.8774,0.6497,0.9833
"MYLU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2018,TRUE,2,1,1,0.8443,0.726,0.9335
"MYLU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2019,TRUE,4,1,1,0.8924,0.7941,0.9596
"MYLU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2020,TRUE,4,0,0.0338,0.836,0.7161,0.9273
"MYLU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2021,TRUE,4,0,0.0273,0.9348,0.861,0.9804
"MYLU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2022,TRUE,4,1,1,0.9418,0.8738,0.982
"MYLU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2023,TRUE,4,1,1,0.9681,0.9137,0.9948
"MYLU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2024,TRUE,4,1,1,0.955,0.8962,0.9885
"MYLU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2025,TRUE,4,1,1,0.9695,0.9193,0.9947
"MYLU","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2017,TRUE,4,1,1,0.8719,0.6666,0.9771
"MYLU","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2018,TRUE,4,0,0.0096,0.8515,0.7427,0.9315
"MYLU","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2019,TRUE,4,0,0.0264,0.8962,0.804,0.9586
"MYLU","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2020,TRUE,4,0,0.08,0.8476,0.7421,0.93
"MYLU","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2021,TRUE,4,1,1,0.9363,0.8675,0.9796
"MYLU","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2022,TRUE,4,1,1,0.9447,0.8834,0.9821
"MYLU","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2023,TRUE,4,1,1,0.9693,0.9224,0.9941
"MYLU","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2024,TRUE,4,1,1,0.9587,0.9064,0.9889
"MYLU","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2025,TRUE,4,1,1,0.9713,0.9245,0.9944
"MYLU","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2017,FALSE,0,NA,NA,0.8113,0.5893,0.9481
"MYLU","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2018,FALSE,0,NA,NA,0.8845,0.7691,0.9552
"MYLU","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2019,FALSE,0,NA,NA,0.9312,0.8507,0.9777
"MYLU","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2020,FALSE,0,NA,NA,0.9253,0.8491,0.9745
"MYLU","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2021,FALSE,0,NA,NA,0.9654,0.9102,0.9924
"MYLU","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2022,FALSE,0,NA,NA,0.9721,0.9258,0.9937
"MYLU","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2023,TRUE,4,1,1,0.9838,0.9475,0.9977
"MYLU","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2024,FALSE,0,NA,NA,0.9815,0.9486,0.9964
"MYLU","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2025,TRUE,4,1,1,0.9868,0.9592,0.998
"MYLU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2017,FALSE,0,NA,NA,0.6348,0.3724,0.8549
"MYLU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2018,FALSE,0,NA,NA,0.8236,0.6561,0.9289
"MYLU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2019,FALSE,0,NA,NA,0.9039,0.7937,0.9691
"MYLU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2020,FALSE,0,NA,NA,0.8903,0.7823,0.9608
"MYLU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2021,FALSE,0,NA,NA,0.955,0.8856,0.9892
"MYLU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2022,FALSE,0,NA,NA,0.9622,0.904,0.9914
"MYLU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2023,TRUE,4,1,1,0.9793,0.9366,0.9971
"MYLU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2024,FALSE,0,NA,NA,0.9729,0.9266,0.9947
"MYLU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2025,TRUE,4,1,1,0.9816,0.9447,0.9974
"MYLU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2017,FALSE,0,NA,NA,0.7691,0.5527,0.926
"MYLU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2018,TRUE,3,1,1,0.7467,0.6185,0.8574
"MYLU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2019,TRUE,4,1,1,0.8111,0.6963,0.9051
