"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"MYSE","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2017,FALSE,0,NA,NA,0.0736,0.0072,0.2392
"MYSE","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2018,TRUE,2,0,0.004,0.037,0.0039,0.1248
"MYSE","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2019,TRUE,4,0,0.002,0.0341,0.0038,0.1116
"MYSE","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2020,TRUE,4,0,9e-04,0.025,0.001,0.0951
"MYSE","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2021,TRUE,4,0,0,0.0186,2e-04,0.0819
"MYSE","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2022,TRUE,4,0,2e-04,0.0179,8e-04,0.0782
"MYSE","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2023,TRUE,4,0,0.0011,0.0262,0.0029,0.088
"MYSE","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2024,TRUE,4,0,0.0011,0.058,0.0122,0.1472
"MYSE","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2025,TRUE,4,0,0.0018,0.0889,0.0218,0.2067
"MYSE","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2017,TRUE,4,0,0.0053,0.0514,0.0029,0.2071
"MYSE","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2018,TRUE,4,0,2e-04,0.0269,0.0028,0.0917
"MYSE","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2019,TRUE,4,0,0.0071,0.0313,0.0041,0.0969
"MYSE","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2020,TRUE,4,0,9e-04,0.0209,0.0011,0.0773
"MYSE","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2021,TRUE,4,0,0,0.014,2e-04,0.0655
"MYSE","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2022,TRUE,4,0,2e-04,0.0164,0.0013,0.0667
"MYSE","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2023,TRUE,4,0,0.0018,0.0338,0.0046,0.1089
"MYSE","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2024,TRUE,4,0,0.0091,0.0908,0.0197,0.2351
"MYSE","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2025,TRUE,4,0,0.0058,0.1373,0.0332,0.3234
"MYSE","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2017,FALSE,0,NA,NA,0.0637,0.0046,0.2352
"MYSE","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2018,TRUE,2,0,0.0122,0.0372,0.004,0.1283
"MYSE","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2019,TRUE,4,0,0.0096,0.0366,0.0044,0.1178
"MYSE","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2020,TRUE,4,0,0.0064,0.0286,0.0013,0.1029
"MYSE","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2021,TRUE,4,0,0.0042,0.0224,3e-04,0.0913
"MYSE","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2022,TRUE,4,0,0.0053,0.0219,0.001,0.0873
"MYSE","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2023,TRUE,4,0,0.0356,0.0312,0.0033,0.1004
"MYSE","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2024,TRUE,4,0,0.2524,0.066,0.0136,0.169
"MYSE","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2025,TRUE,4,1,1,0.1016,0.0239,0.2398
"MYSE","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2017,TRUE,4,0,0.0136,0.0535,0.0045,0.1911
"MYSE","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2018,TRUE,4,0,0.0027,0.0305,0.0035,0.0991
"MYSE","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2019,TRUE,4,0,0.0038,0.0319,0.0045,0.0957
"MYSE","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2020,TRUE,4,0,0.0022,0.024,0.0013,0.0838
"MYSE","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2021,TRUE,4,0,0.0011,0.018,3e-04,0.0735
"MYSE","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2022,TRUE,4,0,0.0011,0.0184,0.0011,0.0708
"MYSE","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2023,TRUE,4,0,0.0044,0.0298,0.0038,0.0961
"MYSE","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2024,TRUE,4,0,0.0164,0.0706,0.0159,0.1744
"MYSE","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2025,TRUE,4,0,0.03,0.1104,0.0278,0.2535
"MYSE","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2017,FALSE,0,NA,NA,0.108,0.0179,0.2951
"MYSE","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2018,FALSE,0,NA,NA,0.1122,0.0222,0.278
"MYSE","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2019,FALSE,0,NA,NA,0.1592,0.0474,0.3534
"MYSE","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2020,FALSE,0,NA,NA,0.0991,0.0223,0.2285
"MYSE","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2021,FALSE,0,NA,NA,0.0555,0.0055,0.1598
"MYSE","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2022,FALSE,0,NA,NA,0.0789,0.02,0.1841
"MYSE","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2023,TRUE,4,0,0.0767,0.1883,0.0654,0.3753
"MYSE","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2024,FALSE,0,NA,NA,0.4206,0.2297,0.642
"MYSE","111466_NE",111466,"NE","Kootenay Region",49.00129,-115.06184,2025,TRUE,4,1,1,0.5146,0.3244,0.7343
"MYSE","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2017,FALSE,0,NA,NA,0.1773,0.0369,0.4171
"MYSE","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2018,FALSE,0,NA,NA,0.1521,0.039,0.3342
"MYSE","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2019,FALSE,0,NA,NA,0.1682,0.0531,0.3393
"MYSE","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2020,FALSE,0,NA,NA,0.1419,0.0312,0.3049
"MYSE","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2021,FALSE,0,NA,NA,0.1141,0.0125,0.2769
"MYSE","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2022,FALSE,0,NA,NA,0.1134,0.018,0.2761
"MYSE","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2023,TRUE,4,0,0.0276,0.1623,0.045,0.3453
"MYSE","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2024,FALSE,0,NA,NA,0.3146,0.1463,0.5369
"MYSE","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2025,TRUE,4,0,0.0849,0.4478,0.2401,0.6761
"MYSE","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2017,FALSE,0,NA,NA,0.0494,0.0043,0.1735
"MYSE","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2018,TRUE,3,0,0,0.0072,4e-04,0.0308
"MYSE","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2019,TRUE,4,0,7e-04,0.0054,2e-04,0.0247
"MYSE","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2020,FALSE,0,NA,NA,0.0026,0,0.0163
"MYSE","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2021,FALSE,0,NA,NA,0.0014,0,0.0118
"MYSE","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2022,TRUE,4,0,2e-04,0.0019,1e-04,0.0103
