"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"MYTH","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2017,FALSE,0,NA,NA,0.7511,0.4263,0.9722
"MYTH","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2018,TRUE,2,0,0.9436,0.5893,0.3648,0.7939
"MYTH","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2019,TRUE,4,1,1,0.516,0.3165,0.7171
"MYTH","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2020,TRUE,4,1,1,0.4254,0.2299,0.6323
"MYTH","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2021,TRUE,4,0,0.1191,0.3409,0.1568,0.5443
"MYTH","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2022,TRUE,4,0,0.046,0.3533,0.1578,0.5604
"MYTH","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2023,TRUE,4,0,0.0038,0.2992,0.1144,0.5152
"MYTH","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2024,TRUE,4,0,0.0211,0.3392,0.1352,0.578
"MYTH","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2025,TRUE,4,0,0.0222,0.3576,0.1514,0.588
"MYTH","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2017,TRUE,4,1,1,0.8693,0.5994,0.9918
"MYTH","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2018,TRUE,4,1,1,0.668,0.4158,0.865
"MYTH","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2019,TRUE,4,0,0.9753,0.5742,0.3291,0.804
"MYTH","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2020,TRUE,4,1,1,0.4613,0.2114,0.7254
"MYTH","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2021,TRUE,4,0,0.7971,0.3554,0.1272,0.633
"MYTH","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2022,TRUE,4,1,1,0.3627,0.1571,0.6241
"MYTH","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2023,TRUE,4,1,1,0.2979,0.1057,0.5608
"MYTH","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2024,TRUE,4,0,0.2707,0.3277,0.1315,0.5833
"MYTH","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2025,TRUE,4,0,0.0824,0.3337,0.1354,0.5818
"MYTH","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2017,FALSE,0,NA,NA,0.8353,0.5387,0.9885
"MYTH","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2018,TRUE,2,0,0.9253,0.609,0.356,0.8216
"MYTH","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2019,TRUE,4,1,1,0.5091,0.274,0.7381
"MYTH","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2020,TRUE,4,0,0.1216,0.3948,0.1763,0.6422
"MYTH","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2021,TRUE,4,0,0.002,0.2942,0.104,0.5374
"MYTH","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2022,TRUE,4,0,0.0033,0.3045,0.1133,0.5439
"MYTH","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2023,TRUE,4,0,0.0011,0.2453,0.0749,0.4938
"MYTH","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2024,TRUE,4,0,0.0049,0.2863,0.1003,0.539
"MYTH","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2025,TRUE,4,0,0.0027,0.3004,0.1125,0.5452
"MYTH","110378_SW",110378,"SW","Okanagan Region",49.00412,-119.59552,2017,TRUE,4,1,1,0.8177,0.5661,0.974
