"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"MYVO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2017,FALSE,0,NA,NA,0.6155,0.3154,0.8777
"MYVO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2018,TRUE,2,1,1,0.5761,0.4334,0.7121
"MYVO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2019,TRUE,4,0,0.0449,0.514,0.394,0.6392
"MYVO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2020,TRUE,4,0,0.1013,0.543,0.4159,0.6754
"MYVO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2021,TRUE,4,1,1,0.6606,0.5382,0.7783
"MYVO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2022,TRUE,4,1,1,0.6642,0.5331,0.7866
"MYVO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2023,TRUE,4,1,1,0.7625,0.64,0.8695
"MYVO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2024,TRUE,4,1,1,0.6809,0.5436,0.8066
"MYVO","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2025,TRUE,4,1,1,0.6866,0.5628,0.7995
"MYVO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2017,TRUE,4,1,1,0.6302,0.2824,0.9088
"MYVO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2018,TRUE,4,1,1,0.6664,0.5248,0.7949
"MYVO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2019,TRUE,4,0,0.0882,0.6007,0.4673,0.7357
"MYVO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2020,TRUE,4,1,1,0.6299,0.4908,0.7634
"MYVO","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2021,TRUE,4,1,1,0.7407,0.6151,0.8492
