"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"MYYU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2017,FALSE,0,NA,NA,0.4959,0.2112,0.8042
"MYYU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2018,TRUE,2,0,0.1147,0.3626,0.2425,0.5015
"MYYU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2019,TRUE,4,1,1,0.321,0.2147,0.4323
"MYYU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2020,TRUE,4,0,0.0191,0.2823,0.1762,0.3917
"MYYU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2021,TRUE,4,1,1,0.3357,0.229,0.4457
"MYYU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2022,TRUE,4,1,1,0.3634,0.2545,0.4862
"MYYU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2023,TRUE,4,1,1,0.3795,0.2628,0.5177
"MYYU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2024,TRUE,4,1,1,0.3698,0.2603,0.4936
"MYYU","110378_NE",110378,"NE","Okanagan Region",49.04717,-119.5574,2025,TRUE,4,1,1,0.3753,0.2668,0.5049
"MYYU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2017,TRUE,4,0,0.0589,0.5784,0.2447,0.8886
"MYYU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2018,TRUE,4,1,1,0.4536,0.3053,0.6255
"MYYU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2019,TRUE,4,1,1,0.4014,0.2714,0.5443
"MYYU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2020,TRUE,4,1,1,0.3477,0.2183,0.4907
"MYYU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2021,TRUE,4,1,1,0.4067,0.2747,0.5407
"MYYU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2022,TRUE,4,1,1,0.4404,0.3045,0.5859
"MYYU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2023,TRUE,4,1,1,0.4618,0.3198,0.6211
"MYYU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2024,TRUE,4,0,0.0391,0.4531,0.3158,0.6083
"MYYU","110378_NW",110378,"NW","Okanagan Region",49.03536,-119.57546,2025,TRUE,4,1,1,0.4584,0.3242,0.6188
"MYYU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2017,FALSE,0,NA,NA,0.4767,0.1737,0.8213
"MYYU","110378_SE",110378,"SE","Okanagan Region",49.01485,-119.53228,2018,TRUE,2,0,0.1547,0.3517,0.2332,0.5015
