"species","year_range","lambda_str","trend","mean_gamma","mean_phi","mean_p","max_rhat"
"ANPA","2017-2025","57.76 (2.80, 270.72)","Increase",0.0635385004577818,0.464500129277443,0.209947487753222,1.14350460168457
"COTO","2017-2025","1.63 (1.00, 2.59)","Stable",0.122899939433974,0.774521988026967,0.30358137596934,1.29114926422839
"EPFU","2017-2025","1.05 (0.91, 1.22)","Stable",0.27868931502967,0.860902694299456,0.595850457002682,1.12648790569082
"EUMA","2017-2025","1.12 (0.61, 1.87)","Stable",0.0242770423586997,0.822067445505405,0.334450082395289,1.29133448494495
"LABO","2017-2025","2.80 (1.71, 4.52)","Increase",0.168791948495535,0.599722935863032,0.300890741170353,1.13383652396637
"LACI","2017-2025","1.05 (0.91, 1.20)","Stable",0.267351856535168,0.834910478635406,0.544275300180227,1.07384982411235
"LANO","2017-2025","1.07 (0.97, 1.20)","Stable",0.522496879857563,0.929515851901011,0.775274294286245,1.29096419099281
"MYCA","2017-2025","1.19 (1.03, 1.38)","Increase",0.280237935111684,0.872852788177723,0.661786972315496,1.29133448494495
"MYCI","2017-2025","1.46 (1.14, 1.85)","Increase",0.0491457736370797,0.869882431093245,0.594235484853181,1.29170536953096
"MYEV","2017-2025","1.25 (1.06, 1.49)","Increase",0.505030522467285,0.862193901676707,0.577060561445957,1.29096419099281
"MYLU","2017-2025","1.09 (1.02, 1.18)","Increase",0.622702568568322,0.948264922129165,0.824631619726518,1.29133448494495
"MYSE","2017-2025","1.62 (1.00, 2.61)","Stable",0.0609730271226208,0.75199390064541,0.332767362236883,1.29133448494496
"MYTH","2017-2025","1.03 (0.65, 1.56)","Stable",0.0438392189177243,0.793351765349004,0.330024448097919,1.29133448494495
"MYVO","2017-2025","1.48 (1.22, 1.84)","Increase",0.435023504720686,0.837425822603232,0.606417435489675,1.13383652396637
"MYYU","2017-2025","1.39 (1.14, 1.71)","Increase",0.157368436534973,0.862614146119326,0.637933282157731,1.29170536953096
"PAHE","2017-2025","1.44 (0.39, 4.30)","Stable",0.463513133370918,0.465062300682065,0.00510604476678699,1.07139334007878
"TABR","2017-2025","3.13 (0.17, 12.61)","Stable",0.434443790178776,0.525184110095955,0.00672908576525723,1.08047305385617
