"species","year_range","lambda_str","trend","mean_gamma","mean_phi","mean_p","max_rhat"
"ANPA","2017-2025","44.03 (2.25, 251.28)","Increase",0.0623704717521273,0.461448944064581,0.212812333322378,1.01547091418301
"COTO","2017-2025","1.57 (0.93, 2.58)","Stable",0.111813568095671,0.773728976794901,0.301100426015794,1.00633744987808
"EPFU","2017-2025","1.06 (0.91, 1.23)","Stable",0.245155526049031,0.840622555388681,0.593623192537568,1.00808550356709
"EUMA","2017-2025","1.11 (0.59, 1.90)","Stable",0.0228399614254151,0.815331323011641,0.332216762230135,1.00851014891243
"LABO","2017-2025","2.90 (1.76, 4.62)","Increase",0.15519737609416,0.645247404174511,0.30259588414295,1.00983848999574
"LACI","2017-2025","1.09 (0.95, 1.26)","Stable",0.229988201376457,0.836230727940101,0.544418058813914,1.00252676251067
"LANO","2017-2025","1.05 (0.95, 1.17)","Stable",0.431397064120513,0.922882858916532,0.771486461943996,1.00583678771342
"MYCA","2017-2025","1.16 (1.00, 1.35)","Stable",0.274477334374577,0.868290810110793,0.651978616327064,1.00116323131657
"MYCI","2017-2025","1.48 (1.14, 1.90)","Increase",0.0464281298471886,0.864018111266491,0.588439984943149,1.0089207075241
"MYEV","2017-2025","1.25 (1.05, 1.50)","Increase",0.46612954737556,0.859866665014554,0.578890405271451,1.01131986855194
"MYLU","2017-2025","1.10 (1.03, 1.19)","Increase",0.59586090178462,0.947021611399739,0.828501907977999,1.0356845203453
"MYSE","2017-2025","1.80 (1.10, 2.92)","Increase",0.0625919140082341,0.796541817476691,0.306441029050248,1.00570034040213
"MYTH","2017-2025","1.02 (0.64, 1.55)","Stable",0.0406746881427907,0.776099588220848,0.320548277353655,1.00542657599827
"MYVO","2017-2025","1.43 (1.18, 1.77)","Increase",0.394864008966602,0.838908522394437,0.606447897874502,1.00282930258235
"MYYU","2017-2025","1.44 (1.17, 1.79)","Increase",0.148665926112161,0.845115461667796,0.636665867004463,1.00302231074498
"PAHE","2017-2025","1.45 (0.38, 4.43)","Stable",0.473357424579322,0.461379467967038,0.00484099932250968,1.03202111901339
"TABR","2017-2025","1.98 (0.16, 7.09)","Stable",0.444308510223296,0.517127014360244,0.00610764220879484,1.21000574553098
