species,scenario,n_sites,n_years,n_detections,n_observations,naive_occ,psi1_mean,psi1_sd,psi1_ci_width,p_mean,p_sd,p_ci_width,mean_phi,mean_phi_sd,mean_phi_ci_width,mean_gamma,mean_gamma_sd,mean_gamma_ci_width,trend_mean,trend_sd,trend_lcl,trend_ucl,trend_ci_width,trend_significant,psi_final,Rhat_max,n_eff_min,psi1_ci_rel,p_ci_rel,phi_ci_rel,gamma_ci_rel,trend_ci_rel,obs_rel
LACI,full,280,9,2658,5260,0.8285714285714286,0.7434418428877949,0.04945628511811886,0.1929540000332558,0.6859414088345261,0.007924839997785137,0.031175763335202666,0.8628269713538095,0.01220489287245509,0.04738438237157683,0.3605991314978762,0.0278438831032935,0.10824888758713663,5.673603074593174e-4,0.004133520473885244,-0.007261904761904765,0.008869047619047594,0.01613095238095236,FALSE,0.752928149957853,1.0016408001458224,1137,1,1,1,1,1,1
LACI,rotation_2yr,278,9,2349,4396,0.8093525179856115,0.7380785505888908,0.05071754055389828,0.19728870473311366,0.7008524309678149,0.00845514285016703,0.03293592758505337,0.8799069467586939,0.012140625590061427,0.04759612596141316,0.3096785315979733,0.028322709469156118,0.11032331006770618,7.773679046561729e-4,0.004403387519504639,-0.00767386091127098,0.009772182254196656,0.017446043165467634,FALSE,0.7414140694645004,1.001627032824642,1332,1.0224649641837473,1.0564593793879358,1.0044686366950168,1.019163453101536,1.0815259231729026,0.8357414448669201
LACI,rotation_3yr,268,9,2233,3970,0.7985074626865671,0.7445237892804458,0.049355807053752775,0.19636361161804428,0.7080280805402119,0.00857739894096942,0.03343875259183682,0.8834242535727731,0.012120478644156815,0.04755088155224907,0.3636694313338941,0.03638711012887216,0.14195160571989923,-2.508086629558483e-4,0.004658421377792564,-0.009141791044776129,0.009020522388059653,0.01816231343283578,FALSE,0.7836246311198284,1.0013915278053935,1500,1.0176705929091951,1.0725880945496804,1.0035137986893359,1.3113447064814692,1.1259293936222934,0.7547528517110266
LACI,rotation_4yr,269,9,2199,3896,0.7955390334572491,0.7445524685758101,0.04914703275359814,0.19191309218417596,0.7060639241007429,0.008600453569372177,0.033643523013618615,0.8829260870105565,0.012190410864933441,0.047824748403655026,0.35214155078790854,0.03530227940867078,0.1391473362627374,-0.001857471992552415,0.00457639940619909,-0.010780669144981414,0.007311028500619584,0.018091697645600997,FALSE,0.7276385631128168,1.0019620168333887,1004,0.9946054093260547,1.0791563514221778,1.0092934846892159,1.2854389487441944,1.1215517359634581,0.7406844106463878
LACI,rotation_5yr,264,9,2172,4181,0.7878787878787878,0.7419356624932559,0.04930704649341047,0.19238667220807049,0.6943401209550452,0.008764421553535481,0.03416992251044193,0.8710102342063263,0.012852212276831972,0.05086879639523445,0.32349455255935006,0.03100270182730137,0.12089164963439825,0.0017341822566094994,0.00456168034482454,-0.00700757575757575,0.010858585858585871,0.01786616161616162,FALSE,0.7237757866695761,1.0025859935579655,748,0.9970597768116363,1.096041246626297,1.0735350731456978,1.1167934593053865,1.1075701666107587,0.7948669201520913
LANO,full,280,9,3534,5260,0.9571428571428572,0.9196160380584415,0.03428418258011213,0.1333633241980492,0.7583503444421303,0.0065283936568805425,0.025650776787399687,0.9175239373106627,0.009278729258103961,0.03662265217425886,0.4888112520385145,0.038689648367083204,0.15185539710658358,0.0069175608036994175,0.0032827862280693874,9.523809523809564e-4,0.01380952380952379,0.012857142857142834,TRUE,0.9296997556898547,1.001996892323054,1239,1,1,1,1,1,1
LANO,rotation_2yr,278,9,3020,4396,0.9496402877697842,0.9230537400738986,0.03258208683149177,0.12599262081328055,0.7670864882793119,0.006983200890839257,0.028032253695655873,0.9250663206884914,0.009313004156860918,0.036482580050090085,0.45376175125435375,0.04530819233687911,0.1790960136261004,0.0069888823414715594,0.0033474095514395854,7.793764988009692e-4,0.013971822541966399,0.01319244604316543,TRUE,0.9266041712084877,1.0020503682190816,961,0.9447321560924584,1.0928422919896144,0.9961752599592656,1.1793852377890612,1.0260791366906463,0.8357414448669201
LANO,rotation_3yr,268,9,2816,3970,0.9477611940298507,0.9245945102966001,0.03202092390160481,0.1231966850932229,0.7866939826889499,0.007052075017814696,0.02780210077774614,0.9220948046369726,0.00989630522765806,0.03905501683080803,0.48167374450848266,0.052057597790863934,0.2059557804983579,0.002959630540168445,0.003643590245499867,-0.0038557213930348355,0.010264303482587044,0.014120024875621879,FALSE,0.9146112372431273,1.0017576267422872,1134,0.9237673538361381,1.083869740405025,1.0664169444904052,1.356262499868889,1.0982241569928148,0.7547528517110266
LANO,rotation_4yr,269,9,2740,3896,0.9479553903345725,0.9245014243022549,0.03189632805577193,0.1224210388548318,0.7807426347426315,0.007177213214476668,0.028471361648855664,0.9201688274401552,0.00997241855131864,0.0392745862844589,0.5031929402648675,0.05512291316463372,0.21728779874371346,0.005575266324649811,0.003653624072438697,-0.0012391573729863736,0.01301115241635688,0.014250309789343253,FALSE,0.922376252495138,1.002141854140201,884,0.917951315258401,1.1099609920133693,1.0724123992326262,1.4308862436493086,1.1083574280600328,0.7406844106463878
LANO,rotation_5yr,264,9,2796,4181,0.9393939393939394,0.9173045568147962,0.03526681331990589,0.13538296170819009,0.7655127243366332,0.007262929270614127,0.02860178423778803,0.9066532188364331,0.010391738455837386,0.04039909739587377,0.49423725396918716,0.04234421705263881,0.16468129112222296,0.005506908014033725,0.0036182401885329262,-0.0013888888888888766,0.012941919191919192,0.014330808080808069,FALSE,0.9201082987086587,1.0031225973485203,931,1.0151438749917605,1.1150455393552818,1.1031177426376912,1.0844612325937761,1.114618406285074,0.7948669201520913
