scenario,scenario_label,year,gamma_mean,gamma_lcl,gamma_ucl,phi_mean,phi_lcl,phi_ucl
full,Full,2016,0.14352178214823255,0.023555690729059293,0.38951892424812873,0.5184439271449728,0.3698465502418554,0.6573225484617895
full,Full,2017,0.03144458496053551,0.003960440024534016,0.09217620696749838,0.9207837924000062,0.8057045822780426,0.9870756593784373
full,Full,2018,0.02848340700739978,0.0038240831603515105,0.07900885274510848,0.9336934269111632,0.8467242909824519,0.985988048705974
full,Full,2019,0.03527917984909827,0.006564859964163147,0.08652950863020717,0.911596971958788,0.8139089427646712,0.9769509801312786
full,Full,2020,0.05687769577740646,0.016686071919239195,0.11645246012184837,0.9672131170418091,0.9073772974155163,0.9958046454816686
full,Full,2021,0.037536882008720095,0.00820314118703042,0.08636255387797524,0.953813767043405,0.8803564064877093,0.9931200068768735
full,Full,2022,0.05503415584647033,0.016889242653627096,0.11504860971927167,0.9663844346489171,0.9018700614724471,0.9960416202121578
full,Full,2023,0.02477735161079056,0.003270844259557432,0.07107591293916539,0.8690130675259248,0.767378672371495,0.9471388631964464
panel_2,2-Panel,2016,0.24742938609779672,0.03266339414433922,0.6298780976476123,0.4346675753536079,0.24413124317057863,0.6048187371716944
panel_2,2-Panel,2017,0.03706131553212978,0.004391119165754553,0.10939769474929004,0.9100384489300244,0.7780655600072368,0.9846396869010359
panel_2,2-Panel,2018,0.030316644587891448,0.004207684437062637,0.0843055870319812,0.9343669908186941,0.8330459870955897,0.988645579299759
panel_2,2-Panel,2019,0.038106361332102406,0.0074229611907157406,0.0932352744214581,0.9400460189309419,0.847551950921222,0.9903395566470894
panel_2,2-Panel,2020,0.05083436506660974,0.011513221122168325,0.11301353707213192,0.9508364010539381,0.8604153849829261,0.9939317116217337
panel_2,2-Panel,2021,0.04608831291393595,0.00999167981420451,0.10596490135078823,0.9559304606704093,0.8769555647969094,0.9944425689184576
panel_2,2-Panel,2022,0.04616131668902006,0.009411567879089797,0.10799574119948267,0.9453923841094523,0.8518470358041741,0.9930212105691194
panel_2,2-Panel,2023,0.03273704110868087,0.00450590111704438,0.09166792249852057,0.925008379832844,0.8180403933579714,0.9882402251202538
panel_3,3-Panel,2016,0.25541275341395014,0.03828051801562541,0.6674181938714974,0.4332597102131928,0.2403577995558721,0.6121522392057809
panel_3,3-Panel,2017,0.03616330268906679,0.005010955023437635,0.10359180220633446,0.9055857095025602,0.765380365129171,0.9844695619640571
panel_3,3-Panel,2018,0.031313774188656766,0.004478587116009539,0.08639787961843709,0.8964612867189199,0.754729770101165,0.979674569963078
panel_3,3-Panel,2019,0.03987837108585745,0.007185481742807623,0.09858702930974418,0.9306457868479703,0.825076467908455,0.9885731619107894
panel_3,3-Panel,2020,0.0466409131711706,0.009416440444764598,0.11026709788056738,0.9502575291235615,0.8628265106177073,0.9937753072778204
panel_3,3-Panel,2021,0.04050437575148759,0.00814908000673417,0.09759779842926236,0.9618431853320096,0.8881534327536027,0.9954031791646738
panel_3,3-Panel,2022,0.061533888665846255,0.012368678813925959,0.14397788641564274,0.9369201149493254,0.8246324164430323,0.9925135215279546
panel_3,3-Panel,2023,0.04143528133485464,0.004608392392272298,0.12628235440596652,0.9163093030478391,0.8020696531758009,0.9862906696872791
panel_4,4-Panel,2016,0.34510692994919634,0.054111953265358274,0.7624810375289723,0.3878447954967594,0.17033077446968148,0.5774986747971189
panel_4,4-Panel,2017,0.04148846733085133,0.004544327531125412,0.12388513677177868,0.9006717674317208,0.7497522777906082,0.9834111289299529
panel_4,4-Panel,2018,0.0424583475447181,0.005950313450562045,0.11572661156955853,0.8853488596407717,0.7278700038056058,0.978386841451788
panel_4,4-Panel,2019,0.06265079009701477,0.01216546073796685,0.14685671231683567,0.9072984333809873,0.7724613121985113,0.9840714164118726
panel_4,4-Panel,2020,0.0585228210662368,0.011321039790682143,0.1360925899770833,0.9446728199473012,0.8446694259679813,0.9933819880490832
panel_4,4-Panel,2021,0.0512129810641409,0.009672878383181642,0.12424726832844685,0.9565647007288905,0.8739965208003524,0.9945320977557818
panel_4,4-Panel,2022,0.056087773168353304,0.011173933895911332,0.13562269715281494,0.9251123005053479,0.7987206733967794,0.9910493973605522
panel_4,4-Panel,2023,0.04443728754900947,0.006298664092950974,0.12324658575250669,0.9076729340576675,0.7780308644799235,0.9859222219350035
panel_5,5-Panel,2016,0.44481633591787734,0.0636061025951801,0.8161201220190553,0.36334573961826744,0.1446124626573984,0.5933683993678192
panel_5,5-Panel,2017,0.047428631329045505,0.005854019032918829,0.13543903394061846,0.9039749520332256,0.7596517905444217,0.9830155281723436
panel_5,5-Panel,2018,0.034771538281182623,0.004227581658815306,0.10006949768820075,0.89268174312549875,0.7428690514143129,0.9792986185236163
panel_5,5-Panel,2019,0.06362155354779678,0.013875533568160691,0.1470487777755162,0.9030063092168953,0.7541653423706524,0.9855331675318816
panel_5,5-Panel,2020,0.04626752608709408,0.007088697222823541,0.11544157121680565,0.9162211910938051,0.771613519856427,0.9904016017749198
panel_5,5-Panel,2021,0.050052379133806904,0.009482268186473882,0.12230707776681388,0.9490817704096014,0.8493112477385694,0.994264880126306
panel_5,5-Panel,2022,0.05709100512667691,0.011228562764020969,0.14106139711225968,0.9129512194825077,0.7738331969200187,0.9899672984426989
panel_5,5-Panel,2023,0.049302381893485805,0.005507328424093769,0.1413931218356113,0.9073094874123286,0.7707291276172229,0.9866107144410804
