scenario,scenario_label,parameter,param_label,category,estimate,lcl,ucl
full,Full,psi_intercept,ψ: Intercept,Initial Occupancy,0.6907960342871834,-1.4273798421399952,2.7972397871252928
full,Full,psi_elevation,ψ: Elevation,Initial Occupancy,0.002858371824009475,-3.2065831491397025,3.19711991508989
full,Full,psi_water,ψ: Water,Initial Occupancy,0.8853399290044911,-0.45251289200644684,2.515310106449979
full,Full,p_intercept,p: Intercept,Detection,0.7054023675562615,0.5858090719648109,0.8294095355744637
full,Full,p_clutter,p: Clutter,Detection,0.0502462981137206,-0.08219680054600847,0.18598281938570532
full,Full,p_temp,p: Temperature,Detection,0.16345625240965794,0.05885535161970182,0.27078569646333184
full,Full,p_julian,p: Julian,Detection,0.02203014613867498,-0.08730307869851575,0.12738106566921686
full,Full,col_road,γ: Dist to Road,Colonization,-0.20106883805951836,-1.0650309606556698,0.4565149945064127
full,Full,col_harvest,γ: Dist to Harvest,Colonization,-0.3886260510489905,-1.4694614779159711,0.45361264830421044
full,Full,per_road,φ: Dist to Road,Persistence,0.15136578644782347,-0.15144104668909805,0.5378070206557943
full,Full,per_harvest,φ: Dist to Harvest,Persistence,0.16522184652421956,-0.11657638389294908,0.5318443947779842
panel_2,2-Panel,psi_intercept,ψ: Intercept,Initial Occupancy,0.7056109383716522,-1.3515982227024026,2.7631003867681194
panel_2,2-Panel,psi_elevation,ψ: Elevation,Initial Occupancy,0.014615852889398658,-3.2793565748485465,3.217170814039893
panel_2,2-Panel,psi_water,ψ: Water,Initial Occupancy,1.104277455052762,-0.4297436936123124,3.0356976060914604
panel_2,2-Panel,p_intercept,p: Intercept,Detection,0.6837791320003335,0.5459966940510337,0.8209935100022527
panel_2,2-Panel,p_clutter,p: Clutter,Detection,0.07848642792956312,-0.06903198669114322,0.22752123159407397
panel_2,2-Panel,p_temp,p: Temperature,Detection,0.18657387525356353,0.06930196475130476,0.3104161146724339
panel_2,2-Panel,p_julian,p: Julian,Detection,-0.011464400159302425,-0.1346452055192445,0.1156845147281505
panel_2,2-Panel,col_road,γ: Dist to Road,Colonization,0.2037300271941394,-0.8388419892691705,0.9432557218669669
panel_2,2-Panel,col_harvest,γ: Dist to Harvest,Colonization,-0.1597590948751232,-1.3110647796668295,0.6914877472922901
panel_2,2-Panel,per_road,φ: Dist to Road,Persistence,-0.24541889617148957,-1.5346750673840452,0.44876902970731203
panel_2,2-Panel,per_harvest,φ: Dist to Harvest,Persistence,0.014170171909063414,-1.3079689971455726,0.5450024992640538
panel_3,3-Panel,psi_intercept,ψ: Intercept,Initial Occupancy,0.6674126325855209,-1.2964309613745357,2.5360697263701075
panel_3,3-Panel,psi_elevation,ψ: Elevation,Initial Occupancy,0.007098820588741947,-3.242065420062472,3.248664488352455
panel_3,3-Panel,psi_water,ψ: Water,Initial Occupancy,1.0604760383259588,-0.45713632737350673,2.8918977460293656
panel_3,3-Panel,p_intercept,p: Intercept,Detection,0.7078324106185836,0.5645967944784903,0.8542134900902854
panel_3,3-Panel,p_clutter,p: Clutter,Detection,-0.007374274170272237,-0.16146110599854002,0.14693328578646236
panel_3,3-Panel,p_temp,p: Temperature,Detection,0.15814524922267942,0.03529740732748825,0.2815549669620294
panel_3,3-Panel,p_julian,p: Julian,Detection,-0.06190670818030775,-0.1988084601469603,0.07616203035979725
panel_3,3-Panel,col_road,γ: Dist to Road,Colonization,-0.2947537233899579,-1.276630354725713,0.5158695029315546
panel_3,3-Panel,col_harvest,γ: Dist to Harvest,Colonization,-0.18294046930656577,-1.571573990811305,0.6003362119642043
panel_3,3-Panel,per_road,φ: Dist to Road,Persistence,0.15641696383319448,-0.31699982976268337,0.5844156200025863
panel_3,3-Panel,per_harvest,φ: Dist to Harvest,Persistence,-0.34763821183954075,-1.8782584111323875,0.46476421882135827
panel_4,4-Panel,psi_intercept,ψ: Intercept,Initial Occupancy,0.6522768962376477,-1.3836220306664266,2.5754830938046975
panel_4,4-Panel,psi_elevation,ψ: Elevation,Initial Occupancy,-0.019892978554434327,-3.2097379953576173,3.172954463026101
panel_4,4-Panel,psi_water,ψ: Water,Initial Occupancy,1.1045094415165793,-0.4646677966434831,2.9741823387602677
panel_4,4-Panel,p_intercept,p: Intercept,Detection,0.6941035315919505,0.5433553399300772,0.8450165560057747
panel_4,4-Panel,p_clutter,p: Clutter,Detection,0.016499463700563453,-0.14707856036923866,0.17954470460437705
panel_4,4-Panel,p_temp,p: Temperature,Detection,0.20124590422089056,0.07305486564688835,0.32969591375328827
panel_4,4-Panel,p_julian,p: Julian,Detection,-0.04984735400434184,-0.18294136554639487,0.08608099628221753
panel_4,4-Panel,col_road,γ: Dist to Road,Colonization,0.2981519310767779,-0.7626945396290131,0.8639011549385156
panel_4,4-Panel,col_harvest,γ: Dist to Harvest,Colonization,-0.3674563978742747,-1.5585629396889393,0.552363766211947
panel_4,4-Panel,per_road,φ: Dist to Road,Persistence,-0.6079067618736017,-1.8396067717138054,0.3075240245070544
panel_4,4-Panel,per_harvest,φ: Dist to Harvest,Persistence,0.10963244385117883,-0.93208304455015,0.5857329226520385
panel_5,5-Panel,psi_intercept,ψ: Intercept,Initial Occupancy,0.47016006825976053,-1.5026187882678361,2.422827298143449
panel_5,5-Panel,psi_elevation,ψ: Elevation,Initial Occupancy,-0.002257107696043868,-3.239706720286887,3.2349458376731013
panel_5,5-Panel,psi_water,ψ: Water,Initial Occupancy,1.1666720344673085,-0.3255301393441123,2.885534320327057
panel_5,5-Panel,p_intercept,p: Intercept,Detection,0.6995804400014812,0.5430812623651229,0.8543466656859271
panel_5,5-Panel,p_clutter,p: Clutter,Detection,0.05704144281715461,-0.11014335785080205,0.22667777961911784
panel_5,5-Panel,p_temp,p: Temperature,Detection,0.22387711859357093,0.09529450401597478,0.35553301917136093
panel_5,5-Panel,p_julian,p: Julian,Detection,-0.1330900735674573,-0.26430815999229196,6.486074682227098e-5
panel_5,5-Panel,col_road,γ: Dist to Road,Colonization,0.18723084664532433,-1.0141062232741311,1.061502913479058
panel_5,5-Panel,col_harvest,γ: Dist to Harvest,Colonization,-0.12413983598215633,-1.3312692335788268,0.5542011188908519
panel_5,5-Panel,per_road,φ: Dist to Road,Persistence,-0.3871219279453358,-1.6006109492241642,0.49116046865524066
panel_5,5-Panel,per_harvest,φ: Dist to Harvest,Persistence,-0.3969597128499993,-1.7570594566750026,0.46037439394263613
