scenario,scenario_label,year,gamma_mean,gamma_lcl,gamma_ucl,phi_mean,phi_lcl,phi_ucl
full,Full,2016,0.7145981077941665,0.47680355905290756,0.9122388399337278,0.7919796221334924,0.6413729649603122,0.9189562045882272
full,Full,2017,0.4149284873956018,0.1578479657606601,0.6843776227948134,0.8828851049086005,0.7742564808154598,0.9690720880818603
full,Full,2018,0.5239696652842735,0.3132698166714361,0.7298890941671552,0.8268179378897326,0.7339209907693797,0.9037416991688025
full,Full,2019,0.333163219471008,0.16660645194531362,0.5161056819675837,0.8169650479403004,0.7268301442014833,0.895035052082608
full,Full,2020,0.340474741886881,0.18406884985089209,0.5158732289000099,0.9291282130852263,0.8505675588134005,0.9861778042646245
full,Full,2021,0.20633547156538912,0.06914762615637891,0.3770433453100615,0.7604901701795272,0.6677153006978576,0.846725685799866
full,Full,2022,0.42156740901383266,0.2700916672109894,0.5801385897798241,0.9777707613827606,0.9295079233963468,0.9991429022965566
full,Full,2023,0.3109702348120565,0.14295584092730448,0.5019247843531653,0.8910247325494197,0.8105967224257755,0.9537154544765064
panel_2,2-Panel,2016,0.7078218146658551,0.4281083440893534,0.954649315548969,0.8083199852450457,0.6391217248955565,0.9494567533731274
panel_2,2-Panel,2017,0.4024664862227341,0.11953235427774093,0.7287818441934804,0.8528252079087296,0.7269300324336541,0.9554287040278187
panel_2,2-Panel,2018,0.6137244595498967,0.3364465385838513,0.8769028239449626,0.7667957676682837,0.6375310812137688,0.8802023012330602
panel_2,2-Panel,2019,0.44386373229341375,0.22709937654135104,0.6706612184794196,0.7974047186492342,0.6873082556632069,0.8949316074042752
panel_2,2-Panel,2020,0.30599599642528125,0.13088301553969556,0.5089644580266807,0.9622441750648024,0.8862576957473975,0.9985628446998488
panel_2,2-Panel,2021,0.15197478364461298,0.03213003012250577,0.32956363876539224,0.7780359245094676,0.6763226911513234,0.8727668552478894
panel_2,2-Panel,2022,0.4263167685760048,0.2447515440928397,0.6130900691405493,0.9768629341264404,0.9178837916304398,0.9993958390103905
panel_2,2-Panel,2023,0.2530143193759387,0.05587369177763172,0.49919459099779734,0.8955552669081802,0.8078409962204364,0.96167995333823
panel_3,3-Panel,2016,0.767775575682822,0.4967568625775099,0.9750206421824349,0.7963630241914965,0.6217202292500172,0.9428333695632543
panel_3,3-Panel,2017,0.46591266589409797,0.14325480254765535,0.7841322397303553,0.8832723895926439,0.7586953861627228,0.9742454630488901
panel_3,3-Panel,2018,0.6626476030023102,0.35176602711633376,0.9178430725775416,0.7766814603597554,0.6548134801695805,0.8839473739795628
panel_3,3-Panel,2019,0.4501198625719836,0.2172190216094127,0.7063257070738933,0.7753973869998393,0.656783775218774,0.8785595428342614
panel_3,3-Panel,2020,0.3398931396171283,0.1505228150054245,0.5589207743570999,0.9540514033351232,0.8666749514553961,0.9980162477131733
panel_3,3-Panel,2021,0.18162098646156113,0.03930487970228685,0.38844957855169665,0.8034029560018222,0.6909231004475311,0.9027317375772342
panel_3,3-Panel,2022,0.468679321445874,0.2663833941847924,0.6742385764215323,0.9725718243276594,0.9012218016247447,0.9991847237318583
panel_3,3-Panel,2023,0.2889105866813705,0.06339786571974292,0.579971022580316,0.8588655591078272,0.7436021597156746,0.9478019108466449
panel_4,4-Panel,2016,0.7840586902119452,0.52199163881913,0.9761816799801344,0.8153134949646986,0.6498511563660448,0.9504008133375741
panel_4,4-Panel,2017,0.4250860928589786,0.13102299419150593,0.7449807701574472,0.8627939417645973,0.7274521596212328,0.9645025530729002
panel_4,4-Panel,2018,0.6528025017427139,0.35426567840783063,0.9071451254271267,0.7416975086724953,0.6042092700266323,0.8627332915985684
panel_4,4-Panel,2019,0.507448904262027,0.26563079897927905,0.7478431298775046,0.7526389065531588,0.6279370741886257,0.864206697247245
panel_4,4-Panel,2020,0.3611733810646505,0.1691086170006911,0.5898107405029445,0.9448975556503985,0.8441057183682528,0.9968408388863639
panel_4,4-Panel,2021,0.19788236519246463,0.04247835994899553,0.43371254025547457,0.760993121178433,0.6383193714966181,0.872482311001073
panel_4,4-Panel,2022,0.5324713068190374,0.31416923730519497,0.7438529043094455,0.97407318960007,0.9068787522129235,0.9993081133099879
panel_4,4-Panel,2023,0.3221649420298448,0.07247840741900659,0.6216991611578208,0.8696751963824344,0.7659565914460357,0.9493458387431929
panel_5,5-Panel,2016,0.7792638372958769,0.5129358501100477,0.9734402083304264,0.7982928058522618,0.6291027835204736,0.9418474185099274
panel_5,5-Panel,2017,0.46868644333155357,0.15469574941118752,0.782794101710178,0.8802793180770322,0.7552163513483435,0.9705480072765559
panel_5,5-Panel,2018,0.671858204930367,0.3625511704206713,0.9237320441104147,0.7484003455313288,0.6176922191890383,0.866219882841165
panel_5,5-Panel,2019,0.5132403387739578,0.2576067500901143,0.7569739852572626,0.7469911855252559,0.6182064335565347,0.8643554853270216
panel_5,5-Panel,2020,0.3822572400319287,0.17916934339799753,0.613021808589045,0.9441812041869645,0.844169536003339,0.9968773937488722
panel_5,5-Panel,2021,0.2263370744814443,0.05322348515014784,0.4786750463357512,0.7727914880530783,0.6499082913825556,0.8811240314735914
panel_5,5-Panel,2022,0.5453980744894428,0.3177440272754973,0.769962447581108,0.9711095454477358,0.9009611773583072,0.9992591169523167
panel_5,5-Panel,2023,0.3021825581740114,0.06618460936563311,0.613839873614701,0.8390100116505376,0.7196521345395179,0.9331443948898005
