scenario,scenario_label,parameter,param_label,category,estimate,lcl,ucl
full,Full,psi_intercept,ψ: Intercept,Initial Occupancy,1.9268902315024241,-0.5057010995062656,4.06840721860733
full,Full,psi_elevation,ψ: Elevation,Initial Occupancy,0.007935528861435866,-3.192431855362317,3.257515458521077
full,Full,psi_water,ψ: Water,Initial Occupancy,0.04516467742385851,-1.6792665040382655,1.7670634908638876
full,Full,p_intercept,p: Intercept,Detection,1.2473480570062998,1.157032419302785,1.3389569033435615
full,Full,p_clutter,p: Clutter,Detection,-0.05419522809268216,-0.14063274199118117,0.03353005907348661
full,Full,p_temp,p: Temperature,Detection,0.5891148543860238,0.4875062048151674,0.6955642380230628
full,Full,p_julian,p: Julian,Detection,0.08872792631159136,-0.0019163408349559398,0.18064944029513313
full,Full,col_road,γ: Dist to Road,Colonization,1.289056289139186,0.015056255883834885,3.052287412520732
full,Full,col_harvest,γ: Dist to Harvest,Colonization,-0.655712401868388,-1.8421672737982813,0.030811286440786314
full,Full,per_road,φ: Dist to Road,Persistence,-0.1598029416509054,-0.3746378143661314,0.10552427331609773
full,Full,per_harvest,φ: Dist to Harvest,Persistence,0.25248326175237085,-0.16999739073857595,0.8685542324595296
panel_2,2-Panel,psi_intercept,ψ: Intercept,Initial Occupancy,2.07079338917786,-0.47563705816957813,4.31516582094307
panel_2,2-Panel,psi_elevation,ψ: Elevation,Initial Occupancy,0.0039112082271168976,-3.2190923494405803,3.2735870439084698
panel_2,2-Panel,psi_water,ψ: Water,Initial Occupancy,-0.3644649540681139,-2.378203375220079,1.5316278567497787
panel_2,2-Panel,p_intercept,p: Intercept,Detection,1.1902222884724345,1.0887598637349676,1.2920924334708006
panel_2,2-Panel,p_clutter,p: Clutter,Detection,-0.04514733669109268,-0.14556577099063794,0.05270766972415655
panel_2,2-Panel,p_temp,p: Temperature,Detection,0.6399368870998525,0.523178846298648,0.7595374973174196
panel_2,2-Panel,p_julian,p: Julian,Detection,0.028852168900109977,-0.0750959390111056,0.13117530617485806
panel_2,2-Panel,col_road,γ: Dist to Road,Colonization,1.2219452606677221,-0.14595432484803122,3.051336786600923
panel_2,2-Panel,col_harvest,γ: Dist to Harvest,Colonization,-0.4385052546646075,-2.1749761028255197,1.4924835337145739
panel_2,2-Panel,per_road,φ: Dist to Road,Persistence,-0.2151681342464896,-0.521417412742579,0.12827333253938
panel_2,2-Panel,per_harvest,φ: Dist to Harvest,Persistence,0.2606945284394745,-0.32736492230364594,1.0130168140476377
panel_3,3-Panel,psi_intercept,ψ: Intercept,Initial Occupancy,1.9425392980819947,-0.5592654919017025,4.192172514993326
panel_3,3-Panel,psi_elevation,ψ: Elevation,Initial Occupancy,0.009780090637900925,-3.2207214276158895,3.286823214954275
panel_3,3-Panel,psi_water,ψ: Water,Initial Occupancy,-0.051687786442876436,-2.012226741504879,1.8419517946623416
panel_3,3-Panel,p_intercept,p: Intercept,Detection,1.1647745442519981,1.0584572803756922,1.27389490268247
panel_3,3-Panel,p_clutter,p: Clutter,Detection,0.011090794487993005,-0.09506177540837622,0.11670924700350521
panel_3,3-Panel,p_temp,p: Temperature,Detection,0.6624665046255271,0.5371457865205163,0.7932475772064462
panel_3,3-Panel,p_julian,p: Julian,Detection,-0.03658525311975223,-0.1525878568662126,0.07843171465336121
panel_3,3-Panel,col_road,γ: Dist to Road,Colonization,1.1101615243410896,-0.2732608555965779,2.978391232833988
panel_3,3-Panel,col_harvest,γ: Dist to Harvest,Colonization,-0.8269419548226923,-2.9168292921242713,1.1539917121016865
panel_3,3-Panel,per_road,φ: Dist to Road,Persistence,-0.27313908997151165,-0.6673872713153223,0.12600962627378642
panel_3,3-Panel,per_harvest,φ: Dist to Harvest,Persistence,0.47381695512729943,-0.15592670160608063,1.3014805890566299
panel_4,4-Panel,psi_intercept,ψ: Intercept,Initial Occupancy,1.9025089495562117,-0.5289865289523292,4.094848028903764
panel_4,4-Panel,psi_elevation,ψ: Elevation,Initial Occupancy,0.0026742290059645034,-3.1931171304400587,3.1824521691408725
panel_4,4-Panel,psi_water,ψ: Water,Initial Occupancy,-0.037652077022578584,-1.8758502897570823,1.8189084065631052
panel_4,4-Panel,p_intercept,p: Intercept,Detection,1.1686392119381845,1.0575673941766455,1.2808405180822957
panel_4,4-Panel,p_clutter,p: Clutter,Detection,-0.03161345132144269,-0.14127086741961217,0.07925060633433607
panel_4,4-Panel,p_temp,p: Temperature,Detection,0.6137015360685804,0.48887194299414244,0.7427555135091286
panel_4,4-Panel,p_julian,p: Julian,Detection,-0.020111476269862077,-0.13012858741530375,0.09179784642114995
panel_4,4-Panel,col_road,γ: Dist to Road,Colonization,1.1649307085368488,-0.4819226542327937,3.238570961132397
panel_4,4-Panel,col_harvest,γ: Dist to Harvest,Colonization,-1.0874043945642582,-3.163881775446157,0.7141870250676353
panel_4,4-Panel,per_road,φ: Dist to Road,Persistence,-0.22275611223060532,-0.860424833387055,0.5677375834430265
panel_4,4-Panel,per_harvest,φ: Dist to Harvest,Persistence,0.5420892540467891,-0.07820725130278577,1.3843072785272847
panel_5,5-Panel,psi_intercept,ψ: Intercept,Initial Occupancy,1.773062088098067,-0.7076825649280989,4.056377867932168
panel_5,5-Panel,psi_elevation,ψ: Elevation,Initial Occupancy,0.002260400114588948,-3.2685505841440685,3.2437115224057433
panel_5,5-Panel,psi_water,ψ: Water,Initial Occupancy,0.22822846359532772,-1.7686135964274108,2.2309163452756224
panel_5,5-Panel,p_intercept,p: Intercept,Detection,1.1789785388455818,1.0643160374780711,1.2945955274290402
panel_5,5-Panel,p_clutter,p: Clutter,Detection,-0.02223542058577867,-0.13325087330204916,0.08901529621192492
panel_5,5-Panel,p_temp,p: Temperature,Detection,0.69033039293385,0.5557161387544418,0.8315277845441323
panel_5,5-Panel,p_julian,p: Julian,Detection,0.039833253163398565,-0.07995727932935863,0.1584470855216562
panel_5,5-Panel,col_road,γ: Dist to Road,Colonization,0.6436461266180941,-0.9395335417335677,2.750082072689902
panel_5,5-Panel,col_harvest,γ: Dist to Harvest,Colonization,-1.2639779846364632,-3.2481603630314906,0.26626095011379974
panel_5,5-Panel,per_road,φ: Dist to Road,Persistence,-0.09275873226619963,-0.8101972864728362,0.7297261493532856
panel_5,5-Panel,per_harvest,φ: Dist to Harvest,Persistence,0.4045340680609993,-0.2447631791502229,1.2442071000227115
