scenario,scenario_label,year,gamma_mean,gamma_lcl,gamma_ucl,phi_mean,phi_lcl,phi_ucl
full,Full,2016,0.802126225477856,0.3206175696937096,0.9947419404313178,0.9742168972379689,0.9212187284405084,0.9988974287686185
full,Full,2017,0.6772880832611755,0.10569135578899969,0.9889852719357799,0.9653149717014682,0.9201965374665174,0.99270231953298
full,Full,2018,0.5844749247823823,0.13305173757424268,0.9346770200293295,0.959670734080357,0.9174980027581092,0.9878915830359359
full,Full,2019,0.5727351464451385,0.21968475537499213,0.8871883799739207,0.9251444379328859,0.871413907606842,0.967557591793339
full,Full,2020,0.7662921812244571,0.4985116795131288,0.9472997039480643,0.9571278192791045,0.9116063184519004,0.9873241659839639
full,Full,2021,0.5302016067953875,0.1697179328745892,0.8732065467992502,0.9491451918541538,0.9062290825124092,0.9810127463222326
full,Full,2022,0.7579237202804651,0.4688240795689911,0.9549182014390296,0.9800504395563383,0.9471392887372396,0.9974128229358367
full,Full,2023,0.29669045030479646,0.011254362612833453,0.7751272265989835,0.9555288358277975,0.9111004080969066,0.9857745536037941
panel_2,2-Panel,2016,0.8152880601484311,0.37605602848887393,0.9957649272732524,0.9704922653329375,0.9103009081293292,0.9986867778025056
panel_2,2-Panel,2017,0.6677844463267755,0.09963165002004865,0.9884736090990727,0.97202587582373845,0.9272173421173462,0.9962213455684722
panel_2,2-Panel,2018,0.41213693147161506,0.021753211908503406,0.8884220352462081,0.9580111298799878,0.9036563014203792,0.9904789038982416
panel_2,2-Panel,2019,0.7193734853443854,0.3464612408524097,0.960473033464888,0.9113338036948084,0.8479507408843848,0.9609348578802012
panel_2,2-Panel,2020,0.7415311998851413,0.4400247680714369,0.9595057968040585,0.9579077428871541,0.8993910884643795,0.9943779483344187
panel_2,2-Panel,2021,0.48241615366403756,0.07562891920047203,0.92925783511785,0.9439320696613291,0.889961897810848,0.9841328512128157
panel_2,2-Panel,2022,0.7304428026402081,0.3853073927180482,0.9675523692898371,0.9763918814296236,0.9352549916491534,0.9971288886448886
panel_2,2-Panel,2023,0.29524910446228597,0.010808323564920622,0.7456081645936182,0.9588670093590533,0.9109640569184827,0.9896858092739791
panel_3,3-Panel,2016,0.8131329900811921,0.3682509639732069,0.9950583230640508,0.9667404226875533,0.9040186185506363,0.9981131672012825
panel_3,3-Panel,2017,0.6254956646929777,0.08236537434359152,0.9853981317785474,0.9570767609222863,0.8917965558624721,0.9930883823907715
panel_3,3-Panel,2018,0.39559672164453386,0.017664805520832536,0.8781917164627867,0.9480980316323091,0.8892548544399407,0.9873825784221988
panel_3,3-Panel,2019,0.7018257517613241,0.32487045275893,0.9537194312051344,0.9079771390118347,0.8352159214613964,0.9629356336719579
panel_3,3-Panel,2020,0.8057379393003886,0.5273217246080392,0.978884458752719,0.967141376542384,0.9117392955332996,0.9968269755375027
panel_3,3-Panel,2021,0.5015585867591644,0.07716955622973316,0.946004345702517,0.9387882405855202,0.8783796410490837,0.9822709453381837
panel_3,3-Panel,2022,0.780912618362939,0.42476874416392957,0.987321735189796,0.9734852423811573,0.9275644848863367,0.9967380499143796
panel_3,3-Panel,2023,0.28914740181292825,0.010208203565263764,0.750507111942391,0.9388182516508535,0.8702705834919274,0.9828730715867751
panel_4,4-Panel,2016,0.8228087441554267,0.37868037068493915,0.9952066192433379,0.969110425935487,0.9083165427292748,0.9986772558051504
panel_4,4-Panel,2017,0.6648222988594702,0.08602513362420725,0.988781533636926,0.9692477731410254,0.9132090258672632,0.9960648097472024
panel_4,4-Panel,2018,0.38032881822153347,0.016352070673872413,0.8775120031347877,0.9487496506384343,0.885235485253265,0.9888894741188994
panel_4,4-Panel,2019,0.698343270733591,0.3254115463492477,0.9558524205050045,0.9007032078822632,0.8296492986049658,0.9585309973586658
panel_4,4-Panel,2020,0.7918828413935015,0.4947889535050133,0.9795115397995781,0.9601363070341506,0.8969758981600464,0.9953969236985586
panel_4,4-Panel,2021,0.545356798483886,0.07618101949601089,0.9668769527973317,0.9460993503031654,0.8858008510513504,0.9865318455097447
panel_4,4-Panel,2022,0.7462678816854115,0.36132567959940626,0.9840447379365326,0.9657061013857476,0.9081047974439472,0.9955454763359332
panel_4,4-Panel,2023,0.3357571132504331,0.015462557300626891,0.7994936940152412,0.9500557109957789,0.8945761747751663,0.9863739744251754
panel_5,5-Panel,2016,0.8140034908300451,0.37017667003820587,0.9951206256036823,0.9686502069608098,0.9073105983198507,0.9982548383162142
panel_5,5-Panel,2017,0.643791588286566,0.08399345677063268,0.9860165336499713,0.9646886432523247,0.9069616571411903,0.9957942749155354
panel_5,5-Panel,2018,0.3831372821549631,0.017486124255102632,0.8745641624024563,0.9487987692790587,0.8850673971256017,0.9888931540953845
panel_5,5-Panel,2019,0.682389240753798,0.30094707248889113,0.9505407769799316,0.8838760871955595,0.7970726981125604,0.9501936253650151
panel_5,5-Panel,2020,0.7929683961892968,0.5019218374070659,0.9759802164784075,0.9587679830447915,0.8946608950728893,0.9950452707916123
panel_5,5-Panel,2021,0.564877788169981,0.09766386022126608,0.9672720819222819,0.9503980877243098,0.8919752037981895,0.9881435257279013
panel_5,5-Panel,2022,0.7692224796519437,0.3873176601991431,0.9842194792730666,0.9706225356750363,0.9196460900307889,0.9963747355073056
panel_5,5-Panel,2023,0.3179479141331507,0.014146566890430657,0.7804760668208541,0.948353702509236,0.8880624370181761,0.9868043112267798
