scenario,scenario_label,year,psi_mean,psi_lcl,psi_ucl
full,Full,2016,0.3869465895953757,0.3179190751445087,0.45664739884393063
full,Full,2017,0.2433596917148362,0.18497109826589594,0.3063583815028902
full,Full,2018,0.2327608477842004,0.18497109826589594,0.2832369942196532
full,Full,2019,0.20575876685934488,0.1676300578034682,0.24855491329479767
full,Full,2020,0.16659113680154142,0.12716763005780346,0.2138728323699422
full,Full,2021,0.17290728323699422,0.13872832369942195,0.2138728323699422
full,Full,2022,0.20051113680154142,0.17341040462427745,0.23121387283236994
full,Full,2023,0.20635499036608862,0.16184971098265896,0.24855491329479767
full,Full,2024,0.2331159922928709,0.19653179190751446,0.2832369942196532
panel_2,2-Panel,2016,0.3559146050096339,0.2832369942196532,0.43352601156069365
panel_2,2-Panel,2017,0.2482164161849711,0.18121387283237006,0.3179190751445087
panel_2,2-Panel,2018,0.23638073217726396,0.18497109826589594,0.2947976878612717
panel_2,2-Panel,2019,0.22596439306358382,0.1791907514450867,0.2774566473988439
panel_2,2-Panel,2020,0.18077842003853564,0.13872832369942195,0.23121387283236994
panel_2,2-Panel,2021,0.17731637764932562,0.13872832369942195,0.21965317919075145
panel_2,2-Panel,2022,0.19772732177263969,0.16184971098265896,0.23699421965317918
panel_2,2-Panel,2023,0.2147736416184971,0.17341040462427745,0.26011560693641617
panel_2,2-Panel,2024,0.22721664739884392,0.18497109826589594,0.2774566473988439
panel_3,3-Panel,2016,0.3317888246628131,0.23121387283236994,0.43352601156069365
panel_3,3-Panel,2017,0.2186660500963391,0.15028901734104047,0.2947976878612717
panel_3,3-Panel,2018,0.21240416184971098,0.15606936416184972,0.2832369942196532
panel_3,3-Panel,2019,0.1731150674373796,0.12716763005780346,0.2254335260115607
panel_3,3-Panel,2020,0.1573980732177264,0.12138728323699421,0.2023121387283237
panel_3,3-Panel,2021,0.160773795761079,0.12138728323699421,0.20809248554913296
panel_3,3-Panel,2022,0.18616601156069365,0.15028901734104047,0.23121387283236994
panel_3,3-Panel,2023,0.20821703275529865,0.15028901734104047,0.2774566473988439
panel_3,3-Panel,2024,0.27426836223506745,0.20809248554913296,0.3583815028901734
panel_4,4-Panel,2016,0.3234194990366089,0.21965317919075145,0.43352601156069365
panel_4,4-Panel,2017,0.2177942196531792,0.13872832369942195,0.30057803468208094
panel_4,4-Panel,2018,0.21728801541425818,0.14450867052023122,0.2947976878612717
panel_4,4-Panel,2019,0.20154450867052023,0.13872832369942195,0.27167630057803466
panel_4,4-Panel,2020,0.15945001926782273,0.10404624277456648,0.21965317919075145
panel_4,4-Panel,2021,0.1891865895953757,0.1329479768786127,0.2543352601156069
panel_4,4-Panel,2022,0.2047790366088632,0.15028901734104047,0.2658959537572254
panel_4,4-Panel,2023,0.22660870905587668,0.15606936416184972,0.30057803468208094
panel_4,4-Panel,2024,0.24379745664739885,0.1907514450867052,0.31213872832369943
panel_5,5-Panel,2016,0.3431818111753372,0.2658959537572254,0.4277456647398844
panel_5,5-Panel,2017,0.24607630057803467,0.1791907514450867,0.3179190751445087
panel_5,5-Panel,2018,0.25398998073217727,0.1907514450867052,0.3236994219653179
panel_5,5-Panel,2019,0.2145245472061657,0.15606936416184972,0.2774566473988439
panel_5,5-Panel,2020,0.1783485163776493,0.12138728323699421,0.24277456647398843
panel_5,5-Panel,2021,0.1642518689788054,0.10982658959537572,0.2254335260115607
panel_5,5-Panel,2022,0.2090777649325626,0.15028901734104047,0.2774566473988439
panel_5,5-Panel,2023,0.24163206165703274,0.1676300578034682,0.3236994219653179
panel_5,5-Panel,2024,0.27431028901734106,0.20809248554913296,0.3583815028901734
