scenario,scenario_label,parameter,param_label,category,estimate,lcl,ucl
full,Full,psi_intercept,ψ: Intercept,Initial Occupancy,-0.7912396871660375,-3.3608827598433546,1.7484636830929934
full,Full,psi_elevation,ψ: Elevation,Initial Occupancy,-0.012674657742779287,-3.274350533405281,3.2756420685054746
full,Full,psi_water,ψ: Water,Initial Occupancy,-0.6155296497454814,-2.4890660653491925,1.2270370026974247
full,Full,p_intercept,p: Intercept,Detection,-0.4045641722722511,-0.6280789855981923,-0.17833299550851833
full,Full,p_clutter,p: Clutter,Detection,0.08567483655483164,-0.1052788869879157,0.2771342430818904
full,Full,p_temp,p: Temperature,Detection,0.3667871779982765,0.18259090684402418,0.5557318465387101
full,Full,p_julian,p: Julian,Detection,-0.07979794909517535,-0.24776053242607432,0.09614554967870872
full,Full,col_road,γ: Dist to Road,Colonization,-0.7009541232339572,-1.7367799378369777,0.18653687406438518
full,Full,col_harvest,γ: Dist to Harvest,Colonization,-0.5252754986890481,-1.6423655507898376,0.3063456366284941
full,Full,per_road,φ: Dist to Road,Persistence,0.3803904060513333,-0.005811331571917102,1.0154345168189802
full,Full,per_harvest,φ: Dist to Harvest,Persistence,1.1330127254945612,0.17076554904669006,2.7187136982569027
panel_2,2-Panel,psi_intercept,ψ: Intercept,Initial Occupancy,-0.9146744575641876,-3.427933541526535,1.668369415989635
panel_2,2-Panel,psi_elevation,ψ: Elevation,Initial Occupancy,0.0070771300834949254,-3.219487149290741,3.2009009702702507
panel_2,2-Panel,psi_water,ψ: Water,Initial Occupancy,-0.5774121916031123,-2.475782411367903,1.3199121201381903
panel_2,2-Panel,p_intercept,p: Intercept,Detection,-0.3845960739668755,-0.631273479737793,-0.13157331113939286
panel_2,2-Panel,p_clutter,p: Clutter,Detection,0.21315901224702666,-0.0036217394074773944,0.4330608328225062
panel_2,2-Panel,p_temp,p: Temperature,Detection,0.4090362993932784,0.19997610748358507,0.619783131078201
panel_2,2-Panel,p_julian,p: Julian,Detection,0.015095233531635112,-0.16722851580291004,0.1990249231507915
panel_2,2-Panel,col_road,γ: Dist to Road,Colonization,0.36345791494945356,-0.202996938590565,0.6745523561389017
panel_2,2-Panel,col_harvest,γ: Dist to Harvest,Colonization,-0.433278599481904,-1.635311619342423,0.5174324253053966
panel_2,2-Panel,per_road,φ: Dist to Road,Persistence,-1.9555862382625462,-3.762351606556107,0.12551214818508816
panel_2,2-Panel,per_harvest,φ: Dist to Harvest,Persistence,0.8395412190745899,-0.19694687563867158,2.36507124427157
panel_3,3-Panel,psi_intercept,ψ: Intercept,Initial Occupancy,-1.0885942619721796,-3.610171533684461,1.5010799412034155
panel_3,3-Panel,psi_elevation,ψ: Elevation,Initial Occupancy,-0.0068741867753735605,-3.245869112622529,3.2261996024365036
panel_3,3-Panel,psi_water,ψ: Water,Initial Occupancy,-0.2854760726155295,-2.2028727755720743,1.5570837949709486
panel_3,3-Panel,p_intercept,p: Intercept,Detection,-0.23450792279117721,-0.5295330699983849,0.07280280879167303
panel_3,3-Panel,p_clutter,p: Clutter,Detection,0.213899149037304,-0.02176660857301431,0.45079328556238235
panel_3,3-Panel,p_temp,p: Temperature,Detection,0.4058369938770928,0.15303201494609475,0.6733649385398546
panel_3,3-Panel,p_julian,p: Julian,Detection,0.00818168874393509,-0.20770933950620907,0.22589766147960755
panel_3,3-Panel,col_road,γ: Dist to Road,Colonization,0.07879822415945169,-0.8972576203245899,0.5948316700527068
panel_3,3-Panel,col_harvest,γ: Dist to Harvest,Colonization,-0.6132770183738406,-1.7451435012380774,0.3000107967510031
panel_3,3-Panel,per_road,φ: Dist to Road,Persistence,-0.19370298276991824,-2.303169091123181,1.0207262622328266
panel_3,3-Panel,per_harvest,φ: Dist to Harvest,Persistence,1.0643022592935227,0.06438489844652266,2.6713942238602577
panel_4,4-Panel,psi_intercept,ψ: Intercept,Initial Occupancy,-1.0536195598506852,-3.4179492006733456,1.4569392590412122
panel_4,4-Panel,psi_elevation,ψ: Elevation,Initial Occupancy,-0.016664344977775292,-3.3138585062065244,3.2101402504172807
panel_4,4-Panel,psi_water,ψ: Water,Initial Occupancy,-0.33283823160309206,-2.2409490238046277,1.5566162625483297
panel_4,4-Panel,p_intercept,p: Intercept,Detection,-0.460031689042658,-0.7648683184208395,-0.12945157879783908
panel_4,4-Panel,p_clutter,p: Clutter,Detection,0.4756107350535444,0.201583406544807,0.7483723026228064
panel_4,4-Panel,p_temp,p: Temperature,Detection,0.48906886943194944,0.23115311831738802,0.7656843359903223
panel_4,4-Panel,p_julian,p: Julian,Detection,0.03298789098620546,-0.1933501689759158,0.2655939063816819
panel_4,4-Panel,col_road,γ: Dist to Road,Colonization,0.4371731916776262,-0.9653433990847747,1.1044893805126954
panel_4,4-Panel,col_harvest,γ: Dist to Harvest,Colonization,-0.3803318349834577,-1.6188241285292961,0.4811092350154747
panel_4,4-Panel,per_road,φ: Dist to Road,Persistence,-2.5463903874182745,-4.831842587953563,0.3358564619518043
panel_4,4-Panel,per_harvest,φ: Dist to Harvest,Persistence,0.5700443497902526,-2.0351330414937583,2.3549942194085745
panel_5,5-Panel,psi_intercept,ψ: Intercept,Initial Occupancy,-1.007747254123175,-3.5170848662332808,1.534780779289581
panel_5,5-Panel,psi_elevation,ψ: Elevation,Initial Occupancy,0.007017442573113292,-3.1295254414922304,3.1957679660950102
panel_5,5-Panel,psi_water,ψ: Water,Initial Occupancy,-0.3932832931091281,-2.3824796571642537,1.5692036051105567
panel_5,5-Panel,p_intercept,p: Intercept,Detection,-0.3799326395433736,-0.6549694925315569,-0.10015414371726583
panel_5,5-Panel,p_clutter,p: Clutter,Detection,0.4954809621108155,0.24170450274242916,0.7536424153238501
panel_5,5-Panel,p_temp,p: Temperature,Detection,0.46740057276722696,0.23173911326074384,0.7031417597202847
panel_5,5-Panel,p_julian,p: Julian,Detection,0.051125589260340484,-0.17712345855795575,0.28019337113389353
panel_5,5-Panel,col_road,γ: Dist to Road,Colonization,0.41886216334663584,-0.6389533666592209,1.069596083454305
panel_5,5-Panel,col_harvest,γ: Dist to Harvest,Colonization,-0.6054838806721915,-1.7585684386813896,0.3061908078778564
panel_5,5-Panel,per_road,φ: Dist to Road,Persistence,-2.6173778871106164,-4.765788127501114,0.23585379997290748
panel_5,5-Panel,per_harvest,φ: Dist to Harvest,Persistence,0.9302280254589709,-0.33161601454711764,2.760570731981994
