scenario,iteration,site_years,pct_of_full,detections,sites_yr_min,sites_yr_max,lambda_mean,lambda_lcl,lambda_ucl,ci_width,beta_psi_water,beta_psi_road,beta_col_road,beta_col_harvest,beta_per_road,beta_per_harvest,mean_gamma,mean_phi,mean_p,max_rhat,psi_2017,psi_2018,psi_2019,psi_2020,psi_2021,psi_2022,psi_2023,psi_2024
Full,1,1384,100,1778,173,173,1.040220898237123,0.9230462636932707,1.1815064102564103,0.25846014656313965,-0.3000908173294536,0.11145587738750448,-0.07176373451449243,0.6518598689085683,-0.19939179761727063,0.6456902928857962,0.37200710223585276,0.8852267063320431,0.6837238152081755,1.0144487153447592,0.7582337829158639,0.7614386640976236,0.7619974309569685,0.7114771997430958,0.7618304431599229,0.6488182402055235,0.786062941554271,0.7860757867694284
2-Year,1,1044,75.4,1344,129,132,1.0064948335767572,0.875,1.1681062690562949,0.2931062690562949,-0.226203906618872,-0.9127698681544891,-0.4438054783119464,1.068821984093447,0.3752983795356698,0.5476482350415192,0.42077234546718356,0.8688149519107142,0.6819613354213693,1.0300585167081233,0.7451445086705202,0.7293962748876044,0.7753628773281952,0.7095696852922286,0.7599229287090559,0.6261592806679512,0.8029929351316635,0.7472447013487475
2-Year,2,1044,75.4,1367,129,132,1.066277363290686,0.9192937463010455,1.2189130915524105,0.2996193452513649,-0.6223139548426934,-1.0846707592737697,0.13606504346067858,1.0693021291866573,-0.24767117700040753,0.590866479694584,0.398284143139112,0.8728511649141683,0.6935733789823777,1.0438328489158266,0.730417469492614,0.7269299935773924,0.7705716120745022,0.6773474630700064,0.752324983943481,0.6459152215799615,0.8029415542710341,0.7757289659601798
2-Year,3,1044,75.4,1371,129,132,1.0026756719414844,0.8637731243576567,1.1737423643550127,0.3099692399973559,-0.4239169885398692,-1.1537361013179463,-0.4315708542593509,1.0346754744648994,0.648156998759534,0.7450294569218249,0.39611799173711276,0.8898764809234357,0.6863472307735925,1.0347207281556596,0.7665510597302505,0.7263455362877328,0.7594861913937059,0.7171226718047528,0.7549646756583173,0.6692485549132948,0.8036287732819525,0.765844572896596
2-Year,4,1044,75.4,1344,129,132,1.027068864389559,0.8841253205760505,1.1921524064171123,0.30802708584106175,-0.6753067610063646,-0.05482798067375509,-0.04266426458864803,0.7703606562825416,-0.14975268041061304,0.7579505498722912,0.42748470394857696,0.8675582856296672,0.6772885154052682,1.104356146436625,0.7639049454078356,0.737058445728966,0.7591008349389852,0.7169556840077072,0.7880346820809249,0.646878612716763,0.8057353885677585,0.780796403339756
2-Year,5,1044,75.4,1347,129,132,1.0487323767907235,0.9133406318423523,1.2114581713574872,0.298117539515135,-0.5573834283393687,-0.8365918994862782,-0.44282229662699785,1.2655563610823817,0.3729018431785672,0.5982657981735235,0.43122070777169114,0.8725897055102798,0.6887728397232143,1.0778673290273797,0.7265317919075145,0.7208477842003853,0.7603917790622993,0.7072639691714836,0.7719139370584457,0.6398201669877971,0.7885163776493256,0.7590687219010919
3-Year,1,933,67.4,1204,114,118,1.055914819129646,0.9202153361344537,1.2247224378881985,0.30450710175374474,-0.6161928515776128,-0.8705790292657376,-0.8863617765566498,1.5120430948204424,0.31573057207011446,0.6916886988935895,0.4677801930945808,0.8629006780413677,0.6773989279211515,1.0445533675376732,0.7411946050096339,0.6728452151573538,0.7622607578676943,0.7234617854849069,0.800655105973025,0.6368336544637123,0.7939434810533077,0.7799036608863198
3-Year,2,933,67.4,1200,114,118,1.0313631179801594,0.8900882889652211,1.1822413793103448,0.2921530903451237,-0.6413109021627614,-1.0408825165629965,-0.448299460428786,1.5019151802014021,0.4096407674299429,0.737362126332033,0.4626183632981581,0.8704839067284719,0.6759774742726843,1.1387660741212213,0.7484393063583815,0.7152986512524084,0.7435452793834296,0.7253436095054592,0.7966088631984586,0.6465382145150931,0.8246371226718048,0.7694861913937059
3-Year,3,933,67.4,1213,114,118,1.0358153213153045,0.8891665391091383,1.2071087928464976,0.3179422537373593,-0.26984365152024986,-0.5938205631320305,-0.46589502973263686,1.6351517621007938,0.4294968626098553,0.5538951060222157,0.44994862938256364,0.8644202930445511,0.6927505333510969,1.0615899364407075,0.7355362877328195,0.7026075786769428,0.7579640333975594,0.6951059730250482,0.7596660244059088,0.6415221579961464,0.806660244059088,0.7585998715478485
3-Year,4,933,67.4,1222,114,118,1.0416876420059806,0.8946697695035462,1.205028373266078,0.3103586037625319,-0.6947924440513726,-0.4283418056268452,0.2974506011043749,1.3014132863669938,-0.1596270458093743,0.5381417359681202,0.48524991026905684,0.8566650708908018,0.680083138639208,1.0302262313871815,0.7683044315992292,0.7651445086705202,0.7544059087989724,0.7061078998073218,0.7641811175337186,0.6409633911368016,0.7924727039177906,0.797276814386641
