site,grts_cell,region,lat,long,n_years,site_type,rotation_group
110378_NE,110378,Okanagan Region,49.04717,-119.5574,7,Rotating,2
110378_NW,110378,Okanagan Region,49.035355,-119.575462,9,Rotating,2
110378_SE,110378,Okanagan Region,49.01485,-119.53228,7,Rotating,4
110378_SW,110378,Okanagan Region,49.004116,-119.595522,9,Rotating,5
114602_NE,114602,South Coastal Region,49.70588,-125.06708,5,Rotating,2
114602_NW,114602,South Coastal Region,49.67623,-125.13792,6,Rotating,3
114602_SE,114602,South Coastal Region,49.65756,-125.0438,6,Rotating,2
114602_SW,114602,South Coastal Region,49.64146,-125.08654,6,Rotating,1
115322_NE,115322,Northern Region,52.37764,-125.98565,5,Rotating,2
115322_NW,115322,Northern Region,52.37481,-126.08159,7,Rotating,3
115322_SE,115322,Northern Region,52.35752,-126.01253,6,Rotating,1
115322_SW,115322,Northern Region,52.34498,-126.07967,7,Rotating,1
1194_NW,1194,Kootenay Region,50.117491,-117.522995,9,Core,0
12522_NE,12522,South Coastal Region,49.721545,-124.515633,6,Core,0
12522_NW,12522,South Coastal Region,49.757569,-124.563075,6,Core,0
12522_SE,12522,South Coastal Region,49.70213,-124.47636,7,Core,0
12522_SW,12522,South Coastal Region,49.7022,-124.52268,7,Core,0
127850_NE,127850,Kootenay Region,49.313072,-115.01912,5,Core,0
127850_NW,127850,Kootenay Region,49.309601,-115.052005,8,Core,0
127850_SE,127850,Kootenay Region,49.284975,-114.953949,6,Core,0
127850_SW,127850,Kootenay Region,49.267101,-115.02532,8,Core,0
128058_NE,128058,South Coastal Region,48.841169,-123.427265,5,Rotating,2
128058_NW,128058,South Coastal Region,48.82144,-123.486428,5,Rotating,1
128058_SW,128058,South Coastal Region,48.798281,-123.476317,5,Rotating,4
132650_SE,132650,Okanagan Region,51.818279,-122.4214442,5,Rotating,5
132650_SW,132650,Okanagan Region,51.80225,-122.46284,5,Rotating,1
137274_NE,137274,South Coastal Region,48.79,-123.6988,5,Rotating,5
137274_NW,137274,South Coastal Region,48.7891,-123.719,6,Rotating,5
137274_SE,137274,South Coastal Region,48.7539,-123.6447,6,Rotating,2
143274_NE,143274,South Coastal Region,50.3377,-122.8012,6,Rotating,5
143274_NW,143274,South Coastal Region,50.3446,-122.8479,6,Rotating,2
143274_SE,143274,South Coastal Region,50.3004,-122.758,6,Rotating,4
143274_SW,143274,South Coastal Region,50.2961,-122.8048,6,Rotating,1
145578_NE,145578,Kootenay Region,49.931778,-115.655583,6,Rotating,3
145578_NW,145578,Kootenay Region,49.935444,-115.674972,5,Rotating,2
145578_SE,145578,Kootenay Region,49.899833,-115.642222,7,Rotating,1
145578_SW,145578,Kootenay Region,49.895889,-115.695,6,Rotating,2
16426_NE,16426,Northern Region,54.82137,-123.355785,6,Rotating,5
