"site","park_name","region","lat","long","n_years","is_bc_park","is_alaska","site_type"
"110378_NE","Sage Sparrow","Okanagan Region",49.04717,-119.5574,7,FALSE,FALSE,"Fixed (BC)"
"110378_NW","Sage Sparrow","Okanagan Region",49.035355,-119.575462,9,FALSE,FALSE,"Fixed (BC)"
"110378_SE","Sage Sparrow","Okanagan Region",49.01485,-119.53228,7,FALSE,FALSE,"Fixed (BC)"
"110378_SW","Sage Sparrow","Okanagan Region",49.004116,-119.595522,9,FALSE,FALSE,"Fixed (BC)"
"114602_NE","Comox","South Coastal Region",49.70588,-125.06708,5,FALSE,FALSE,"Fixed (BC)"
"114602_NW","Comox","South Coastal Region",49.67623,-125.13792,6,FALSE,FALSE,"Fixed (BC)"
"114602_SE","Comox","South Coastal Region",49.65756,-125.0438,6,FALSE,FALSE,"Fixed (BC)"
"114602_SW","Comox","South Coastal Region",49.64146,-125.08654,6,FALSE,FALSE,"Fixed (BC)"
"115322_NE","Tweedsmuir","Northern Region",52.37764,-125.98565,5,TRUE,FALSE,"BC Parks (Rotating)"
"115322_NW","Tweedsmuir","Northern Region",52.37481,-126.08159,7,TRUE,FALSE,"BC Parks (Rotating)"
"115322_SE","Tweedsmuir","Northern Region",52.35752,-126.01253,6,TRUE,FALSE,"BC Parks (Rotating)"
"115322_SW","Tweedsmuir","Northern Region",52.34498,-126.07967,7,TRUE,FALSE,"BC Parks (Rotating)"
"1194_NW","New Denver","Kootenay Region",50.117491,-117.522995,9,FALSE,FALSE,"Fixed (BC)"
"12522_NE","Texada","South Coastal Region",49.721545,-124.515633,6,FALSE,FALSE,"Fixed (BC)"
"12522_NW","Texada","South Coastal Region",49.757569,-124.563075,6,FALSE,FALSE,"Fixed (BC)"
"12522_SE","Texada","South Coastal Region",49.70213,-124.47636,7,FALSE,FALSE,"Fixed (BC)"
"12522_SW","Texada","South Coastal Region",49.7022,-124.52268,7,FALSE,FALSE,"Fixed (BC)"
"127850_NE","Elko","Kootenay Region",49.313072,-115.01912,5,FALSE,FALSE,"Fixed (BC)"
"127850_NW","Elko","Kootenay Region",49.309601,-115.052005,8,FALSE,FALSE,"Fixed (BC)"
"127850_SE","Elko","Kootenay Region",49.284975,-114.953949,6,FALSE,FALSE,"Fixed (BC)"
"127850_SW","Elko","Kootenay Region",49.267101,-115.02532,8,FALSE,FALSE,"Fixed (BC)"
"128058_NE","Saltspring Island","South Coastal Region",48.841169,-123.427265,5,FALSE,FALSE,"Fixed (BC)"
"128058_NW","Saltspring Island","South Coastal Region",48.82144,-123.486428,5,FALSE,FALSE,"Fixed (BC)"
"128058_SW","Saltspring Island","South Coastal Region",48.798281,-123.476317,5,FALSE,FALSE,"Fixed (BC)"
"132650_SE","Junction Sheep","Okanagan Region",51.818279,-122.4214442,5,TRUE,FALSE,"BC Parks (Rotating)"
"132650_SW","Junction Sheep","Okanagan Region",51.80225,-122.46284,5,TRUE,FALSE,"BC Parks (Rotating)"
"137274_NE","Cowichan","South Coastal Region",48.79,-123.6988,5,FALSE,FALSE,"Fixed (BC)"
"137274_NW","Cowichan","South Coastal Region",48.7891,-123.719,6,FALSE,FALSE,"Fixed (BC)"
"137274_SE","Cowichan","South Coastal Region",48.7539,-123.6447,6,FALSE,FALSE,"Fixed (BC)"
"143274_NE","Pemberton","South Coastal Region",50.3377,-122.8012,6,FALSE,FALSE,"Fixed (BC)"
"143274_NW","Pemberton","South Coastal Region",50.3446,-122.8479,6,FALSE,FALSE,"Fixed (BC)"
"143274_SE","Pemberton","South Coastal Region",50.3004,-122.758,6,FALSE,FALSE,"Fixed (BC)"
"143274_SW","Pemberton","South Coastal Region",50.2961,-122.8048,6,FALSE,FALSE,"Fixed (BC)"
"145578_NE","Premier Lake","Kootenay Region",49.931778,-115.655583,6,TRUE,FALSE,"BC Parks (Rotating)"
"145578_NW","Premier Lake","Kootenay Region",49.935444,-115.674972,5,TRUE,FALSE,"BC Parks (Rotating)"
"145578_SE","Premier Lake","Kootenay Region",49.899833,-115.642222,7,TRUE,FALSE,"BC Parks (Rotating)"
"145578_SW","Premier Lake","Kootenay Region",49.895889,-115.695,6,TRUE,FALSE,"BC Parks (Rotating)"
"16426_NE","Carp Lake Park","Northern Region",54.82137,-123.355785,6,TRUE,FALSE,"BC Parks (Rotating)"
"16426_SE","Carp Lake Park","Northern Region",54.818945,-123.339974,6,TRUE,FALSE,"BC Parks (Rotating)"
"172090_NE","Mount Seymour","South Coastal Region",49.37012,-122.94857,6,TRUE,FALSE,"BC Parks (Rotating)"
"172090_NW","Mount Seymour","South Coastal Region",49.3468347,-123.009846,5,TRUE,FALSE,"BC Parks (Rotating)"
"172090_SE","Mount Seymour","South Coastal Region",49.32364,-122.97036,6,TRUE,FALSE,"BC Parks (Rotating)"
"172090_SW","Mount Seymour","South Coastal Region",49.31421,-123.01406,6,TRUE,FALSE,"BC Parks (Rotating)"
"175354_SE","Liard Hot Springs","Northern Region",59.42418,-125.94917,3,TRUE,FALSE,"BC Parks (Rotating)"
"175354_SW","Liard Hot Springs","Northern Region",59.40931,-126.09868,4,TRUE,FALSE,"BC Parks (Rotating)"
"17706_NW","Wells Gray","Northern Region",51.97600921,-120.1036777,3,TRUE,FALSE,"BC Parks (Rotating)"
"17706_SE","Wells Gray","Northern Region",51.940804,-120.016832,4,TRUE,FALSE,"BC Parks (Rotating)"
"17706_SW","Wells Gray","Northern Region",51.94316,-120.06784,3,TRUE,FALSE,"BC Parks (Rotating)"
"18318_SW","Wrangell","Alaska",56.2522,-132.06853,3,FALSE,TRUE,"Fixed (Alaska)"
"186490_NW","Smithers","Northern Region",54.754,-127.12678,8,FALSE,FALSE,"Fixed (BC)"
"186490_SE","Smithers","Northern Region",54.722574,-126.997418,7,FALSE,FALSE,"Fixed (BC)"
"186490_SW","Smithers","Northern Region",54.722779,-127.053965,9,FALSE,FALSE,"Fixed (BC)"
"194666_NE","Vernon","Okanagan Region",50.230138,-119.32344,8,FALSE,FALSE,"Fixed (BC)"
"194666_SW","Vernon","Okanagan Region",50.169151,-119.410806,8,FALSE,FALSE,"Fixed (BC)"
"20330_NE","Castlegar","Kootenay Region",49.424541,-117.7286549,8,FALSE,FALSE,"Fixed (BC)"
"20330_SE","Castlegar","Kootenay Region",49.381304,-117.6779339,8,FALSE,FALSE,"Fixed (BC)"
"206394_NE","Naikoon","Northern Region",53.636548,-132.050561,3,TRUE,FALSE,"BC Parks (Rotating)"
"206394_NW","Naikoon","Northern Region",53.637196,-132.162509,3,TRUE,FALSE,"BC Parks (Rotating)"
"206394_SE","Naikoon","Northern Region",53.608769,-131.99988,3,TRUE,FALSE,"BC Parks (Rotating)"
"206394_SW","Naikoon","Northern Region",53.573235,-132.115794,3,TRUE,FALSE,"BC Parks (Rotating)"
"206_NW","POW","Alaska",56.0204,-133.24865,5,FALSE,TRUE,"Fixed (Alaska)"
"20730_NE","TKD","Northern Region",56.7952475,-124.9005858,2,FALSE,FALSE,"Fixed (BC)"
"20730_NW","TKD","Northern Region",56.79948362,-124.9761373,2,FALSE,FALSE,"Fixed (BC)"
"20730_SE","TKD","Northern Region",56.7845655,-124.8854358,2,FALSE,FALSE,"Fixed (BC)"
"212266_NE","Kamloops","Okanagan Region",50.7512766,-120.4800092,9,FALSE,FALSE,"Fixed (BC)"
"212266_NW","Kamloops","Okanagan Region",50.7775476,-120.5598176,7,FALSE,FALSE,"Fixed (BC)"
"212266_SE","Kamloops","Okanagan Region",50.7148071,-120.4925243,8,FALSE,FALSE,"Fixed (BC)"
"212266_SW","Kamloops","Okanagan Region",50.7323352,-120.5218426,8,FALSE,FALSE,"Fixed (BC)"
"212906_NW","Horne Lake Park","South Coastal Region",49.36971,-124.79984,6,TRUE,FALSE,"BC Parks (Rotating)"
"212906_SE","Horne Lake Park","South Coastal Region",49.35175,-124.74136,6,TRUE,FALSE,"BC Parks (Rotating)"
"212906_SW","Horne Lake Park","South Coastal Region",49.33595,-124.7423,5,TRUE,FALSE,"BC Parks (Rotating)"
"216746_NW","Pacific Rim National Park","South Coastal Region",49.106754,-125.78544,3,TRUE,FALSE,"BC Parks (Rotating)"
"216746_SE","Pacific Rim National Park","South Coastal Region",49.077676,-125.746438,6,TRUE,FALSE,"BC Parks (Rotating)"
"218282_SE","Summit Lake","Kootenay Region",50.138325,-117.556721,4,TRUE,FALSE,"BC Parks (Rotating)"
"218282_SW","Summit Lake","Kootenay Region",50.150936,-117.622098,5,TRUE,FALSE,"BC Parks (Rotating)"
"226090_NE","Hamilton Commonage","Okanagan Region",50.10929,-120.45236,5,FALSE,FALSE,"Fixed (BC)"
"226090_NW","Hamilton Commonage","Okanagan Region",50.0999,-120.50647,6,FALSE,FALSE,"Fixed (BC)"
"226090_SE","Hamilton Commonage","Okanagan Region",50.07156,-120.42266,5,FALSE,FALSE,"Fixed (BC)"
"230186_NE","Skagit","Okanagan Region",49.014567,-121.071983,5,TRUE,FALSE,"BC Parks (Rotating)"
"230186_SE","Skagit","Okanagan Region",48.975109,-121.083294,6,TRUE,FALSE,"BC Parks (Rotating)"
"231310_SE","","Alaska",56.22812,-132.07308,3,FALSE,TRUE,"Fixed (Alaska)"
"241002_NE","Mount Revelstoke","Kootenay Region",51.038169,-118.135697,8,TRUE,FALSE,"BC Parks (Rotating)"
"241002_NW","Mount Revelstoke","Kootenay Region",51.015969,-118.202923,8,TRUE,FALSE,"BC Parks (Rotating)"
"243562_NE","Kimberley","Kootenay Region",49.699661,-115.984981,7,FALSE,FALSE,"Fixed (BC)"
"243562_SE","Kimberley","Kootenay Region",49.650677,-115.946919,7,FALSE,FALSE,"Fixed (BC)"
"26170_NE","Yakoun","Northern Region",53.620517,-132.208832,3,TRUE,FALSE,"BC Parks (Rotating)"
"26170_NW","Yakoun","Northern Region",53.604517,-132.288374,3,TRUE,FALSE,"BC Parks (Rotating)"
"26170_SE","Yakoun","Northern Region",53.58901,-132.176947,3,TRUE,FALSE,"BC Parks (Rotating)"
"26170_SW","Yakoun","Northern Region",53.568946,-132.230418,3,TRUE,FALSE,"BC Parks (Rotating)"
"265749_NE","Kettle/Conkle Parks","Okanagan Region",49.15892,-119.03758,6,TRUE,FALSE,"BC Parks (Rotating)"
"265749_NW","Kettle/Conkle Parks","Okanagan Region",49.16674,-119.10324,7,TRUE,FALSE,"BC Parks (Rotating)"
"265749_SE","Kettle/Conkle Parks","Okanagan Region",49.11153,-118.97698,7,TRUE,FALSE,"BC Parks (Rotating)"
"265749_SW","Kettle/Conkle Parks","Okanagan Region",49.11337,-119.05299,7,TRUE,FALSE,"BC Parks (Rotating)"
"268521_NE","Fernie","Kootenay Region",49.49916,-115.03962,7,FALSE,FALSE,"Fixed (BC)"
"268521_NW","Fernie","Kootenay Region",49.48855,-115.09812,6,FALSE,FALSE,"Fixed (BC)"
"268521_SE","Fernie","Kootenay Region",49.440833,-115.056338,6,FALSE,FALSE,"Fixed (BC)"
"269777_NW","Pink Mountain","Northern Region",57.04083,-122.86281,4,FALSE,FALSE,"Fixed (BC)"
"269777_SW","Pink Mountain","Northern Region",57.01497,-122.80521,4,FALSE,FALSE,"Fixed (BC)"
"271731_SW","Glacier","Kootenay Region",51.241464,-117.649615,6,TRUE,FALSE,"BC Parks (Rotating)"
"283586_NE","Lakelse Park 1","Northern Region",54.3558,-128.5366,6,TRUE,FALSE,"BC Parks (Rotating)"
"283586_NW","Lakelse Park 1","Northern Region",54.3321,-128.6266,7,TRUE,FALSE,"BC Parks (Rotating)"
"283586_SE","Lakelse Park 1","Northern Region",54.31162,-128.54374,7,TRUE,FALSE,"BC Parks (Rotating)"
"283586_SW","Lakelse Park 1","Northern Region",54.2946,-128.581,7,TRUE,FALSE,"BC Parks (Rotating)"
"294832_NE","Charlie Lake","Northern Region",56.3348,-120.97877,7,FALSE,FALSE,"Fixed (BC)"
"294832_NW","Charlie Lake","Northern Region",56.33264,-121.00747,7,FALSE,FALSE,"Fixed (BC)"
"294832_SE","Charlie Lake","Northern Region",56.30206,-120.94608,7,FALSE,FALSE,"Fixed (BC)"
"294832_SW","Charlie Lake","Northern Region",56.30496,-121.00198,7,FALSE,FALSE,"Fixed (BC)"
"31438_NE","Douglas","Alaska",58.25287,-134.3463,4,FALSE,TRUE,"Fixed (Alaska)"
"31438_NW","Douglas","Alaska",58.26963,-134.43333,4,FALSE,TRUE,"Fixed (Alaska)"
"31438_SE","Douglas","Alaska",58.24628,-134.33602,4,FALSE,TRUE,"Fixed (Alaska)"
"315563_SE","Valley","Alaska",58.36437,-134.50136,4,FALSE,TRUE,"Fixed (Alaska)"
"317428_NE","Manning Park","South Coastal Region",49.06292,-120.799436,7,TRUE,FALSE,"BC Parks (Rotating)"
"317428_NW","Manning Park","South Coastal Region",49.06417,-120.90943,7,TRUE,FALSE,"BC Parks (Rotating)"
"317428_SE","Manning Park","South Coastal Region",49.06053,-120.77309,7,TRUE,FALSE,"BC Parks (Rotating)"
"317428_SW","Manning Park","South Coastal Region",49.04617,-120.85085,6,TRUE,FALSE,"BC Parks (Rotating)"
"326072_NE","Langley","South Coastal Region",49.09743,-122.51957,8,FALSE,FALSE,"Fixed (BC)"
"326072_NW","Langley","South Coastal Region",49.05235,-122.58989,9,FALSE,FALSE,"Fixed (BC)"
"326072_SE","Langley","South Coastal Region",49.0144,-122.52755,7,FALSE,FALSE,"Fixed (BC)"
"326072_SW","Langley","South Coastal Region",49.01082,-122.58104,9,FALSE,FALSE,"Fixed (BC)"
"34338_NE","Yakutat","Alaska",59.56445,-139.61554,2,FALSE,TRUE,"Fixed (Alaska)"
"34338_NW","Yakutat","Alaska",59.51789,-139.66391,5,FALSE,TRUE,"Fixed (Alaska)"
"34338_SE","Yakutat","Alaska",59.51027,-139.53528,5,FALSE,TRUE,"Fixed (Alaska)"
"34338_SW","Yakutat","Alaska",59.49062,-139.64204,5,FALSE,TRUE,"Fixed (Alaska)"
"37274_NE","Mt Robson Park","Northern Region",53.088742,-119.203183,6,TRUE,FALSE,"BC Parks (Rotating)"
"37274_SE","Mt Robson Park","Northern Region",53.050514,-119.214184,6,TRUE,FALSE,"BC Parks (Rotating)"
"37274_SW","Mt Robson Park","Northern Region",53.035636,-119.228949,6,TRUE,FALSE,"BC Parks (Rotating)"
"38442_NW","Churn Creek","Okanagan Region",51.5199863,-122.2897779,4,TRUE,FALSE,"BC Parks (Rotating)"
"38442_SW","Churn Creek","Okanagan Region",51.502381,-122.289917,6,TRUE,FALSE,"BC Parks (Rotating)"
"42026_NE","Moberly Lake","Northern Region",55.85526785,-121.6534502,2,TRUE,FALSE,"BC Parks (Rotating)"
"42026_NW","Moberly Lake","Northern Region",55.83615996,-121.7169091,2,TRUE,FALSE,"BC Parks (Rotating)"
