site,region,lat,long,elevation,park_name,n_years,is_bc_park,is_alaska,site_type
110378_NE,Okanagan Region,49.04717,-119.5574,NA,Sage Sparrow,7,FALSE,FALSE,Fixed (BC)
110378_NW,Okanagan Region,49.035355,-119.575462,NA,Sage Sparrow,9,FALSE,FALSE,Fixed (BC)
110378_SE,Okanagan Region,49.01485,-119.53228,NA,Sage Sparrow,7,FALSE,FALSE,Fixed (BC)
110378_SW,Okanagan Region,49.004116,-119.595522,NA,Sage Sparrow,9,FALSE,FALSE,Fixed (BC)
114602_NE,South Coastal Region,49.70588,-125.06708,NA,Comox,5,FALSE,FALSE,Fixed (BC)
114602_NW,South Coastal Region,49.67623,-125.13792,NA,Comox,6,FALSE,FALSE,Fixed (BC)
114602_SE,South Coastal Region,49.65756,-125.0438,NA,Comox,6,FALSE,FALSE,Fixed (BC)
114602_SW,South Coastal Region,49.64146,-125.08654,NA,Comox,6,FALSE,FALSE,Fixed (BC)
115322_NE,Northern Region,52.37764,-125.98565,NA,Tweedsmuir,5,TRUE,FALSE,BC Parks (Rotating)
115322_NW,Northern Region,52.37481,-126.08159,NA,Tweedsmuir,7,TRUE,FALSE,BC Parks (Rotating)
115322_SE,Northern Region,52.35752,-126.01253,NA,Tweedsmuir,6,TRUE,FALSE,BC Parks (Rotating)
115322_SW,Northern Region,52.34498,-126.07967,NA,Tweedsmuir,7,TRUE,FALSE,BC Parks (Rotating)
1194_NW,Kootenay Region,50.117491,-117.522995,NA,New Denver,9,FALSE,FALSE,Fixed (BC)
12522_NE,South Coastal Region,49.721545,-124.515633,NA,Texada,6,FALSE,FALSE,Fixed (BC)
12522_NW,South Coastal Region,49.757569,-124.563075,NA,Texada,6,FALSE,FALSE,Fixed (BC)
12522_SE,South Coastal Region,49.70213,-124.47636,NA,Texada,7,FALSE,FALSE,Fixed (BC)
12522_SW,South Coastal Region,49.7022,-124.52268,NA,Texada,7,FALSE,FALSE,Fixed (BC)
127850_NE,Kootenay Region,49.313072,-115.01912,NA,Elko,5,FALSE,FALSE,Fixed (BC)
127850_NW,Kootenay Region,49.309601,-115.052005,NA,Elko,8,FALSE,FALSE,Fixed (BC)
127850_SE,Kootenay Region,49.284975,-114.953949,NA,Elko,6,FALSE,FALSE,Fixed (BC)
127850_SW,Kootenay Region,49.267101,-115.02532,NA,Elko,8,FALSE,FALSE,Fixed (BC)
128058_NE,South Coastal Region,48.841169,-123.427265,NA,Saltspring Island,5,FALSE,FALSE,Fixed (BC)
128058_NW,South Coastal Region,48.82144,-123.486428,NA,Saltspring Island,5,FALSE,FALSE,Fixed (BC)
128058_SW,South Coastal Region,48.798281,-123.476317,NA,Saltspring Island,5,FALSE,FALSE,Fixed (BC)
132650_SE,Okanagan Region,51.818279,-122.4214442,NA,Junction Sheep,5,TRUE,FALSE,BC Parks (Rotating)
132650_SW,Okanagan Region,51.80225,-122.46284,NA,Junction Sheep,5,TRUE,FALSE,BC Parks (Rotating)
