species,n_detections,naive_occ
MYLU,4685,0.9877675840978594
LANO,3656,0.908256880733945
MYCA,3064,0.7920489296636085
MYVO,2858,0.8593272171253823
LACI,2670,0.7155963302752294
MYEV,2521,0.8868501529051988
EPFU,2301,0.6513761467889908
MYYU,2067,0.5932721712538226
LABO,1245,0.43730886850152906
MYCI,892,0.23853211009174313
COTO,608,0.42507645259938837
MYTH,365,0.2415902140672783
MYSE,309,0.2018348623853211
ANPA,286,0.12844036697247707
EUMA,193,0.0856269113149847
PAHE,98,0.0581039755351682
TABR,88,0.13761467889908258
